jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458299.6986921,b'g',2.0,6.2,26.200904,4.3666e-06,2.0,725.0,4.0,2.0,1.0,302.876,-20.2168,-0.964931,338.413,1.157,0.0,0.0,7.5112465188026425,0.28598904609680176,ztf_20180630198669_000725_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180630198669_000725_zg_c04_o_q2_diffimgpsf.fits',4.414599312725396,28.179842263304693,1.4605946022635416e-10,9.323456691479191e-10,2458203.997974537,2458229.993381308,7250421.0,7.95128,-1.3776510536549071,0.9566506512651135,0.0,0.0,299.69869210012257,p48g
2458299.7161458,b'g',2.195,6.2,26.197902,5.1652e-06,2.0,725.0,4.0,2.0,1.0,303.06,-20.2167,-0.964299,338.217,1.107,0.0,0.0,8.59564417262077,0.5522864460945129,ztf_20180630216146_000725_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180630216146_000725_zg_c04_o_q2_diffimgpsf.fits',12.559333557004775,35.804573353493595,4.166830119943492e-10,1.1878940391551404e-09,2458203.997974537,2458229.993381308,7250421.0,9.14628,-1.3776510536549071,0.9566506512651135,0.0,0.0,299.71614579996094,p48g
2458299.7189236,b'g',1.918,6.2,26.19286,4.5727e-06,1.0,725.0,4.0,2.0,1.0,303.089,-20.2166,-0.964231,338.196,1.1,0.0,0.0,7.691802796125413,0.8034170866012573,ztf_20180630218912_000725_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180630218912_000725_zg_c04_o_q2_diffimgpsf.fits',9.603415342877616,29.024315899377843,3.2009707989731786e-10,9.674265283452044e-10,2458203.997974537,2458229.993381308,7250421.0,9.30595,-1.3776510536549071,0.9566506512651135,0.0,0.0,299.7189235999249,p48g
2458299.8373727,b'r',3.777,6.2,26.10974,6.4822e-06,2.0,725.0,4.0,2.0,2.0,304.143,-20.1589,-0.959943,336.909,1.024,0.0,0.0,9.499087238454818,0.49584096670150757,ztf_20180630337350_000725_zr_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180630337350_000725_zr_c04_o_q2_diffimgpsf.fits',-35.84188752989162,57.60635547078642,-1.2897183313490422e-09,2.0728811391820045e-09,2458155.9897800926,2458218.019872685,7250422.0,9.29357,-3.470259265033023,0.9656513937700362,0.0,0.0,299.8373727002181,p48r
2458299.8693981,b'r',3.289,6.2,26.086607,5.0795e-06,2.0,725.0,4.0,2.0,2.0,304.39,-20.1215,-0.958713,336.553,1.069,0.0,0.0,9.201072213315964,-0.11611837148666382,ztf_20180630369375_000725_zr_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180630369375_000725_zr_c04_o_q2_diffimgpsf.fits',4.2546739096733805,50.725661225062716,1.5639522172982916e-10,1.8645967242400263e-09,2458155.9897800926,2458218.019872685,7250422.0,9.65294,-3.470259265033023,0.9656513937700362,0.0,0.0,299.86939809983596,p48r
2458299.8789931,b'r',3.245,6.2,26.092594,5.552e-06,1.0,725.0,4.0,2.0,2.0,304.463,-20.1081,-0.958373,336.455,1.089,0.0,0.0,8.858153281164169,-0.10745716094970703,ztf_20180630378970_000725_zr_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180630378970_000725_zr_c04_o_q2_diffimgpsf.fits',-8.405025352150252,49.44897279500385,-3.0725674663201867e-10,1.8076721804779408e-09,2458155.9897800926,2458218.019872685,7250422.0,9.69861,-3.470259265033023,0.9656513937700362,0.0,0.0,299.87899310002103,p48r
2458300.7148264,b'g',1.945,6.2,26.151953,3.1897e-06,2.0,725.0,4.0,2.0,1.0,315.437,-18.2952,-0.921083,327.37,1.103,0.0,0.0,5.15330148744583,0.5508838891983032,ztf_20180701214792_000725_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180701214792_000725_zg_c04_o_q2_diffimgpsf.fits',6.938794658609448,18.96516280461682,2.4016119479175084e-10,6.564102819973421e-10,2458203.997974537,2458229.993381308,7250421.0,5.86267,-1.3776510536549071,0.9566506512651135,0.0,0.0,300.7148263999261,p48g
2458300.8114352,b'g',1.835,6.2,26.150511,4.6039e-06,2.0,725.0,4.0,2.0,1.0,316.374,-18.1895,-0.916076,326.32,1.009,0.0,0.0,8.477586803627013,0.19723010063171387,ztf_20180701311424_000725_zg_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180701311424_000725_zg_c04_o_q2_diffimgpsf.fits',24.632387443275256,30.267006076093544,8.536937599588799e-10,1.0489748214400754e-09,2458203.997974537,2458229.993381308,7250421.0,9.73314,-1.3776510536549071,0.9566506512651135,0.0,0.0,300.81143519980833,p48g
2458300.8285301,b'r',2.288,6.2,26.066132,3.0749e-06,2.0,725.0,4.0,2.0,2.0,316.517,-18.1646,-0.91516,326.132,1.019,0.0,0.0,8.368091664075852,0.0863955020904541,ztf_20180701328518_000725_zr_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180701328518_000725_zr_c04_o_q2_diffimgpsf.fits',34.31853364773657,32.797348631073234,1.2855113728196498e-09,1.2285304814164585e-09,2458155.9897800926,2458218.019872685,7250422.0,9.39648,-3.470259265033023,0.9656513937700362,0.0,0.0,300.82853010017425,p48r
2458300.8426389,b'r',1.793,6.2,26.070217,2.7077e-06,2.0,725.0,4.0,2.0,2.0,316.631,-18.1423,-0.91441,325.978,1.033,0.0,0.0,8.093496916151047,0.10305726528167725,ztf_20180701342616_000725_zr_c04_o_q2_scimrefdiffimg.fits,b'ztf_20180701342616_000725_zr_c04_o_q2_diffimgpsf.fits',-18.234878771582665,28.939153411238703,-6.804811203544771e-10,1.079938494908071e-09,2458155.9897800926,2458218.019872685,7250422.0,9.05881,-3.470259265033023,0.9656513937700362,0.0,0.0,300.84263890003785,p48r
