jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458304.9313079,b'g',2.083,6.2,26.198356,3.2155e-06,2.0,797.0,5.0,1.0,1.0,4.77168,-3.58507,-0.592934,280.712,1.349,0.0,0.0,5.3076075170516965,-0.2648051977157593,ztf_20180705431296_000797_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180705431296_000797_zg_c05_o_q1_diffimgpsf.fits',-41.2812872674426,22.00624533517887,-1.369023273897505e-09,7.297994813059907e-10,2458203.9012152776,2458231.993111007,7970511.0,6.34527,-9.303275486067525,1.0818861349601905,0.0,0.0,304.93130790023133,p48g
2458304.9322222,b'g',2.391,6.2,26.246792,4.3797e-06,2.0,798.0,8.0,2.0,1.0,4.77916,-3.58122,-0.592874,280.705,1.237,0.0,0.0,5.611507223606109,0.051558077335357666,ztf_20180705432211_000798_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180705432211_000798_zg_c08_o_q2_diffimgpsf.fits',42.06151966191571,23.63563826376661,1.3340378736511197e-09,7.496361725880302e-10,2458203.8741782405,2458231.9921891205,7980821.0,6.43089,6.897978574385537,1.0298051323133302,0.0,0.0,304.9322222000919,p48g
2458304.9511458,b'g',2.793,6.2,26.235411,4.802e-06,2.0,798.0,8.0,2.0,1.0,4.93039,-3.50114,-0.590954,280.481,1.304,0.0,0.0,6.281075766587257,-0.21506595611572266,ztf_20180705451134_000798_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180705451134_000798_zg_c08_o_q2_diffimgpsf.fits',12.773526834845185,28.926853071233673,4.093986674125852e-10,9.271217928254215e-10,2458203.8741782405,2458231.9921891205,7980821.0,6.62506,6.897978574385537,1.0298051323133302,0.0,0.0,304.95114579983056,p48g
2458305.7198032,b'g',2.236,6.2,26.112026,2.5884e-06,2.0,797.0,5.0,1.0,1.0,14.1516,-0.0366009,-0.513459,271.542,1.116,0.0,0.0,3.9368843525409694,0.7941058874130249,ztf_20180706219792_000797_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180706219792_000797_zg_c05_o_q1_diffimgpsf.fits',-18.674142120429345,17.018497346859697,-6.705485993698639e-10,6.11097928127645e-10,2458203.9012152776,2458231.993111007,7970511.0,4.12127,-9.303275486067525,1.0818861349601905,0.0,0.0,305.71980320010334,p48g
2458305.7216667,b'g',2.369,6.2,26.150089,3.0981e-06,2.0,798.0,8.0,2.0,1.0,14.1791,-0.0282446,-0.513215,271.514,1.169,0.0,0.0,3.928399824905395,0.006454825401306152,ztf_20180706221655_000798_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180706221655_000798_zg_c08_o_q2_diffimgpsf.fits',4.945997934061776,17.23712913551399,1.7148191730323423e-10,5.976257961221888e-10,2458203.8741782405,2458231.9921891205,7980821.0,4.24725,6.897978574385537,1.0298051323133302,0.0,0.0,305.7216667002067,p48g
2458305.8090394,b'g',2.423,6.2,26.196515,2.9345e-06,1.0,797.0,5.0,1.0,1.0,15.3748,0.366691,-0.504244,270.486,1.08,0.0,0.0,3.662432268381119,0.25488758087158203,ztf_20180706309039_000797_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180706309039_000797_zg_c05_o_q1_diffimgpsf.fits',-6.249298426827911,18.531148600799117,-2.0759900340176174e-10,6.155967788163661e-10,2458203.9012152776,2458231.993111007,7970511.0,3.91789,-9.303275486067525,1.0818861349601905,0.0,0.0,305.80903939995915,p48g
2458305.8099537,b'g',2.253,6.2,26.199483,2.455e-06,2.0,797.0,5.0,1.0,1.0,15.3862,0.370859,-0.504183,270.479,1.08,0.0,0.0,3.5678307166814807,0.05498063564300537,ztf_20180706309954_000797_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180706309954_000797_zg_c05_o_q1_diffimgpsf.fits',-11.311410851389846,16.702702520690995,-3.7473441260778067e-10,5.5334188637414e-10,2458203.9012152776,2458231.993111007,7970511.0,3.89527,-9.303275486067525,1.0818861349601905,0.0,0.0,305.80995369981974,p48g
2458305.8127431,b'g',2.502,6.2,26.228658,2.9042e-06,2.0,798.0,8.0,2.0,1.0,15.421,0.383578,-0.503878,270.444,1.072,0.0,0.0,3.926920172178745,-0.06600308418273926,ztf_20180706312731_000798_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180706312731_000798_zg_c08_o_q2_diffimgpsf.fits',-26.53157444257035,19.00455221559143,-8.556572268688677e-10,6.129068021194885e-10,2458203.8741782405,2458231.9921891205,7980821.0,4.01169,6.897978574385537,1.0298051323133302,0.0,0.0,305.812743099872,p48g
2458305.8211806,b'g',2.52,6.2,26.197391,3.0131e-06,2.0,797.0,5.0,1.0,1.0,15.5246,0.422095,-0.503024,270.346,1.089,0.0,0.0,3.7893889528751368,0.09311914443969727,ztf_20180706321169_000797_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180706321169_000797_zg_c05_o_q1_diffimgpsf.fits',10.875030383769303,18.941759030974254,3.609724681942594e-10,6.287296005687559e-10,2458203.9012152776,2458231.993111007,7970511.0,3.95387,-9.303275486067525,1.0818861349601905,0.0,0.0,305.8211806002073,p48g
2458305.8225926,b'g',2.729,6.2,26.237547,3.2791e-06,2.0,798.0,8.0,2.0,1.0,15.5418,0.428547,-0.502841,270.326,1.073,0.0,0.0,4.202792746877668,-0.08379697799682617,ztf_20180706322581_000798_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180706322581_000798_zg_c08_o_q2_diffimgpsf.fits',-36.17834921946523,20.68161975983818,-1.1572573468141467e-09,6.61554684715854e-10,2458203.8741782405,2458231.9921891205,7980821.0,4.09034,6.897978574385537,1.0298051323133302,0.0,0.0,305.8225925997831,p48g
2458305.8235069,b'g',2.598,6.2,26.235774,3.4937e-06,1.0,798.0,8.0,2.0,1.0,15.5528,0.432726,-0.502718,270.312,1.073,0.0,0.0,3.938180046629905,-0.019886374473571777,ztf_20180706323495_000798_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180706323495_000798_zg_c08_o_q2_diffimgpsf.fits',-6.685799187328362,18.945008796754095,-2.1421196649678634e-10,6.069951363998263e-10,2458203.8741782405,2458231.9921891205,7980821.0,4.11676,6.897978574385537,1.0298051323133302,0.0,0.0,305.82350690010935,p48g
2458305.8449306,b'r',2.243,6.2,26.170678,1.841e-06,1.0,797.0,5.0,1.0,2.0,15.8054,0.530848,-0.500521,270.06,1.116,0.0,0.0,4.957902752518653,-0.2583724856376648,ztf_20180706344907_000797_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180706344907_000797_zr_c05_o_q1_diffimgpsf.fits',-14.741471875293893,21.522127803482512,-5.014985113586346e-10,7.32173499771973e-10,2458197.9309375,2458220.002326389,7970512.0,5.44213,-2.75907918263686,0.9769158672817471,0.0,0.0,305.8449305999093,p48r
2458305.8458449,b'r',2.299,6.2,26.196339,1.9491e-06,2.0,798.0,8.0,2.0,2.0,15.8159,0.535045,-0.50046,270.053,1.084,0.0,0.0,5.4227438512325286,-0.4131793975830078,ztf_20180706345833_000798_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180706345833_000798_zr_c08_o_q2_diffimgpsf.fits',-16.034479377101682,24.884842289103645,-5.327448540289601e-10,8.267977625630529e-10,2458198.9242824074,2458255.828057755,7980822.0,5.61536,-9.142153998614969,1.0052631567805372,0.0,0.0,305.8458448997699,p48r
2458305.8472338,b'r',2.411,6.2,26.165577,1.8878e-06,2.0,797.0,5.0,1.0,2.0,15.8318,0.54142,-0.500277,270.032,1.12,0.0,0.0,5.006597499847411,0.029958128929138184,ztf_20180706347234_000797_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180706347234_000797_zr_c05_o_q1_diffimgpsf.fits',-37.44028761951933,22.88130644947577,-1.279700608235179e-09,7.820779070474483e-10,2458197.9309375,2458220.002326389,7970512.0,5.47444,-2.75907918263686,0.9769158672817471,0.0,0.0,305.8472338002175,p48r
