jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458302.696088,b'g',2.517,6.2,26.219108,7.38e-06,2.0,759.0,1.0,2.0,1.0,339.038,-12.4176,-0.792229,305.765,1.04,0.0,0.0,3.8047605827450752,0.09454065561294556,ztf_20180703196065_000759_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180703196065_000759_zg_c01_o_q2_diffimgpsf.fits',-17.866804408589473,18.0603792601859,-5.81304497579551e-10,5.876025422390962e-10,2458166.9917939813,2458204.9383449075,7590121.0,3.75243,-7.107575776304374,1.0757487402127361,0.0,0.0,302.6960880002007,p48g
2458302.839213,b'r',3.638,6.2,26.081354,1.17245e-05,2.0,759.0,1.0,2.0,2.0,340.584,-12.0434,-0.780977,304.191,1.494,0.0,0.0,7.017519959926603,-0.010249435901641846,ztf_20180703339190_000759_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180703339190_000759_zr_c01_o_q2_diffimgpsf.fits',-18.742710121521405,35.62607249775196,-6.922943517841649e-10,1.3159104850330385e-09,2458155.0547569445,2458199.836111111,7590122.0,7.43457,5.810052814703884,0.9584551004155507,0.0,0.0,302.8392130001448,p48r
2458303.7181713,b'g',1.803,6.2,26.191422,7.3129e-06,1.0,759.0,1.0,2.0,1.0,350.9,-8.59465,-0.706935,294.448,1.065,0.0,0.0,4.083356881046295,0.2377488613128662,ztf_20180704218137_000759_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180704218137_000759_zg_c01_o_q2_diffimgpsf.fits',-4.054847163434923,15.708729741396189,-1.3533361704019938e-10,5.242908374411864e-10,2458166.9917939813,2458204.9383449075,7590121.0,3.84003,-7.107575776304374,1.0757487402127361,0.0,0.0,303.71817129990086,p48g
2458304.6855787,b'r',1.769,6.2,26.124084,8.1068e-06,2.0,759.0,1.0,2.0,2.0,1.98054,-4.57707,-0.61698,283.53,1.037,0.0,0.0,4.465150854206085,-0.009984135627746582,ztf_20180705185579_000759_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180705185579_000759_zr_c01_o_q2_diffimgpsf.fits',-8.580410601898357,15.243427891922057,-3.047014148415098e-10,5.413137274242564e-10,2458155.0547569445,2458199.836111111,7590122.0,5.129,5.810052814703884,0.9584551004155507,0.0,0.0,304.685578700155,p48r
2458304.7007639,b'g',1.854,6.2,26.198693,6.2758e-06,2.0,759.0,1.0,2.0,1.0,2.19941,-4.51671,-0.615556,283.363,1.048,0.0,0.0,3.878272835350036,0.1573629379272461,ztf_20180705200752_000759_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180705200752_000759_zg_c01_o_q2_diffimgpsf.fits',-0.9869873315695887,15.790065169980329,-3.2721588469658686e-11,5.234879900429527e-10,2458166.9917939813,2458204.9383449075,7590121.0,3.92493,-7.107575776304374,1.0757487402127361,0.0,0.0,304.70076389983296,p48g
2458304.7141435,b'g',1.796,6.2,26.198196,7.2104e-06,2.0,759.0,1.0,2.0,1.0,2.38782,-4.46361,-0.61419,283.202,1.064,0.0,0.0,3.912559598684311,0.4244556427001953,ztf_20180705214109_000759_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180705214109_000759_zg_c01_o_q2_diffimgpsf.fits',-28.80380066937027,15.551949230330019,-9.55369553721112e-10,5.158298020232242e-10,2458166.9917939813,2458204.9383449075,7590121.0,3.90897,-7.107575776304374,1.0757487402127361,0.0,0.0,304.7141435001977,p48g
2458304.8064699,b'g',2.077,6.2,26.162465,7.7977e-06,2.0,759.0,1.0,2.0,1.0,3.55983,-4.0965,-0.605198,282.146,1.332,0.0,0.0,4.284306482672692,-0.10244232416152954,ztf_20180705306458_000759_zg_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180705306458_000759_zg_c01_o_q2_diffimgpsf.fits',6.379084719985017,17.410962234591164,2.1866152366724995e-10,5.968109372829858e-10,2458166.9917939813,2458204.9383449075,7590121.0,4.63609,-7.107575776304374,1.0757487402127361,0.0,0.0,304.8064699000679,p48g
2458304.8283333,b'r',1.618,6.2,26.086208,6.0989e-06,2.0,759.0,1.0,2.0,2.0,3.8023,-4.00867,-0.603109,281.901,1.458,0.0,0.0,5.3431679029464725,0.06527972221374512,ztf_20180705328310_000759_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180705328310_000759_zr_c01_o_q2_diffimgpsf.fits',26.560851615487206,18.44669632216859,9.766946203401064e-10,6.78321212072647e-10,2458155.0547569445,2458199.836111111,7590122.0,6.57836,5.810052814703884,0.9584551004155507,0.0,0.0,304.8283333000727,p48r
2458304.8492593,b'r',1.869,6.2,26.052821,6.796e-06,2.0,759.0,1.0,2.0,2.0,4.02169,-3.92403,-0.601017,281.656,1.615,0.0,0.0,6.559973070240021,-0.09021270275115967,ztf_20180705349248_000759_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180705349248_000759_zr_c01_o_q2_diffimgpsf.fits',19.543577059007074,22.754961450442128,7.410980243957979e-10,8.628746378133942e-10,2458155.0547569445,2458199.836111111,7590122.0,7.23842,5.810052814703884,0.9584551004155507,0.0,0.0,304.8492593001574,p48r
2458305.6838889,b'r',2.111,6.2,25.986367,6.71e-06,2.0,759.0,1.0,2.0,2.0,13.6064,-0.197212,-0.517119,271.962,1.037,0.0,0.0,5.242271963596343,-0.720098614692688,ztf_20180706183808_000759_zr_c01_o_q2_scimrefdiffimg.fits,b'ztf_20180706183808_000759_zr_c01_o_q2_diffimgpsf.fits',-17.578473551570553,18.781937843737524,-7.086541909688501e-10,7.571703497835575e-10,2458155.0547569445,2458199.836111111,7590122.0,5.44444,5.810052814703884,0.9584551004155507,0.0,0.0,305.68388890009373,p48r
