jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458305.6838889,b'r',2.112,6.2,26.041265,8.6501e-06,2.0,759.0,2.0,3.0,2.0,13.6064,-0.197212,-0.517119,271.962,1.037,0.0,0.0,5.31243996887207,-0.02437281608581543,ztf_20180706183808_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180706183808_000759_zr_c02_o_q3_diffimgpsf.fits',10.858072039236916,20.144143631081,4.161469526211725e-10,7.720453460818992e-10,2458155.0547569445,2458199.836111111,7590232.0,5.66319,3.171785910062707,1.0300493642636013,0.0,0.0,305.68388890009373,p48r
2458305.6987153,b'g',2.174,6.2,26.026698,9.0788e-06,2.0,759.0,2.0,3.0,1.0,13.8345,-0.131004,-0.515594,271.787,1.049,0.0,0.0,4.042381661820411,0.28982388973236084,ztf_20180706198646_000759_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180706198646_000759_zg_c02_o_q3_diffimgpsf.fits',-11.57490759918127,14.407299242930739,-4.496124543776365e-10,5.596330785544686e-10,2458166.9917939813,2458204.9383449075,7590231.0,4.16737,-2.8541482509813654,0.9245451639967444,0.0,0.0,305.69871529983357,p48g
2458305.7282292,b'g',1.956,6.2,26.166646,7.4781e-06,2.0,759.0,2.0,3.0,1.0,14.2755,0.00120389,-0.512544,271.438,1.09,0.0,0.0,3.8609706203341485,-0.4393283724784851,ztf_20180706228194_000759_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180706228194_000759_zg_c02_o_q3_diffimgpsf.fits',1.901758864427783,13.587927152664676,6.493772194686454e-11,4.6397524511599636e-10,2458166.9917939813,2458204.9383449075,7590231.0,4.04547,-2.8541482509813654,0.9245451639967444,0.0,0.0,305.7282292000018,p48g
2458305.8015625,b'g',2.551,6.2,26.190253,1.1048e-05,2.0,759.0,2.0,3.0,1.0,15.2805,0.332637,-0.505038,270.577,1.321,0.0,0.0,4.144989907991885,-0.15560436248779297,ztf_20180706301482_000759_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180706301482_000759_zg_c02_o_q3_diffimgpsf.fits',24.826016490942425,18.203533499114688,8.294798482353394e-10,6.082113177986266e-10,2458166.9917939813,2458204.9383449075,7590231.0,4.47746,-2.8541482509813654,0.9245451639967444,0.0,0.0,305.80156250018626,p48g
2458305.8699653,b'r',3.713,6.2,26.017143,2.11216e-05,2.0,759.0,2.0,3.0,2.0,16.0839,0.645999,-0.497958,269.766,1.853,0.0,0.0,7.86549711227417,-0.012579798698425293,ztf_20180706369942_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180706369942_000759_zr_c02_o_q3_diffimgpsf.fits',-76.3214100351298,55.75089075111321,-2.9908124879244256e-09,2.1847140960016435e-09,2458155.0547569445,2458199.836111111,7590232.0,8.51671,3.171785910062707,1.0300493642636013,0.0,0.0,305.86996529996395,p48r
2458305.8865509,b'r',3.005,6.2,25.951001,1.68776e-05,2.0,759.0,2.0,3.0,2.0,16.2587,0.722557,-0.496249,269.57,2.076,0.0,0.0,8.569421010684966,-0.3529090881347656,ztf_20180706386470_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180706386470_000759_zr_c02_o_q3_diffimgpsf.fits',-49.29921781302836,44.62297012573382,-2.053239585983684e-09,1.8584807788902195e-09,2458155.0547569445,2458199.836111111,7590232.0,9.40608,3.171785910062707,1.0300493642636013,0.0,0.0,305.8865509000607,p48r
2458306.6949306,b'r',1.637,6.2,26.042625,7.5942e-06,2.0,759.0,2.0,3.0,2.0,25.7788,4.35736,-0.411873,259.848,1.048,0.0,0.0,4.661790426254273,0.09155702590942383,ztf_20180707194931_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180707194931_000759_zr_c02_o_q3_diffimgpsf.fits',-14.316683810636853,16.44168321420207,-5.480149843067978e-10,6.293558541874785e-10,2458155.0547569445,2458199.836111111,7590232.0,5.15828,3.171785910062707,1.0300493642636013,0.0,0.0,306.6949306000024,p48r
2458306.6959028,b'r',1.597,6.2,26.0521,7.8592e-06,1.0,759.0,2.0,3.0,2.0,25.7948,4.36194,-0.411813,259.841,1.049,0.0,0.0,4.330296883487701,-0.10301387310028076,ztf_20180707195868_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180707195868_000759_zr_c02_o_q3_diffimgpsf.fits',7.933752629469871,15.33477199272221,3.010500164400047e-10,5.818852157549047e-10,2458155.0547569445,2458199.836111111,7590232.0,5.12706,3.171785910062707,1.0300493642636013,0.0,0.0,306.69590280018747,p48r
2458306.7222338,b'g',2.377,6.2,26.095174,2.14956e-05,2.0,759.0,2.0,3.0,1.0,26.2211,4.48665,-0.40899,259.513,1.084,0.0,0.0,3.806865599060058,0.09325909614562988,ztf_20180707222211_000759_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180707222211_000759_zg_c02_o_q3_diffimgpsf.fits',-4.973802437422011,15.508636333299949,-1.8139233477678398e-10,5.655929822608999e-10,2458166.9917939813,2458204.9383449075,7590231.0,3.87566,-2.8541482509813654,0.9245451639967444,0.0,0.0,306.7222338002175,p48g
2458306.7274653,b'g',1.927,6.2,26.096485,7.1908e-06,1.0,759.0,2.0,3.0,1.0,26.3044,4.5116,-0.40845,259.45,1.093,0.0,0.0,3.7420348974704742,-0.16763228178024292,ztf_20180707227431_000759_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180707227431_000759_zg_c02_o_q3_diffimgpsf.fits',-21.95942704421204,12.995237379347815,-7.998839903814991e-10,4.733585403057361e-10,2458166.9917939813,2458204.9383449075,7590231.0,3.86289,-2.8541482509813654,0.9245451639967444,0.0,0.0,306.72746529988945,p48g
