jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458306.8282986,b'g',2.155,6.2,25.99778,3.5747e-06,2.0,849.0,6.0,2.0,1.0,27.7882,5.00292,-0.397912,258.219,1.229,0.0,0.0,3.733058321332931,-0.0007287263870239258,ztf_20180707328299_000849_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180707328299_000849_zg_c06_o_q2_diffimgpsf.fits',34.12655390215166,30.714770138105777,1.3613833520882031e-09,1.225279787974035e-09,2458205.978090278,2458290.931483183,8490621.0,4.14626,-0.5682526795322302,1.8716222540990959,0.0,0.0,306.8282985999249,p48g
2458306.8447454,b'g',1.696,6.2,26.014981,3.3495e-06,2.0,849.0,6.0,2.0,1.0,28.0049,5.08455,-0.396239,258.023,1.234,0.0,0.0,3.3801660525441166,0.22565793991088867,ztf_20180707344745_000849_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180707344745_000849_zg_c06_o_q2_diffimgpsf.fits',-48.83026407747197,36.139319066486216,-1.9173291407134494e-09,1.4190168921139384e-09,2458205.978090278,2458290.931483183,8490621.0,4.20904,-0.5682526795322302,1.8716222540990959,0.0,0.0,306.84474539989606,p48g
2458307.8271181,b'g',1.788,6.2,26.041213,3.1581e-06,2.0,849.0,6.0,2.0,1.0,40.5276,9.42244,-0.29457,245.741,1.229,0.0,0.0,3.5994434053897812,-0.0036824941635131836,ztf_20180708327095_000849_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180708327095_000849_zg_c06_o_q2_diffimgpsf.fits',-7.51255171535391,40.334696928518746,-2.879401818808748e-10,1.5459434303757374e-09,2458205.978090278,2458290.931483183,8490621.0,4.19521,-0.5682526795322302,1.8716222540990959,0.0,0.0,307.8271181001328,p48g
2458307.8438426,b'g',1.631,6.2,26.070581,3.2709e-06,2.0,849.0,6.0,2.0,1.0,40.7773,9.50708,-0.292902,245.531,1.235,0.0,0.0,3.982578022623062,-0.3401181697845459,ztf_20180708343843_000849_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180708343843_000849_zg_c06_o_q2_diffimgpsf.fits',3.135036807827981,26.658608449590393,1.1695269775544768e-10,9.945006606624307e-10,2458205.978090278,2458290.931483183,8490621.0,4.17287,-0.5682526795322302,1.8716222540990959,0.0,0.0,307.8438426000066,p48g
2458307.8733449,b'r',1.736,6.2,26.110876,1.9664e-06,2.0,849.0,6.0,2.0,2.0,41.1987,9.65764,-0.289907,245.154,1.259,0.0,0.0,4.565226139831543,-0.06897604465484619,ztf_20180708373276_000849_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180708373276_000849_zr_c06_o_q2_diffimgpsf.fits',45.886105941988404,58.19143991606137,1.6494182802971442e-09,2.091744827416994e-09,2458187.019085648,2458275.914797581,8490622.0,5.40657,-48.16652804709952,2.391574552607025,0.0,0.0,307.8733449000865,p48r
2458307.8879398,b'r',1.76,6.2,26.115495,1.7927e-06,2.0,849.0,6.0,2.0,2.0,41.3979,9.73254,-0.288468,244.972,1.276,0.0,0.0,4.826030592989921,0.0996544361114502,ztf_20180708387905_000849_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180708387905_000849_zr_c06_o_q2_diffimgpsf.fits',40.25982719856148,62.066236188891324,1.4410329340425323e-09,2.2215567394065197e-09,2458187.019085648,2458275.914797581,8490622.0,5.65463,-48.16652804709952,2.391574552607025,0.0,0.0,307.88793980004266,p48r
2458307.9140856,b'r',1.599,6.2,26.100217,2.2451e-06,2.0,849.0,6.0,2.0,2.0,41.739,9.86704,-0.285817,244.636,1.319,0.0,0.0,5.006510430836677,-0.25867730379104614,ztf_20180708414016_000849_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180708414016_000849_zr_c06_o_q2_diffimgpsf.fits',63.35783682359545,43.04880246682327,2.299924295938649e-09,1.5626951876629805e-09,2458187.019085648,2458275.914797581,8490622.0,5.93305,-48.16652804709952,2.391574552607025,0.0,0.0,307.9140856000595,p48r
2458307.9461458,b'g',2.001,6.2,26.076298,3.4036e-06,2.0,849.0,6.0,2.0,1.0,42.1298,10.0318,-0.282569,244.223,1.393,0.0,0.0,5.036151271271702,0.0987313985824585,ztf_20180708446146_000849_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180708446146_000849_zg_c06_o_q2_diffimgpsf.fits',-12.725668863643138,37.613603473362375,-4.722385298725767e-10,1.395808188772528e-09,2458205.978090278,2458290.931483183,8490621.0,5.13913,-0.5682526795322302,1.8716222540990959,0.0,0.0,307.9461457999423,p48g
2458308.8214236,b'r',1.66,6.2,25.70865,3.5129e-06,2.0,849.0,6.0,2.0,2.0,53.9473,13.4306,-0.198007,232.844,1.229,0.0,0.0,6.573520421028137,0.7945446968078613,ztf_20180709321400_000849_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180709321400_000849_zr_c06_o_q2_diffimgpsf.fits',22.0925747041291,75.73062623510977,1.15023434787442e-09,3.9428617374063356e-09,2458187.019085648,2458275.914797581,8490622.0,7.51112,-48.16652804709952,2.391574552607025,0.0,0.0,308.82142359996215,p48r
2458308.8524537,b'r',1.901,6.2,25.7822,2.4911e-06,2.0,849.0,6.0,2.0,2.0,54.4689,13.5778,-0.195193,232.438,1.242,0.0,0.0,6.0526516570091164,-0.2060868740081787,ztf_20180709352454_000849_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180709352454_000849_zr_c06_o_q2_diffimgpsf.fits',-7.025518675855707,51.38311226539112,-3.4182072627532245e-10,2.500002286408272e-09,2458187.019085648,2458275.914797581,8490622.0,7.4957,-48.16652804709952,2.391574552607025,0.0,0.0,308.8524536998011,p48r
