jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458308.7148727,b'g',1.939,6.2,26.142434,1.08088e-05,1.0,823.0,8.0,2.0,1.0,52.0149,12.96,-0.207874,234.25,1.151,0.0,0.0,4.182393790233135,-0.3010425567626953,ztf_20180709214873_000823_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180709214873_000823_zg_c08_o_q2_diffimgpsf.fits',-18.190332890827968,21.06374855811723,-6.351364640748689e-10,7.354650879756475e-10,2458202.806400463,2458227.8741692593,8230821.0,4.39847,-13.344728615808979,1.341082380057843,0.0,0.0,308.71487270016223,p48g
2458308.7417014,b'r',1.856,6.2,26.094796,1.12407e-05,1.0,823.0,8.0,2.0,2.0,52.5165,13.0727,-0.205403,233.9,1.18,0.0,0.0,5.992880628252028,0.27503836154937744,ztf_20180709241701_000823_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180709241701_000823_zr_c08_o_q2_diffimgpsf.fits',20.973349856312975,33.11728149808034,7.651549662174844e-10,1.208192900992207e-09,2458187.008969907,2458219.937962963,8230822.0,5.85142,-21.589150850686295,1.5692730932157761,0.0,0.0,308.74170139990747,p48r
2458312.7190972,b'r',2.399,6.2,26.017219,1.15189e-05,1.0,822.0,5.0,1.0,2.0,113.154,19.6307,0.000136608,178.661,1.223,0.0,0.0,5.169307007408141,-0.11387300491333008,ztf_20180713219028_000822_zr_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180713219028_000822_zr_c05_o_q1_diffimgpsf.fits',55.38655055020989,36.56362819354522,2.17028474784732e-09,1.4327211898260792e-09,2458186.9070717595,2458217.861689815,8220512.0,5.8179,-10.068122849727995,1.6889344882152566,0.0,0.0,312.7190971998498,p48r
2458312.7195949,b'r',1.927,6.2,26.045161,1.24015e-05,1.0,823.0,8.0,2.0,2.0,113.164,19.6296,0.000138038,178.654,1.165,0.0,0.0,5.33089550538063,0.5495622158050537,ztf_20180713219549_000823_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180713219549_000823_zr_c08_o_q2_diffimgpsf.fits',8.562834129635966,33.01080256723926,3.270040499218979e-10,1.2606417416572938e-09,2458187.008969907,2458219.937962963,8230822.0,5.91667,-21.589150850686295,1.5692730932157761,0.0,0.0,312.71959490003064,p48r
2458312.7205093,b'r',1.989,6.2,26.065837,1.15296e-05,2.0,823.0,8.0,2.0,2.0,113.183,19.6275,0.000140921,178.64,1.166,0.0,0.0,6.377935538673402,-0.3148355484008789,ztf_20180713220498_000823_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180713220498_000823_zr_c08_o_q2_diffimgpsf.fits',-2.0823885846174477,44.94341706352478,-7.802377779244963e-11,1.6839581296698631e-09,2458187.008969907,2458219.937962963,8230822.0,5.91829,-21.589150850686295,1.5692730932157761,0.0,0.0,312.7205093000084,p48r
2458312.741794,b'r',3.351,6.2,26.090002,9.3841e-06,2.0,823.0,8.0,2.0,2.0,113.621,19.5815,0.000210114,178.339,1.197,0.0,0.0,5.824303507804871,-0.3075675964355469,ztf_20180713241794_000823_zr_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180713241794_000823_zr_c08_o_q2_diffimgpsf.fits',44.578852507146415,47.05236059153079,1.6335336502472695e-09,1.7241721136740655e-09,2458187.008969907,2458219.937962963,8230822.0,5.81949,-21.589150850686295,1.5692730932157761,0.0,0.0,312.7417939999141,p48r
2458312.8313773,b'g',1.841,6.2,25.959497,1.4499e-05,2.0,823.0,8.0,2.0,1.0,115.529,19.4262,0.000661695,177.052,1.466,0.0,0.0,4.735291251659393,0.1775496006011963,ztf_20180713331377_000823_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180713331377_000823_zg_c08_o_q2_diffimgpsf.fits',-9.606140115882571,23.498935777342567,-3.9696308037385985e-10,9.710674442898614e-10,2458202.806400463,2458227.8741692593,8230821.0,4.92156,-13.344728615808979,1.341082380057843,0.0,0.0,312.83137729996815,p48g
2458312.8464236,b'g',1.883,6.2,25.904987,1.32042e-05,2.0,823.0,8.0,2.0,1.0,115.853,19.4068,0.00076258,176.835,1.542,0.0,0.0,4.333620415401458,0.30394983291625977,ztf_20180713346424_000823_zg_c08_o_q2_scimrefdiffimg.fits,b'ztf_20180713346424_000823_zg_c08_o_q2_diffimgpsf.fits',-4.6830887497553135,22.88779507740057,-2.0348743067761583e-10,9.945100046275628e-10,2458202.806400463,2458227.8741692593,8230821.0,5.15413,-13.344728615808979,1.341082380057843,0.0,0.0,312.846423599869,p48g
2458315.676331,b'g',2.303,6.2,25.99604,1.43626e-05,2.0,822.0,5.0,1.0,1.0,158.42,10.9831,0.134884,136.906,1.167,0.0,0.0,5.357731416416167,0.016903996467590332,ztf_20180716176331_000822_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180716176331_000822_zg_c05_o_q1_diffimgpsf.fits',-15.386894219617082,24.027608818248282,-6.148015703891043e-10,9.60051549314661e-10,2458202.807349537,2458232.7812498263,8220511.0,6.09783,0.2671150957754651,1.0941883428738715,0.0,0.0,315.6763309999369,p48g
2458315.6772454,b'g',2.538,6.2,25.9942,1.4589e-05,1.0,822.0,5.0,1.0,1.0,158.432,10.9782,0.134968,136.892,1.168,0.0,0.0,5.555025991201401,-0.15603065490722656,ztf_20180716177234_000822_zg_c05_o_q1_scimrefdiffimg.fits,b'ztf_20180716177234_000822_zg_c05_o_q1_diffimgpsf.fits',12.638693490556113,26.33891903388417,5.058504976766119e-10,1.0541877063311072e-09,2458202.807349537,2458232.7812498263,8220511.0,5.83932,0.2671150957754651,1.0941883428738715,0.0,0.0,315.6772453999147,p48g
