jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458306.6827894,b'r',2.589,6.2,25.989049,1.23241e-05,1.0,846.0,2.0,4.0,2.0,25.5784,4.3004,-0.413195,260.002,1.227,0.0,0.0,5.5112350507259364,-0.18185532093048096,ztf_20180707182778_000846_zr_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180707182778_000846_zr_c02_o_q4_diffimgpsf.fits',-12.977358298806266,22.86957325515868,-5.218752435049807e-10,9.196836395228732e-10,2458187.014664352,2458222.870289352,8460242.0,5.72892,-1.7900022454267168,1.0969634643354953,0.0,0.0,306.6827894002199,p48r
2458312.7200463,b'r',1.536,6.2,26.01424,1.13512e-05,1.0,846.0,2.0,4.0,2.0,113.174,19.6286,0.000139476,178.647,1.26,0.0,0.0,5.665116937708852,0.05172830820083618,ztf_20180713220046_000846_zr_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180713220046_000846_zr_c02_o_q4_diffimgpsf.fits',10.062936004272144,20.005839027860677,3.953927582312354e-10,7.860691820664571e-10,2458187.014664352,2458222.870289352,8460242.0,5.78822,-1.7900022454267168,1.0969634643354953,0.0,0.0,312.72004629997537,p48r
2458312.8318403,b'g',1.778,6.2,25.962262,1.2393e-05,1.0,846.0,2.0,4.0,1.0,115.539,19.4256,0.000664838,177.045,1.529,0.0,0.0,4.7286861307621,0.2887134552001953,ztf_20180713331829_000846_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180713331829_000846_zg_c02_o_q4_diffimgpsf.fits',10.703549902266996,15.17607272103347,4.4118733638258366e-10,6.255392988208536e-10,2458202.8444328704,2458232.7846535994,8460241.0,4.82215,-14.421393447994506,0.8553559001605671,0.0,0.0,312.8318403000012,p48g
2458315.6935417,b'r',1.804,6.2,28.035244,6.6527e-06,2.0,846.0,2.0,4.0,2.0,158.659,10.8911,0.136263,136.675,1.242,0.0,0.0,15.855275451087952,0.14530551433563232,ztf_20180716193461_000846_zr_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180716193461_000846_zr_c02_o_q4_diffimgpsf.fits',-214.9349473959125,87.90348936561736,-1.3128328507430518e-09,5.369186814208677e-10,2458187.014664352,2458222.870289352,8460242.0,14.1721,-1.7900022454267168,1.0969634643354953,0.0,0.0,315.69354170002043,p48r
2458315.7116088,b'g',2.066,6.2,28.009352,5.8891e-06,2.0,846.0,2.0,4.0,1.0,158.919,10.7947,0.137775,136.423,1.259,0.0,0.0,12.697384423875807,0.6412894129753113,ztf_20180716211528_000846_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180716211528_000846_zg_c02_o_q4_diffimgpsf.fits',28.880182291360956,45.20802605029905,1.8065880374391694e-10,2.82796965182695e-10,2458202.8444328704,2458232.7846535994,8460241.0,10.5498,-14.421393447994506,0.8553559001605671,0.0,0.0,315.71160880010575,p48g
2458315.7296644,b'r',1.855,6.2,27.975011,1.02254e-05,2.0,846.0,2.0,4.0,2.0,159.189,10.6986,0.139293,136.171,1.283,0.0,0.0,15.493427364587784,-0.08724457025527954,ztf_20180716229583_000846_zr_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180716229583_000846_zr_c02_o_q4_diffimgpsf.fits',-142.14541554939052,64.58718993579201,-9.177585886705452e-10,4.1700569846240143e-10,2458187.014664352,2458222.870289352,8460242.0,14.1016,-1.7900022454267168,1.0969634643354953,0.0,0.0,315.7296644002199,p48r
2458316.6977546,b'r',2.906,6.2,28.397578,3.11885e-05,2.0,846.0,2.0,4.0,2.0,172.652,6.29324,0.227056,123.085,1.248,0.0,0.0,18.124267970085143,0.5269629955291748,ztf_20180717197674_000846_zr_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180717197674_000846_zr_c02_o_q4_diffimgpsf.fits',-338.49199755036915,152.09387333304238,-1.4808709229161279e-09,6.653965135448901e-10,2458187.014664352,2458222.870289352,8460242.0,16.4358,-1.7900022454267168,1.0969634643354953,0.0,0.0,316.6977546000853,p48r
2458320.6750116,b'g',1.859,6.2,26.233122,1.67358e-05,2.0,846.0,2.0,4.0,1.0,223.403,-11.8065,0.640334,73.7,1.237,0.0,0.0,7.472445103454588,0.24019289016723633,ztf_20180721174977_000846_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180721174977_000846_zg_c02_o_q4_diffimgpsf.fits',129.99950334148053,23.390192081036695,4.175350066231379e-09,7.512508732942961e-10,2458202.8444328704,2458232.7846535994,8460241.0,8.35458,-14.421393447994506,0.8553559001605671,20.94826776724188,0.19535134995949802,320.67501159990206,p48g
2458320.6968866,b'g',1.861,6.2,26.235795,1.54161e-05,1.0,846.0,2.0,4.0,1.0,223.573,-11.8804,0.642383,73.4552,1.256,0.0,0.0,6.836358700323103,0.6543240547180176,ztf_20180721196887_000846_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180721196887_000846_zg_c02_o_q4_diffimgpsf.fits',128.41621436474546,21.548953679309648,4.114355963447182e-09,6.904117741866674e-10,2458202.8444328704,2458232.7846535994,8460241.0,7.48603,-14.421393447994506,0.8553559001605671,20.964245342448407,0.18219256332835818,320.6968865999952,p48g
2458320.6978009,b'g',1.769,6.2,26.221733,1.35718e-05,2.0,846.0,2.0,4.0,1.0,223.581,-11.8834,0.642441,73.4482,1.257,0.0,0.0,6.583270344018937,-0.036771535873413086,ztf_20180721197789_000846_zg_c02_o_q4_scimrefdiffimg.fits,b'ztf_20180721197789_000846_zg_c02_o_q4_diffimgpsf.fits',128.79443601935276,21.093866334357994,4.180265844880612e-09,6.846411378948819e-10,2458202.8444328704,2458232.7846535994,8460241.0,7.49565,-14.421393447994506,0.8553559001605671,20.946990245745774,0.17782114780800642,320.6978008998558,p48g
