jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458311.6733565,b'r',1.971,6.2,26.015917,6.933e-06,2.0,677.0,3.0,2.0,2.0,96.1722,19.9954,-0.0139766,193.579,1.007,0.0,0.0,6.904175225257873,-0.4399321675300598,ztf_20180712173333_000677_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180712173333_000677_zr_c03_o_q2_diffimgpsf.fits',5.18908846244467,38.05888117483312,2.0357492080512785e-10,1.4931011057481991e-09,2458155.0652199076,2458217.952025463,6770322.0,6.23798,-6.328051765846106,1.2958006341136457,0.0,0.0,311.6733564999886,p48r
2458311.6743866,b'r',1.597,6.2,26.015722,7.1816e-06,1.0,677.0,3.0,2.0,2.0,96.1931,19.9947,-0.013948,193.565,1.007,0.0,0.0,6.0233610142707805,0.4208493232727051,ztf_20180712174271_000677_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180712174271_000677_zr_c03_o_q2_diffimgpsf.fits',-21.12781413105062,26.723214371558516,-8.290214499873602e-10,1.0485759572437975e-09,2458155.0652199076,2458217.952025463,6770322.0,6.02963,-6.328051765846106,1.2958006341136457,0.0,0.0,311.67438660003245,p48r
2458311.7080324,b'r',1.738,6.2,26.02133,7.7678e-06,2.0,677.0,3.0,2.0,2.0,96.8867,19.9758,-0.0129774,193.082,1.046,0.0,0.0,4.926051881408691,0.7174440026283264,ztf_20180712208021_000677_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180712208021_000677_zr_c03_o_q2_diffimgpsf.fits',0.5133050226357634,22.741186081800123,2.0037499005506806e-11,8.877304398041417e-10,2458155.0652199076,2458217.952025463,6770322.0,5.17558,-6.328051765846106,1.2958006341136457,0.0,0.0,311.70803239988163,p48r
2458311.7122222,b'r',1.883,6.2,26.016311,6.899e-06,2.0,677.0,3.0,2.0,2.0,96.9745,19.974,-0.0128671,193.027,1.053,0.0,0.0,5.596686208391189,-0.18815374374389648,ztf_20180712212211_000677_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180712212211_000677_zr_c03_o_q2_diffimgpsf.fits',-26.140901479418275,25.531281469052256,-1.0251706410601464e-09,1.0012631053246957e-09,2458155.0652199076,2458217.952025463,6770322.0,5.31267,-6.328051765846106,1.2958006341136457,0.0,0.0,311.71222219988704,p48r
2458311.7345486,b'g',1.884,6.2,25.628975,3.19382e-05,2.0,677.0,3.0,2.0,1.0,97.4461,19.9669,-0.0122554,192.712,1.103,0.0,0.0,4.81056579504013,-0.16586285829544067,ztf_20180712234525_000677_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180712234525_000677_zg_c03_o_q2_diffimgpsf.fits',-46.52249308233904,21.08549865648035,-2.6065915316483557e-09,1.1813915960404246e-09,2458166.9863541666,2458204.9587037037,6770321.0,4.65402,10.38335359042169,1.1299433827013097,0.0,0.0,311.7345485999249,p48g
2458311.7483449,b'g',2.123,6.2,26.01674,1.17602e-05,1.0,677.0,3.0,2.0,1.0,97.7404,19.9645,-0.0118822,192.516,1.144,0.0,0.0,4.627108625030518,0.30000436305999756,ztf_20180712248322_000677_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180712248322_000677_zg_c03_o_q2_diffimgpsf.fits',19.747822085015102,22.380780817832818,7.741465912973005e-10,8.773628356028066e-10,2458166.9863541666,2458204.9587037037,6770321.0,4.52207,10.38335359042169,1.1299433827013097,0.0,0.0,311.7483449000865,p48g
2458311.759375,b'g',1.708,6.2,26.019901,7.8567e-06,2.0,677.0,3.0,2.0,1.0,97.9769,19.9637,-0.0115668,192.348,1.184,0.0,0.0,4.443184830999375,0.43235552310943604,ztf_20180712259352_000677_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180712259352_000677_zg_c03_o_q2_diffimgpsf.fits',2.627749424474631,18.79593851616023,1.0271255904551856e-10,7.346891323338468e-10,2458166.9863541666,2458204.9587037037,6770321.0,4.5646,10.38335359042169,1.1299433827013097,0.0,0.0,311.75937499990687,p48g
2458311.8292245,b'g',2.148,6.2,25.857067,1.25656e-05,2.0,677.0,3.0,2.0,1.0,99.4827,19.9833,-0.00979888,191.362,1.652,0.0,0.0,5.904921893572807,-0.1775738000869751,ztf_20180712329213_000677_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180712329213_000677_zg_c03_o_q2_diffimgpsf.fits',-1.8207199238762168,26.67029149054711,-8.268302262599893e-11,1.21115844663295e-09,2458166.9863541666,2458204.9587037037,6770321.0,5.37129,10.38335359042169,1.1299433827013097,0.0,0.0,311.8292244998738,p48g
2458312.6950347,b'r',2.263,6.2,26.029238,8.0687e-06,2.0,677.0,3.0,2.0,2.0,112.671,19.6865,7.45861e-05,179.01,1.03,0.0,0.0,5.523182428908347,0.5901477336883545,ztf_20180713195023_000677_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180713195023_000677_zr_c03_o_q2_diffimgpsf.fits',-62.16088748120915,28.24353784323072,-2.4089179419966245e-09,1.0945204906491498e-09,2458155.0652199076,2458217.952025463,6770322.0,5.64379,-6.328051765846106,1.2958006341136457,0.0,0.0,312.69503469998017,p48r
2458312.7136111,b'r',1.548,6.2,26.040997,8.4915e-06,2.0,677.0,3.0,2.0,2.0,113.043,19.6431,0.000120024,178.745,1.061,0.0,0.0,5.880081384539602,0.8024609684944153,ztf_20180713213600_000677_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180713213600_000677_zr_c03_o_q2_diffimgpsf.fits',-36.77780578850373,25.042051650993983,-1.409895794496869e-09,9.599997213992376e-10,2458155.0652199076,2458217.952025463,6770322.0,5.60597,-6.328051765846106,1.2958006341136457,0.0,0.0,312.713611099869,p48r
