jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458313.7076505,b'r',2.064,6.2,26.17967,2.0279e-06,2.0,634.0,6.0,3.0,2.0,128.821,17.87,0.018109,164.533,1.014,0.0,0.0,5.477305811309815,1.173038125038147,ztf_20180714207593_000634_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180714207593_000634_zr_c06_o_q3_diffimgpsf.fits',0.6873851020710511,31.86992231059666,2.3191674944117572e-11,1.0752587981536447e-09,2458158.9918055558,2458219.003761574,6340632.0,6.0775,-10.876345496577562,1.4808263650173457,0.0,0.0,313.70765049988404,p48r
2458313.7096412,b'r',1.603,6.2,26.188887,1.6081e-06,2.0,634.0,6.0,3.0,2.0,128.858,17.8623,0.0181742,164.505,1.013,0.0,0.0,4.9844229354858385,0.6774164438247681,ztf_20180714209560_000634_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180714209560_000634_zr_c06_o_q3_diffimgpsf.fits',-12.60735084079713,25.23747061341806,-4.2176354475640024e-10,8.442887963551421e-10,2458158.9918055558,2458219.003761574,6340632.0,5.91191,-10.876345496577562,1.4808263650173457,0.0,0.0,313.70964120002463,p48r
2458313.7325347,b'g',1.787,6.2,26.165544,2.1135e-06,2.0,634.0,6.0,3.0,1.0,129.292,17.7751,0.0189319,164.183,1.01,0.0,0.0,4.798359678697585,2.4531461000442505,ztf_20180714232442_000634_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180714232442_000634_zg_c06_o_q3_diffimgpsf.fits',-3.0236507791642584,20.557661273012346,-1.0335084463926915e-10,7.026775945868864e-10,2458203.8988310187,2458206.0258101854,6340631.0,4.74237,-5.310229159064674,1.1228918018308445,0.0,0.0,313.7325347000733,p48g
2458313.816875,b'g',1.829,6.2,26.087194,2.3116e-06,2.0,634.0,6.0,3.0,1.0,130.982,17.4802,0.0218991,162.98,1.154,0.0,0.0,4.679325320982933,0.5874294638633728,ztf_20180714316863_000634_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180714316863_000634_zg_c06_o_q3_diffimgpsf.fits',7.382710444778024,20.89518604546441,2.7123031941675886e-10,7.6765952393463e-10,2458203.8988310187,2458206.0258101854,6340631.0,4.80476,-5.310229159064674,1.1228918018308445,0.0,0.0,313.8168750000186,p48g
2458313.8542708,b'g',2.053,6.2,26.083061,2.6753e-06,2.0,634.0,6.0,3.0,1.0,131.762,17.3654,0.0232774,162.448,1.328,0.0,0.0,4.423286959528923,0.8787834644317627,ztf_20180714354259_000634_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180714354259_000634_zg_c06_o_q3_diffimgpsf.fits',17.681938964422464,21.065095038073387,6.520869172818881e-10,7.76853314180938e-10,2458203.8988310187,2458206.0258101854,6340631.0,5.03414,-5.310229159064674,1.1228918018308445,0.0,0.0,313.8542708000168,p48g
2458314.6894213,b'r',1.629,6.2,26.190004,1.7405e-06,2.0,634.0,6.0,3.0,2.0,143.903,14.9038,0.0642722,150.628,1.025,0.0,0.0,6.0099369744777675,-0.6125320196151733,ztf_20180715189421_000634_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180715189421_000634_zr_c06_o_q3_diffimgpsf.fits',5.419673935607291,32.112388347619834,1.8112214750399652e-10,1.0731761371824487e-09,2458158.9918055558,2458219.003761574,6340632.0,6.36121,-10.876345496577562,1.4808263650173457,0.0,0.0,314.689421299845,p48r
2458314.7290162,b'r',1.525,6.2,26.166806,1.8134e-06,1.0,634.0,6.0,3.0,2.0,144.563,14.7105,0.0666879,150.069,1.01,0.0,0.0,5.333831204414368,1.0760040283203125,ztf_20180715228958_000634_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180715228958_000634_zr_c06_o_q3_diffimgpsf.fits',17.5908475997863,26.734560677731483,6.00571011946844e-10,9.12747499465816e-10,2458158.9918055558,2458219.003761574,6340632.0,6.27651,-10.876345496577562,1.4808263650173457,0.0,0.0,314.72901620017365,p48r
2458314.7499306,b'g',2.431,6.2,26.120701,3.1663e-06,2.0,634.0,6.0,3.0,1.0,144.929,14.6101,0.0679419,149.782,1.022,0.0,0.0,4.5280162986516945,-1.464718997478485,ztf_20180715249907_000634_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180715249907_000634_zg_c06_o_q3_diffimgpsf.fits',31.46898769703276,23.790735729429596,1.1209916370526783e-09,8.474761263049465e-10,2458203.8988310187,2458206.0258101854,6340631.0,4.71469,-5.310229159064674,1.1228918018308445,0.0,0.0,314.74993060017005,p48g
2458314.816169,b'g',2.025,6.2,26.090069,2.6512e-06,2.0,634.0,6.0,3.0,1.0,146.159,14.3045,0.0720842,148.852,1.161,0.0,0.0,4.454798490548134,1.749468982219696,ztf_20180715316157_000634_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180715316157_000634_zg_c06_o_q3_diffimgpsf.fits',2.3484551535662117,20.621837382757615,8.605075224907686e-11,7.55613585743725e-10,2458203.8988310187,2458206.0258101854,6340631.0,4.67075,-5.310229159064674,1.1228918018308445,0.0,0.0,314.81616900023073,p48g
2458314.8330787,b'g',2.009,6.2,26.086725,2.4154e-06,1.0,634.0,6.0,3.0,1.0,146.486,14.2302,0.0731931,148.607,1.23,0.0,0.0,4.353026633095741,2.5116844177246094,ztf_20180715333079_000634_zg_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180715333079_000634_zg_c06_o_q3_diffimgpsf.fits',18.896852042639246,20.31697921026585,6.945435182630619e-10,7.467395198610501e-10,2458203.8988310187,2458206.0258101854,6340631.0,4.96096,-5.310229159064674,1.1228918018308445,0.0,0.0,314.83307870011777,p48g
