jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458307.6989815,b'r',1.781,6.2,26.103801,1.9092e-06,2.0,826.0,9.0,2.0,2.0,38.4062,8.80227,-0.307561,247.364,1.221,0.0,0.0,5.324185315322875,-0.025259852409362793,ztf_20180708198981_000826_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180708198981_000826_zr_c09_o_q2_diffimgpsf.fits',-4.524545318613152,19.24189724764644,-1.6370221002172518e-10,6.961895356628788e-10,2458187.0166435186,2458220.001863426,8260922.0,5.66665,-11.599435133287896,1.0463329280115412,0.0,0.0,307.69898150023073,p48r
2458307.739919,b'g',1.945,6.2,26.067287,3.1981e-06,2.0,826.0,9.0,2.0,1.0,39.1167,8.99398,-0.303456,246.853,1.16,0.0,0.0,3.567568071222305,-0.13271594047546387,ztf_20180708239919_000826_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180708239919_000826_zg_c09_o_q2_diffimgpsf.fits',20.702325616321943,15.41899325736744,7.746478772004891e-10,5.769540396980685e-10,2458205.9785763887,2458235.991790764,8260921.0,4.16716,-3.2332097866394105,1.0976740139077745,0.0,0.0,307.7399189998396,p48g
2458307.8266435,b'g',1.723,6.2,26.058208,2.916e-06,2.0,826.0,9.0,2.0,1.0,40.5204,9.42005,-0.294626,245.748,1.15,0.0,0.0,3.501096447122097,-0.12856286764144897,ztf_20180708326632_000826_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180708326632_000826_zg_c09_o_q2_diffimgpsf.fits',-8.432261982521267,14.68228417042824,-3.181712185205072e-10,5.540008428175378e-10,2458205.9785763887,2458235.991790764,8260921.0,4.03243,-3.2332097866394105,1.0976740139077745,0.0,0.0,307.8266435000114,p48g
2458307.8443171,b'g',1.704,6.2,26.079398,2.9969e-06,2.0,826.0,9.0,2.0,1.0,40.7842,9.50949,-0.292847,245.524,1.167,0.0,0.0,3.3325024569392188,0.3407958149909973,ztf_20180708344294_000826_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180708344294_000826_zg_c09_o_q2_diffimgpsf.fits',1.793906068373989,14.197081592896314,6.638049689022408e-11,5.253392845600751e-10,2458205.9785763887,2458235.991790764,8260921.0,3.98852,-3.2332097866394105,1.0976740139077745,0.0,0.0,307.8443171000108,p48g
2458307.8723611,b'r',1.76,6.2,26.112067,1.9763e-06,2.0,826.0,9.0,2.0,2.0,41.185,9.6526,-0.289963,245.161,1.209,0.0,0.0,4.386713485693932,0.20817965269088745,ztf_20180708372350_000826_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180708372350_000826_zr_c09_o_q2_diffimgpsf.fits',-12.52649256740226,16.292333333331907,-4.4978263569273784e-10,5.850008363336722e-10,2458187.0166435186,2458220.001863426,8260922.0,5.51957,-11.599435133287896,1.0463329280115412,0.0,0.0,307.87236109981313,p48r
2458307.8874653,b'r',1.594,6.2,26.111796,1.9912e-06,2.0,826.0,9.0,2.0,2.0,41.3915,9.73011,-0.288523,244.979,1.239,0.0,0.0,4.959673210978508,0.15886765718460083,ztf_20180708387442_000826_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180708387442_000826_zr_c09_o_q2_diffimgpsf.fits',39.19503400732124,18.194726093318362,1.4077082167951952e-09,6.53472208222038e-10,2458187.0166435186,2458220.001863426,8260922.0,5.76412,-11.599435133287896,1.0463329280115412,0.0,0.0,307.88746530003846,p48r
2458308.8209491,b'r',1.65,6.2,25.682551,2.925e-06,2.0,826.0,9.0,2.0,2.0,53.9392,13.4284,-0.198055,232.851,1.148,0.0,0.0,6.028117716455459,0.6998674273490906,ztf_20180709320938_000826_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180709320938_000826_zr_c09_o_q2_diffimgpsf.fits',1.0101278445676911,22.12007157302033,5.3871112308201033e-11,1.1796851917151344e-09,2458187.0166435186,2458220.001863426,8260922.0,7.62068,-11.599435133287896,1.0463329280115412,0.0,0.0,308.82094909995794,p48r
2458308.8506019,b'r',1.784,6.2,25.521285,3.7178e-06,2.0,826.0,9.0,2.0,2.0,54.4384,13.5689,-0.195338,232.459,1.178,0.0,0.0,7.159523446559902,-0.7263050079345703,ztf_20180709350579_000826_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180709350579_000826_zr_c09_o_q2_diffimgpsf.fits',3.0605976446283893,25.005291937221113,1.8936174179770493e-10,1.5470983726668952e-09,2458187.0166435186,2458220.001863426,8260922.0,8.22045,-11.599435133287896,1.0463329280115412,0.0,0.0,308.85060189990327,p48r
2458308.8684144,b'r',1.718,6.2,25.203111,5.0376e-06,2.0,826.0,9.0,2.0,2.0,54.7275,13.6547,-0.193743,232.229,1.206,0.0,0.0,7.582609024810788,-0.579543948173523,ztf_20180709368380_000826_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180709368380_000826_zr_c09_o_q2_diffimgpsf.fits',-12.802021697436787,26.65931861780649,-1.061779066899069e-09,2.211080961682582e-09,2458187.0166435186,2458220.001863426,8260922.0,8.63446,-11.599435133287896,1.0463329280115412,0.0,0.0,308.8684144001454,p48r
2458308.8946065,b'g',1.809,6.2,25.900088,3.9712e-06,2.0,826.0,9.0,2.0,1.0,55.1368,13.7824,-0.191289,231.872,1.263,0.0,0.0,3.803422034358978,-0.12538933753967285,ztf_20180709394595_000826_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180709394595_000826_zg_c09_o_q2_diffimgpsf.fits',2.7650395220269033,16.27900583661743,1.2068857048826788e-10,7.105467852234157e-10,2458205.9785763887,2458235.991790764,8260921.0,4.84937,-3.2332097866394105,1.0976740139077745,0.0,0.0,308.8946064999327,p48g
