jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458314.6821528,b'r',1.718,6.2,25.99265,7.5672e-06,2.0,847.0,4.0,4.0,2.0,143.787,14.9396,0.0638239,150.733,1.229,0.0,0.0,5.201786622405052,-0.21221095323562622,ztf_20180715182153_000847_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180715182153_000847_zr_c04_o_q4_diffimgpsf.fits',42.9608131884451,58.838992084233084,1.7219181087333237e-09,2.3583335242364494e-09,2458218.8441435187,2458226.9948958335,8470442.0,6.03086,-51.60331377547472,2.118244601634433,0.0,0.0,314.6821527997963,p48r
2458314.7002778,b'r',1.86,6.2,26.018116,6.0922e-06,2.0,847.0,4.0,4.0,2.0,144.08,14.8505,0.0649324,150.474,1.226,0.0,0.0,5.828199118947982,-0.1796969771385193,ztf_20180715200231_000847_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180715200231_000847_zr_c04_o_q4_diffimgpsf.fits',-74.97810295284536,55.22347543655668,-2.9355403074720603e-09,2.16210775790584e-09,2458218.8441435187,2458226.9948958335,8470442.0,5.89109,-51.60331377547472,2.118244601634433,0.0,0.0,314.7002778002061,p48r
2458314.7176389,b'r',1.654,6.2,26.017806,6.7573e-06,2.0,847.0,4.0,4.0,2.0,144.369,14.7656,0.0659588,150.237,1.229,0.0,0.0,5.150363498592375,-0.8068451881408691,ztf_20180715217639_000847_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180715217639_000847_zr_c04_o_q4_diffimgpsf.fits',-23.596332804928394,66.97884147200537,-9.24106686965014e-10,2.6231023185378563e-09,2458218.8441435187,2458226.9948958335,8470442.0,5.86238,-51.60331377547472,2.118244601634433,0.0,0.0,314.71763890003785,p48r
2458314.824537,b'g',2.221,6.2,25.9798,1.14677e-05,2.0,847.0,4.0,4.0,1.0,146.32,14.2675,0.0726219,148.733,1.372,0.0,0.0,4.523260493016243,0.07996714115142822,ztf_20180715324537_000847_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180715324537_000847_zg_c04_o_q4_diffimgpsf.fits',12.530178281102756,32.27036112030383,5.08203030203756e-10,1.308831761155315e-09,2458202.8207986113,2458229.9743842594,8470441.0,4.53093,45.323085088149604,1.6716115876932498,0.0,0.0,314.8245370001532,p48g
2458314.8420718,b'g',2.402,6.2,25.958657,1.30015e-05,2.0,847.0,4.0,4.0,1.0,146.662,14.1913,0.0737664,148.481,1.42,0.0,0.0,4.518427860260008,-0.11592614650726318,ztf_20180715342060_000847_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180715342060_000847_zg_c04_o_q4_diffimgpsf.fits',28.825957923558953,33.79345489990706,1.1921226742633421e-09,1.3975578517393005e-09,2458202.8207986113,2458229.9743842594,8470441.0,4.62367,45.323085088149604,1.6716115876932498,0.0,0.0,314.84207180002704,p48g
2458314.8636343,b'g',1.928,6.2,25.956508,1.21765e-05,2.0,847.0,4.0,4.0,1.0,147.088,14.1002,0.0751122,148.187,1.491,0.0,0.0,3.9166673964977257,-0.0943751335144043,ztf_20180715363623_000847_zg_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180715363623_000847_zg_c04_o_q4_diffimgpsf.fits',31.66221169002899,31.90700761916262,1.3120127280296461e-09,1.32215653543419e-09,2458202.8207986113,2458229.9743842594,8470441.0,4.77682,45.323085088149604,1.6716115876932498,0.0,0.0,314.86363429995254,p48g
2458315.7482523,b'r',1.445,6.2,25.611245,1.28588e-05,2.0,847.0,4.0,4.0,2.0,159.477,10.6001,0.140818,135.92,1.249,0.0,0.0,6.378007158112526,0.44162827730178833,ztf_20180716248241_000847_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180716248241_000847_zr_c04_o_q4_diffimgpsf.fits',-63.805408171698716,62.60596135210792,-3.63378720393215e-09,3.5654774067982575e-09,2458218.8441435187,2458226.9948958335,8470442.0,7.22654,-51.60331377547472,2.118244601634433,0.0,0.0,315.7482523000799,p48r
2458315.7491667,b'r',1.551,6.2,25.630885,1.36405e-05,1.0,847.0,4.0,4.0,2.0,159.491,10.5953,0.140903,135.906,1.25,0.0,0.0,6.12308883881569,0.7034651041030884,ztf_20180716249155_000847_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180716249155_000847_zr_c04_o_q4_diffimgpsf.fits',-7.785251504756488,57.75541806683706,-4.3543030041900566e-10,3.2302693142719225e-09,2458218.8441435187,2458226.9948958335,8470442.0,7.17608,-51.60331377547472,2.118244601634433,0.0,0.0,315.7491667000577,p48r
2458315.8241551,b'r',1.458,6.2,25.926333,8.7967e-06,2.0,847.0,4.0,4.0,2.0,160.75,10.2072,0.14716,134.884,1.378,0.0,0.0,4.978355097055435,-0.3739187717437744,ztf_20180716324144_000847_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180716324144_000847_zr_c04_o_q4_diffimgpsf.fits',-35.70327704682505,53.4572601377957,-1.5211599408756394e-09,2.27757924195938e-09,2458218.8441435187,2458226.9948958335,8470442.0,5.88596,-51.60331377547472,2.118244601634433,0.0,0.0,315.8241551001556,p48r
2458315.8684144,b'r',1.755,6.2,25.898329,9.0133e-06,2.0,847.0,4.0,4.0,2.0,161.552,9.98749,0.150942,134.276,1.519,0.0,0.0,5.744177949047089,-0.09330785274505615,ztf_20180716368403_000847_zr_c04_o_q4_scimrefdiffimg.fits,b'ztf_20180716368403_000847_zr_c04_o_q4_diffimgpsf.fits',-129.98825515220705,45.83613174293049,-5.68293271640884e-09,2.0039014481939542e-09,2458218.8441435187,2458226.9948958335,8470442.0,6.35811,-51.60331377547472,2.118244601634433,0.0,0.0,315.8684144001454,p48r
