jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458311.6808333,b'r',1.672,6.2,26.07683,7.1508e-06,2.0,720.0,2.0,2.0,2.0,96.3244,19.9905,-0.0137482,193.467,1.02,0.0,0.0,5.091601871585845,0.08700478076934814,ztf_20180712180822_000720_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180712180822_000720_zr_c02_o_q2_diffimgpsf.fits',-16.601323592011198,17.679098910109516,-6.15758924347589e-10,6.557346387591889e-10,2458155.056238426,2458217.9539583335,7200222.0,5.38276,-6.339481527940334,0.9710921803676453,0.0,0.0,311.68083330010995,p48r
2458311.7055671,b'r',1.557,6.2,26.053103,7.9736e-06,2.0,720.0,2.0,2.0,2.0,96.8352,19.9769,-0.0130466,193.117,1.049,0.0,0.0,5.36385013961792,-0.003976225852966309,ztf_20180712205544_000720_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180712205544_000720_zr_c02_o_q2_diffimgpsf.fits',6.1316867769196435,17.962600639012948,2.3245493026951586e-10,6.809700545584077e-10,2458155.056238426,2458217.9539583335,7200222.0,5.26441,-6.339481527940334,0.9710921803676453,0.0,0.0,311.7055671000853,p48r
2458311.7146991,b'r',2.303,6.2,26.053763,5.9458e-06,2.0,720.0,2.0,2.0,2.0,97.0265,19.9731,-0.0127984,192.992,1.064,0.0,0.0,5.2273576507568364,-0.05062508583068848,ztf_20180712214676_000720_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180712214676_000720_zr_c02_o_q2_diffimgpsf.fits',-4.963405486249886,19.317798780353723,-1.8805052767727342e-10,7.319011642865421e-10,2458155.056238426,2458217.9539583335,7200222.0,5.46429,-6.339481527940334,0.9710921803676453,0.0,0.0,311.7146990997717,p48r
2458311.7354745,b'g',2.061,6.2,25.928525,1.06002e-05,2.0,720.0,2.0,2.0,1.0,97.4658,19.9667,-0.0122285,192.698,1.11,0.0,0.0,4.021762580943107,-0.4102250337600708,ztf_20180712235463_000720_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180712235463_000720_zg_c02_o_q2_diffimgpsf.fits',26.73892287197546,16.095617088937136,1.1369304770592583e-09,6.843805079775607e-10,2458166.990810185,2458204.9602314816,7200221.0,4.79728,-9.446645175414824,0.9893262312231107,0.0,0.0,311.7354744998738,p48g
2458311.8310648,b'g',1.967,6.2,25.835298,1.38987e-05,2.0,720.0,2.0,2.0,1.0,99.5222,19.9844,-0.00975084,191.334,1.618,0.0,0.0,4.5793424696922305,0.25289011001586914,ztf_20180712331053_000720_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180712331053_000720_zg_c02_o_q2_diffimgpsf.fits',-0.7819271870864224,18.276664776356508,-3.6228229771662433e-11,8.467939495041632e-10,2458166.990810185,2458204.9602314816,7200221.0,5.40857,-9.446645175414824,0.9893262312231107,0.0,0.0,311.8310647998005,p48g
2458312.6970255,b'r',1.545,6.2,26.0738,6.4103e-06,2.0,720.0,2.0,2.0,2.0,112.71,19.6817,7.99502e-05,178.975,1.04,0.0,0.0,5.63807873840332,0.15425217151641846,ztf_20180713197014_000720_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180713197014_000720_zr_c02_o_q2_diffimgpsf.fits',-23.594663287999772,18.677179903360077,-8.775942802428687e-10,6.946904075146612e-10,2458155.056238426,2458217.9539583335,7200222.0,5.62765,-6.339481527940334,0.9710921803676453,0.0,0.0,312.6970254997723,p48r
2458312.714537,b'r',1.742,6.2,26.088881,6.7857e-06,2.0,720.0,2.0,2.0,2.0,113.062,19.641,0.000124069,178.724,1.069,0.0,0.0,4.959654226899147,-0.21993160247802734,ztf_20180713214525_000720_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180713214525_000720_zr_c02_o_q2_diffimgpsf.fits',-34.713647759038295,17.52206789658691,-1.2733501750639136e-09,6.427364931564067e-10,2458155.056238426,2458217.9539583335,7200222.0,5.79161,-6.339481527940334,0.9710921803676453,0.0,0.0,312.71453699981794,p48r
2458312.7154861,b'r',1.438,6.2,26.088035,6.9614e-06,1.0,720.0,2.0,2.0,2.0,113.081,19.6388,0.000126803,178.71,1.071,0.0,0.0,5.32993224093914,-0.16391104459762573,ztf_20180713215463_000720_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180713215463_000720_zr_c02_o_q2_diffimgpsf.fits',9.943280040268242,17.39629399487602,3.650191680802422e-10,6.386203281025458e-10,2458155.056238426,2458217.9539583335,7200222.0,5.80958,-6.339481527940334,0.9710921803676453,0.0,0.0,312.7154860999435,p48r
2458312.7380093,b'r',3.268,6.2,26.113569,1.6468e-05,2.0,720.0,2.0,2.0,2.0,113.543,19.5895,0.000197911,178.388,1.124,0.0,0.0,5.329065418720245,0.03323090076446533,ztf_20180713237905_000720_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180713237905_000720_zr_c02_o_q2_diffimgpsf.fits',-26.06180200385691,26.005609839578373,-9.344946966323746e-10,9.32479821502278e-10,2458155.056238426,2458217.9539583335,7200222.0,5.88672,-6.339481527940334,0.9710921803676453,0.0,0.0,312.7380093000829,p48r
2458312.7572106,b'g',2.933,6.2,26.159185,1.21743e-05,2.0,720.0,2.0,2.0,1.0,113.943,19.5502,0.000270543,178.115,1.185,0.0,0.0,4.257359191179275,-0.29938656091690063,ztf_20180713257199_000720_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180713257199_000720_zg_c02_o_q2_diffimgpsf.fits',-50.34188097625488,20.821035639990104,-1.7308340826912345e-09,7.158603817935612e-10,2458166.990810185,2458204.9602314816,7200221.0,4.5725,-9.446645175414824,0.9893262312231107,0.0,0.0,312.75721060018986,p48g
