jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458316.670463,b'g',2.47,6.2,26.18766,1.15868e-05,1.0,677.0,11.0,1.0,1.0,172.325,6.43791,0.224453,123.442,1.015,0.0,0.0,8.355895568084712,-0.5949124097824097,ztf_20180717170405_000677_zg_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180717170405_000677_zg_c11_o_q1_diffimgpsf.fits',80.77418476718478,46.33653194304457,2.7052573364858484e-09,1.5518849663320723e-09,2458166.9863541666,2458204.9587037037,6771111.0,8.47627,-12.33513553484509,1.1751679962938253,0.0,0.0,316.67046299995854,p48g
2458321.6733102,b'g',2.267,6.2,26.028841,2.03076e-05,1.0,677.0,11.0,1.0,1.0,235.771,-15.3133,0.732641,62.2716,1.034,0.0,0.0,11.117004180717467,0.44761645793914795,ztf_20180722173287_000677_zg_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180722173287_000677_zg_c11_o_q1_diffimgpsf.fits',-50.56638918790077,58.73507491728883,-1.9603135548816115e-09,2.276990019881144e-09,2458166.9863541666,2458204.9587037037,6771111.0,11.9798,-12.33513553484509,1.1751679962938253,0.0,0.0,321.6733102002181,p48g
2458321.6742477,b'g',2.407,6.2,26.047014,1.52116e-05,2.0,677.0,11.0,1.0,1.0,235.778,-15.3161,0.732695,62.2646,1.036,0.0,0.0,11.514769585227967,-0.44538164138793945,ztf_20180722174225_000677_zg_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180722174225_000677_zg_c11_o_q1_diffimgpsf.fits',-77.37784654204329,64.29716615708308,-2.949925438133426e-09,2.4512422424494972e-09,2458166.9863541666,2458204.9587037037,6771111.0,11.8317,-12.33513553484509,1.1751679962938253,0.0,0.0,321.6742476997897,p48g
2458321.7044676,b'g',2.349,6.2,26.299383,1.24679e-05,2.0,677.0,11.0,1.0,1.0,236.006,-15.4017,0.735337,61.9219,1.096,0.0,0.0,10.29521680793762,-0.24578857421875,ztf_20180722204456_000677_zg_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180722204456_000677_zg_c11_o_q1_diffimgpsf.fits',-42.32665506660828,57.55867811622134,-1.278971152566232e-09,1.739232376791169e-09,2458166.9863541666,2458204.9587037037,6771111.0,9.82465,-12.33513553484509,1.1751679962938253,0.0,0.0,321.7044676002115,p48g
2458321.7149653,b'r',2.12,6.2,26.321475,7.2064e-06,1.0,677.0,11.0,1.0,2.0,236.087,-15.4297,0.736252,61.803,1.126,0.0,0.0,10.627155184745789,0.4104422926902771,ztf_20180722214942_000677_zr_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180722214942_000677_zr_c11_o_q1_diffimgpsf.fits',-63.43732928604274,57.97455619906549,-1.8782564585768267e-09,1.7165143274852472e-09,2458155.0652199076,2458214.8501273147,6771112.0,10.2002,-1.0154478447192605,1.3250024897495865,0.0,0.0,321.71496530016884,p48r
2458321.7159028,b'r',2.558,6.2,26.335436,8.5041e-06,2.0,677.0,11.0,1.0,2.0,236.094,-15.4322,0.736306,61.796,1.128,0.0,0.0,9.885092305755615,-0.37527376413345337,ztf_20180722215880_000677_zr_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180722215880_000677_zr_c11_o_q1_diffimgpsf.fits',11.925548996282062,59.9892468567484,3.485812163839892e-10,1.7534727035065148e-09,2458155.0652199076,2458214.8501273147,6771112.0,10.2127,-1.0154478447192605,1.3250024897495865,0.0,0.0,321.7159028002061,p48r
2458321.7339583,b'r',1.933,6.2,26.30882,8.1695e-06,2.0,677.0,11.0,1.0,2.0,236.238,-15.4782,0.737918,61.5862,1.192,0.0,0.0,10.744494987201689,-0.45709478855133057,ztf_20180722233947_000677_zr_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180722233947_000677_zr_c11_o_q1_diffimgpsf.fits',61.754837846290535,51.48387145545504,1.8498775663874396e-09,1.5422088723988247e-09,2458155.0652199076,2458214.8501273147,6771112.0,10.4144,-1.0154478447192605,1.3250024897495865,0.0,0.0,321.7339583002031,p48r
2458321.7556713,b'r',1.908,6.2,26.317079,6.0329e-06,2.0,677.0,11.0,1.0,2.0,236.417,-15.5302,0.739795,61.3414,1.294,0.0,0.0,10.97580866589546,-0.15922218561172485,ztf_20180722255648_000677_zr_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180722255648_000677_zr_c11_o_q1_diffimgpsf.fits',-4.865784264192542,51.52052556413575,-1.4465093645518264e-10,1.531611733047756e-09,2458155.0652199076,2458214.8501273147,6771112.0,10.7992,-1.0154478447192605,1.3250024897495865,0.0,0.0,321.755671299994,p48r
2458322.6662153,b'g',2.229,6.2,26.375888,1.35922e-05,2.0,677.0,11.0,1.0,1.0,248.214,-18.107,0.813635,51.1509,1.028,0.0,0.0,12.684451152801511,-0.31618762016296387,ztf_20180723166065_000677_zg_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180723166065_000677_zg_c11_o_q1_diffimgpsf.fits',-49.77324420983247,62.27330172183378,-1.4016537681221998e-09,1.7536652352459202e-09,2458166.9863541666,2458204.9587037037,6771111.0,12.5242,-12.33513553484509,1.1751679962938253,0.0,0.0,322.66621530009434,p48g
2458322.6877894,b'g',2.442,6.2,26.331649,1.24345e-05,2.0,677.0,11.0,1.0,1.0,248.376,-18.1596,0.815296,50.9062,1.064,0.0,0.0,8.465044202804565,0.29857903718948364,ztf_20180723187731_000677_zg_c11_o_q1_scimrefdiffimg.fits,b'ztf_20180723187731_000677_zg_c11_o_q1_diffimgpsf.fits',20.899949776165318,47.43047521051039,6.130355252162855e-10,1.3912266102889368e-09,2458166.9863541666,2458204.9587037037,6771111.0,9.81724,-12.33513553484509,1.1751679962938253,0.0,0.0,322.68778940010816,p48g
