jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458325.6721991,b'g',2.497,6.2,26.196351,5.9638e-06,2.0,683.0,3.0,4.0,1.0,286.539,-21.3837,0.974981,18.2017,1.076,0.0,0.0,14.49900783109665,1.4627776145935059,ztf_20180726172130_000683_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180726172130_000683_zg_c03_o_q4_diffimgpsf.fits',-23.411679204741198,59.44909572894338,-7.778433884449107e-10,1.9751716934738577e-09,2458204.975034722,2458229.997302755,6830341.0,16.2615,7.67570972984299,0.9499244364090761,0.0,0.0,325.6721990997903,p48g
2458325.6906713,b'g',2.948,6.2,26.209943,1.38278e-05,2.0,683.0,3.0,4.0,1.0,286.697,-21.3957,0.975531,17.9989,1.041,0.0,0.0,13.546483889389034,-0.8034253120422363,ztf_20180726190660_000683_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180726190660_000683_zg_c03_o_q4_diffimgpsf.fits',16.632697009585225,60.98594585835836,5.457396100612122e-10,2.001025227176037e-09,2458204.975034722,2458229.997302755,6830341.0,15.5125,7.67570972984299,0.9499244364090761,0.0,0.0,325.69067130004987,p48g
2458325.7497454,b'r',1.545,6.2,26.179733,1.9913e-06,2.0,683.0,3.0,4.0,2.0,287.174,-21.411,0.977218,17.3624,1.001,0.0,0.0,12.38187319765091,0.31852030754089355,ztf_20180726249595_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180726249595_000683_zr_c03_o_q4_diffimgpsf.fits',-7.74669201430266,40.02023163122831,-2.613503524056754e-10,1.350163608010749e-09,2458199.0289814817,2458222.995949074,6830342.0,14.2959,-3.3125434194875623,1.0184613932278066,0.0,0.0,325.7497454001568,p48r
2458325.7709722,b'r',2.072,6.2,26.172574,2.7461e-06,2.0,683.0,3.0,4.0,2.0,287.339,-21.4072,0.977833,17.1246,1.01,0.0,0.0,14.439921121406549,-0.11690735816955566,ztf_20180726270961_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180726270961_000683_zr_c03_o_q4_diffimgpsf.fits',11.470313671323778,53.698064080943475,3.8953429052613043e-10,1.823597670802495e-09,2458199.0289814817,2458222.995949074,6830342.0,14.6391,-3.3125434194875623,1.0184613932278066,0.0,0.0,325.7709722002037,p48r
2458326.6859838,b'g',2.169,6.2,26.264953,4.6489e-06,2.0,683.0,3.0,4.0,1.0,299.413,-20.5947,0.996096,7.16497,1.044,0.0,0.0,14.722365943431855,0.2962164878845215,ztf_20180727185972_000683_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180727185972_000683_zg_c03_o_q4_diffimgpsf.fits',-65.75916026085352,58.45640870037041,-2.0510443848811465e-09,1.8232697672992876e-09,2458204.975034722,2458229.997302755,6830341.0,16.1107,7.67570972984299,0.9499244364090761,0.0,0.0,326.6859837998636,p48g
2458326.7049074,b'g',2.022,6.2,26.270131,3.9638e-06,1.0,683.0,3.0,4.0,1.0,299.581,-20.5916,0.996321,6.95515,1.019,0.0,0.0,14.729587451553341,-1.1046962141990662,ztf_20180727204884_000683_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180727204884_000683_zg_c03_o_q4_diffimgpsf.fits',-23.422088552080186,56.34646344639978,-7.270649662339632e-10,1.7490984824864658e-09,2458204.975034722,2458229.997302755,6830341.0,16.0746,7.67570972984299,0.9499244364090761,0.0,0.0,326.7049074000679,p48g
2458326.7058449,b'g',2.028,6.2,26.272663,4.5395e-06,2.0,683.0,3.0,4.0,1.0,299.589,-20.5914,0.996328,6.94815,1.018,0.0,0.0,13.567223535203933,-0.17290228605270386,ztf_20180727205822_000683_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180727205822_000683_zg_c03_o_q4_diffimgpsf.fits',-121.4072464607979,50.941607436144565,-3.759926967773865e-09,1.5776383138074491e-09,2458204.975034722,2458229.997302755,6830341.0,16.1259,7.67570972984299,0.9499244364090761,0.0,0.0,326.70584490010515,p48g
2458326.7909259,b'r',1.693,6.2,26.191773,1.986e-06,2.0,683.0,3.0,4.0,2.0,300.274,-20.5348,0.997238,6.02493,1.036,0.0,0.0,12.944786650419232,-0.8471425175666809,ztf_20180727290914_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180727290914_000683_zr_c03_o_q4_diffimgpsf.fits',-21.46226206900528,44.07072868939185,-7.160878311514744e-10,1.470418748172841e-09,2458199.0289814817,2458222.995949074,6830342.0,14.8666,-3.3125434194875623,1.0184613932278066,0.0,0.0,326.7909258999862,p48r
2458326.8100579,b'r',1.687,6.2,26.193644,1.9291e-06,2.0,683.0,3.0,4.0,2.0,300.42,-20.5117,0.997427,5.8151,1.07,0.0,0.0,13.140102436637878,-0.847160279750824,ztf_20180727310046_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180727310046_000683_zr_c03_o_q4_diffimgpsf.fits',10.665632781573523,44.474239190731495,3.552458611557799e-10,1.481326961477299e-09,2458199.0289814817,2458222.995949074,6830342.0,15.1328,-3.3125434194875623,1.0184613932278066,0.0,0.0,326.8100578999147,p48r
2458326.8152315,b'r',1.599,6.2,26.17589,1.8647e-06,1.0,683.0,3.0,4.0,2.0,300.459,-20.5047,0.997476,5.75915,1.081,0.0,0.0,12.953430621385571,-0.522951066493988,ztf_20180727315220_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180727315220_000683_zr_c03_o_q4_diffimgpsf.fits',-13.80777767689075,45.19823364330574,-4.674851133700079e-10,1.5302608336626813e-09,2458199.0289814817,2458222.995949074,6830342.0,15.3691,-3.3125434194875623,1.0184613932278066,0.0,0.0,326.8152315001935,p48r
2458326.816169,b'r',1.628,6.2,26.179322,1.8383e-06,2.0,683.0,3.0,4.0,2.0,300.466,-20.5034,0.997488,5.74516,1.083,0.0,0.0,13.057032055282592,-0.6529198884963989,ztf_20180727316157_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180727316157_000683_zr_c03_o_q4_diffimgpsf.fits',35.14112115132992,45.323377774507016,1.1860058009044306e-09,1.529654922667721e-09,2458199.0289814817,2458222.995949074,6830342.0,15.2716,-3.3125434194875623,1.0184613932278066,0.0,0.0,326.81616900023073,p48r
2458327.6860069,b'g',1.911,6.2,26.180133,4.0353e-06,2.0,683.0,3.0,4.0,1.0,311.962,-18.9061,-0.99894,356.268,1.039,0.0,0.0,14.630132500505447,1.1155620217323303,ztf_20180728185926_000683_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180728185926_000683_zg_c03_o_q4_diffimgpsf.fits',128.03023421309297,51.968220967450335,4.3177683641265565e-09,1.7526074354369566e-09,2458204.975034722,2458229.997302755,6830341.0,16.7092,7.67570972984299,0.9499244364090761,0.0,0.0,327.6860068999231,p48g
2458327.7076157,b'g',1.881,6.2,26.18491,4.4769e-06,2.0,683.0,3.0,4.0,1.0,312.164,-18.8868,-0.9988,356.03,1.013,0.0,0.0,15.520136978721618,0.5440618395805359,ztf_20180728207604_000683_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180728207604_000683_zg_c03_o_q4_diffimgpsf.fits',27.40454935774091,56.061478128561404,9.201500729742061e-10,1.88235071913603e-09,2458204.975034722,2458229.997302755,6830341.0,17.2997,7.67570972984299,0.9499244364090761,0.0,0.0,327.7076157000847,p48g
2458327.7918056,b'r',1.579,6.2,26.161323,2.4754e-06,2.0,683.0,3.0,4.0,2.0,312.862,-18.777,-0.998178,355.107,1.041,0.0,0.0,13.052205537414547,0.2448025941848755,ztf_20180728291782_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180728291782_000683_zr_c03_o_q4_diffimgpsf.fits',97.16026847062042,45.11572004647973,3.333953253672223e-09,1.54809886808847e-09,2458199.0289814817,2458222.995949074,6830342.0,15.9243,-3.3125434194875623,1.0184613932278066,0.0,0.0,327.79180559981614,p48r
2458327.8125926,b'r',1.449,6.2,26.149949,2.5931e-06,2.0,683.0,3.0,4.0,2.0,313.02,-18.74,-0.998008,354.883,1.081,0.0,0.0,13.318264025211334,-0.6232626438140869,ztf_20180728312581_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180728312581_000683_zr_c03_o_q4_diffimgpsf.fits',21.919744942120737,44.305066392433574,7.600740343137357e-10,1.5362920801486448e-09,2458199.0289814817,2458222.995949074,6830342.0,16.3606,-3.3125434194875623,1.0184613932278066,0.0,0.0,327.8125926000066,p48r
2458327.8332986,b'r',1.604,6.2,26.105102,3.8004e-06,2.0,683.0,3.0,4.0,2.0,313.175,-18.699,-0.99783,354.659,1.139,0.0,0.0,15.478068161010743,-0.3659113645553589,ztf_20180728333299_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180728333299_000683_zr_c03_o_q4_diffimgpsf.fits',-6.839955702615301,51.490689789962154,-2.471795226066482e-10,1.8607494952203881e-09,2458199.0289814817,2458222.995949074,6830342.0,17.5536,-3.3125434194875623,1.0184613932278066,0.0,0.0,327.83329859981313,p48r
2458329.665544,b'g',1.817,6.2,25.199007,2.49555e-05,2.0,683.0,3.0,4.0,1.0,335.945,-13.3394,-0.951643,334.593,1.067,0.0,0.0,6.425114341592788,-0.018605470657348633,ztf_20180730165475_000683_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180730165475_000683_zg_c03_o_q4_diffimgpsf.fits',-42.67523186945941,22.23052322838541,-3.5528190551905057e-09,1.8507462795080563e-09,2458204.975034722,2458229.997302755,6830341.0,7.03197,7.67570972984299,0.9499244364090761,0.0,0.0,329.6655439999886,p48g
2458329.8287153,b'r',1.617,6.2,26.119393,1.8976e-06,1.0,683.0,3.0,4.0,2.0,337.457,-12.917,-0.944692,332.796,1.142,0.0,0.0,8.938738533592224,0.5409138202667236,ztf_20180730328692_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180730328692_000683_zr_c03_o_q4_diffimgpsf.fits',-71.25512214191737,30.98303852810905,-2.5413172762167914e-09,1.1050115235925038e-09,2458199.0289814817,2458222.995949074,6830342.0,11.0942,-3.3125434194875623,1.0184613932278066,0.0,0.0,329.82871530018747,p48r
2458329.8296528,b'r',1.476,6.2,26.117241,1.7344e-06,2.0,683.0,3.0,4.0,2.0,337.465,-12.9142,-0.944664,332.789,1.145,0.0,0.0,9.323646890830991,0.32123398780822754,ztf_20180730329641_000683_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180730329641_000683_zr_c03_o_q4_diffimgpsf.fits',1.9074886250180212,31.10028812598979,6.816564630696781e-11,1.1113939095815013e-09,2458199.0289814817,2458222.995949074,6830342.0,11.1181,-3.3125434194875623,1.0184613932278066,0.0,0.0,329.8296528002247,p48r
