jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458332.6866435,b'g',3.077,6.2,26.120792,1.67185e-05,2.0,824.0,13.0,2.0,1.0,10.9376,-1.30393,-0.756162,300.819,1.149,0.0,0.0,3.9563518809318534,0.08326935768127441,ztf_20180802186597_000824_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180802186597_000824_zg_c13_o_q2_diffimgpsf.fits',22.440156214464963,21.60935048537366,7.992986434264003e-10,7.697060735860299e-10,2458202.870023148,2458230.9128279863,8241321.0,4.39764,-14.611404573926023,1.057895639477011,0.0,0.0,332.68664349988103,p48g
2458332.6990046,b'g',2.792,6.2,26.107623,1.39511e-05,2.0,824.0,13.0,2.0,1.0,11.0991,-1.25117,-0.755113,300.679,1.161,0.0,0.0,3.6281417654037478,0.06896853446960449,ztf_20180802198970_000824_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180802198970_000824_zg_c13_o_q2_diffimgpsf.fits',13.53244523536965,19.289833904689225,4.878957985001307e-10,6.954714209112066e-10,2458202.870023148,2458230.9128279863,8241321.0,4.40413,-14.611404573926023,1.057895639477011,0.0,0.0,332.69900459982455,p48g
2458332.701331,b'g',2.201,6.2,26.029836,1.36964e-05,2.0,825.0,16.0,2.0,1.0,11.129,-1.24123,-0.754903,300.651,1.136,0.0,0.0,3.744327448356151,0.05389809608459473,ztf_20180802201331_000825_zg_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180802201331_000825_zg_c16_o_q2_diffimgpsf.fits',-0.761884952599293,18.863354760616104,-2.950903423514967e-11,7.30608183718292e-10,2458202.8464699076,2458229.9910187037,8251621.0,4.24062,5.378766369311379,1.1194855720958024,0.0,0.0,332.7013309998438,p48g
2458332.7203009,b'g',2.065,6.2,26.098178,1.17367e-05,2.0,824.0,13.0,2.0,1.0,11.3675,-1.16004,-0.753221,300.427,1.189,0.0,0.0,3.880357032799721,-0.034860968589782715,ztf_20180802220289_000824_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180802220289_000824_zg_c13_o_q2_diffimgpsf.fits',-31.094432429062124,17.664423358500247,-1.1308667472729462e-09,6.424336265043211e-10,2458202.870023148,2458230.9128279863,8241321.0,4.41113,-14.611404573926023,1.057895639477011,0.0,0.0,332.72030089981854,p48g
2458332.722662,b'g',1.964,6.2,25.486642,0.0001795624,2.0,825.0,16.0,2.0,1.0,11.3965,-1.14992,-0.753063,300.406,1.148,0.0,0.0,3.8282829260826103,0.3474969267845154,ztf_20180802222639_000825_zg_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180802222639_000825_zg_c16_o_q2_diffimgpsf.fits',9.592298745573302,18.029041589444887,6.127254170704332e-10,1.1516376171182104e-09,2458202.8464699076,2458229.9910187037,8251621.0,4.64784,5.378766369311379,1.1194855720958024,0.0,0.0,332.7226619999856,p48g
2458332.7617245,b'r',1.861,6.2,25.827415,1.56629e-05,2.0,825.0,16.0,2.0,2.0,11.853,-0.981803,-0.749686,299.959,1.197,0.0,0.0,5.996329449272155,0.41973602771759033,ztf_20180802261725_000825_zr_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180802261725_000825_zr_c16_o_q2_diffimgpsf.fits',-32.3753014919229,21.24065014618119,-1.5109420970142078e-09,9.912924668695778e-10,2458186.9119444443,2458218.9746064814,8251622.0,6.86601,-2.022915227753304,0.9456495104940571,0.0,0.0,332.7617244999856,p48r
2458332.7784144,b'r',3.125,6.2,26.080198,8.54857e-05,2.0,824.0,13.0,2.0,2.0,12.0348,-0.909573,-0.748204,299.763,1.327,0.0,0.0,7.155202262496948,0.01459282636642456,ztf_20180802278380_000824_zr_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180802278380_000824_zr_c13_o_q2_diffimgpsf.fits',-44.46293680658472,39.36394363736049,-1.6440648518882967e-09,1.455524107715807e-09,2458161.0624189815,2458218.8655439815,8241322.0,7.74563,-1.8924523838214227,1.1472223099339756,0.0,0.0,332.77841439982876,p48r
2458332.7825926,b'r',2.251,6.2,25.901823,9.3774e-06,2.0,825.0,16.0,2.0,2.0,12.0791,-0.891451,-0.747886,299.721,1.238,0.0,0.0,6.746922258853911,0.3669734001159668,ztf_20180802282581_000825_zr_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180802282581_000825_zr_c16_o_q2_diffimgpsf.fits',-35.8788472498057,25.2012340089625,-1.56354102569188e-09,1.0982282401580383e-09,2458186.9119444443,2458218.9746064814,8251622.0,7.45097,-2.022915227753304,0.9456495104940571,0.0,0.0,332.7825926002115,p48r
2458332.8021296,b'r',2.093,6.2,26.060801,8.0185e-06,2.0,824.0,13.0,2.0,2.0,12.2797,-0.806499,-0.746135,299.49,1.415,0.0,0.0,6.897423491811752,0.17928600311279297,ztf_20180802302095_000824_zr_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180802302095_000824_zr_c13_o_q2_diffimgpsf.fits',-12.469438339467048,28.303934870011805,-4.693820657958921e-10,1.0654336673256022e-09,2458161.0624189815,2458218.8655439815,8241322.0,8.1348,-1.8924523838214227,1.1472223099339756,0.0,0.0,332.8021296001971,p48r
2458332.8237847,b'r',1.836,6.2,25.888887,8.6338e-06,2.0,825.0,16.0,2.0,2.0,12.49,-0.711922,-0.744273,299.245,1.356,0.0,0.0,7.078032555913924,-0.01087963581085205,ztf_20180802323785_000825_zr_c16_o_q2_scimrefdiffimg.fits,b'ztf_20180802323785_000825_zr_c16_o_q2_diffimgpsf.fits',9.903855959011748,24.68069393745001,4.3676669590432543e-10,1.088435169933195e-09,2458186.9119444443,2458218.9746064814,8251622.0,7.72611,-2.022915227753304,0.9456495104940571,0.0,0.0,332.8237847001292,p48r
2458332.824294,b'r',2.256,6.2,26.052696,8.1265e-06,2.0,824.0,13.0,2.0,2.0,12.4948,-0.709693,-0.744273,299.245,1.519,0.0,0.0,7.341975051355361,-0.20093762874603271,ztf_20180802324236_000824_zr_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180802324236_000824_zr_c13_o_q2_diffimgpsf.fits',17.443589062673723,30.899949011555158,6.615420382036494e-10,1.1718698013482241e-09,2458161.0624189815,2458218.8655439815,8241322.0,8.34751,-1.8924523838214227,1.1472223099339756,0.0,0.0,332.8242939999327,p48r
2458333.6765625,b'g',2.622,6.2,26.150779,1.39803e-05,1.0,824.0,13.0,2.0,1.0,22.4962,3.04787,-0.665599,289.341,1.143,0.0,0.0,3.9333811987280844,-0.15923458337783813,ztf_20180803176528_000824_zg_c13_o_q2_scimrefdiffimg.fits,b'ztf_20180803176528_000824_zg_c13_o_q2_diffimgpsf.fits',-17.006431678678204,20.33606168956925,-5.892527237704886e-10,7.04620461743416e-10,2458202.870023148,2458230.9128279863,8241321.0,4.42473,-14.611404573926023,1.057895639477011,0.0,0.0,333.67656250018626,p48g
