jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458333.826331,b'r',1.82,6.2,26.071293,4.7496e-06,1.0,865.0,12.0,2.0,2.0,24.3838,3.75191,-0.651068,287.586,1.432,0.0,0.0,8.912417782497405,-0.24712860584259033,ztf_20180803326227_000865_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180803326227_000865_zr_c12_o_q2_diffimgpsf.fits',-4.5118449777750955,23.89623819390099,-1.682042517259732e-10,8.908659061362965e-10,2458198.863773148,2458287.781610625,8651222.0,8.26215,-4.580697268288072,0.7249099431300304,0.0,0.0,333.8263309998438,p48r
2458336.7513889,b'g',2.406,6.2,26.236263,6.5289e-06,1.0,865.0,12.0,2.0,1.0,61.9934,15.4103,-0.34097,251.454,1.361,0.0,0.0,6.478743936157226,0.8033885955810547,ztf_20180806250799_000865_zg_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180806250799_000865_zg_c12_o_q2_diffimgpsf.fits',-5.062654105344116,22.26880344359082,-1.6213361132857773e-10,7.131677272732834e-10,2458202.8455208335,2458317.8888094677,8651221.0,5.10018,-13.255201514865409,0.7480103962789701,0.0,0.0,336.751388899982,p48g
2458336.8409375,b'r',2.399,6.2,26.206206,4.153e-06,1.0,865.0,12.0,2.0,2.0,63.4731,15.8017,-0.33134,250.286,1.471,0.0,0.0,7.927499813318248,0.5349458456039429,ztf_20180806340683_000865_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180806340683_000865_zr_c12_o_q2_diffimgpsf.fits',-38.69517289109303,25.667355887073743,-1.2740145603028086e-09,8.450817681364275e-10,2458198.863773148,2458287.781610625,8651222.0,6.43304,-4.580697268288072,0.7249099431300304,0.0,0.0,336.84093749988824,p48r
2458340.8082639,b'r',1.645,6.2,25.694065,5.9692e-06,1.0,865.0,12.0,2.0,2.0,124.198,18.6559,-0.018863,195.788,1.43,0.0,0.0,8.112189008855818,0.3727719187736511,ztf_20180810308229_000865_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180810308229_000865_zr_c12_o_q2_diffimgpsf.fits',-21.058231230123027,20.79633946476492,-1.1112093580384921e-09,1.097389746271443e-09,2458198.863773148,2458287.781610625,8651222.0,6.71864,-4.580697268288072,0.7249099431300304,0.0,0.0,340.8082639002241,p48r
2458340.843669,b'g',2.204,6.2,24.917492,1.732e-05,1.0,865.0,12.0,2.0,1.0,124.945,18.5973,-0.017702,195.292,1.498,0.0,0.0,5.317892708683013,-0.09973615407943726,ztf_20180810343565_000865_zg_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180810343565_000865_zg_c12_o_q2_diffimgpsf.fits',-14.21149337453976,17.058883850369973,-1.5333557175858909e-09,1.84057624350512e-09,2458202.8455208335,2458317.8888094677,8651221.0,4.6878,-13.255201514865409,0.7480103962789701,0.0,0.0,340.8436690000817,p48g
2458343.8427546,b'r',1.693,6.2,26.113069,4.7516e-06,1.0,865.0,12.0,2.0,2.0,169.467,7.48661,0.054587,152.977,1.514,0.0,0.0,6.8542058659791945,0.963283896446228,ztf_20180813342593_000865_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180813342593_000865_zr_c12_o_q2_diffimgpsf.fits',79.48452133171716,18.16657245529411,2.851379107847297e-09,6.51696510236717e-10,2458198.863773148,2458287.781610625,8651222.0,6.30647,-4.580697268288072,0.7249099431300304,21.36236259202939,0.2481502700679898,343.84275460010394,p48r
2458343.8862153,b'g',2.381,6.2,26.032823,7.5316e-06,1.0,865.0,12.0,2.0,1.0,170.29,7.27214,0.056968,152.383,1.636,0.0,0.0,6.197503479385376,0.410533607006073,ztf_20180813386123_000865_zg_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180813386123_000865_zg_c12_o_q2_diffimgpsf.fits',32.912737263170364,20.973963519272985,1.2712612314528237e-09,8.10123645454851e-10,2458202.8455208335,2458317.8888094677,8651221.0,5.16885,-13.255201514865409,0.7480103962789701,0.0,0.0,343.88621529983357,p48g
2458346.8257523,b'g',2.105,6.2,26.02855,7.7498e-06,1.0,865.0,12.0,2.0,1.0,208.594,-6.89368,0.29876,113.733,1.493,0.0,0.0,5.986800494551659,0.37856096029281616,ztf_20180816325683_000865_zg_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816325683_000865_zg_c12_o_q2_diffimgpsf.fits',154.34334090264252,18.573804101300954,5.9850515682622034e-09,7.202460106831034e-10,2458202.8455208335,2458317.8888094677,8651221.0,5.05293,-13.255201514865409,0.7480103962789701,20.557330258208573,0.13065838467926744,346.8257523002103,p48g
2458346.895,b'r',1.7,6.2,26.027339,6.3731e-06,1.0,865.0,12.0,2.0,2.0,209.681,-7.16928,0.305655,112.873,1.694,0.0,0.0,8.508359272766112,0.6945314407348633,ztf_20180816394838_000865_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816394838_000865_zr_c12_o_q2_diffimgpsf.fits',184.54601940686734,22.597641386477374,7.16422277610388e-09,8.772583543853736e-10,2458198.863773148,2458287.781610625,8651222.0,6.66848,-4.580697268288072,0.7249099431300304,20.362077294868676,0.13294828846747841,346.8950000000186,p48r
2458349.684838,b'g',2.216,6.2,26.149556,9.4985e-06,2.0,865.0,12.0,2.0,1.0,244.777,-17.4917,0.58784,79.8817,1.345,0.0,0.0,8.539623331880568,0.9428280591964722,ztf_20180819184803_000865_zg_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180819184803_000865_zg_c12_o_q2_diffimgpsf.fits',486.49529613127964,27.16049534171839,1.6875484308768255e-08,9.421396717086683e-10,2458202.8455208335,2458317.8888094677,8651221.0,7.55467,-13.255201514865409,0.7480103962789701,19.43185938630051,0.06061545451359566,349.6848380002193,p48g
