jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458328.6769676,b'g',2.213,6.2,26.262516,1.09768e-05,1.0,722.0,15.0,3.0,1.0,324.128,-16.4429,-0.98393,345.434,1.015,0.0,0.0,8.565629367971418,0.47575342655181885,ztf_20180729176944_000722_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180729176944_000722_zg_c15_o_q3_diffimgpsf.fits',-39.42581825175962,37.5889971484022,-1.2324642072904674e-09,1.1750445680068076e-09,2458167.064247685,2458207.0039004628,7221531.0,9.35081,1.6502397731362342,1.0062544496899124,0.0,0.0,328.67696759989485,p48g
2458328.6779282,b'g',2.083,6.2,26.260717,9.659e-06,2.0,722.0,15.0,3.0,1.0,324.138,-16.4414,-0.983914,345.427,1.016,0.0,0.0,8.818075862884521,-0.3187131881713867,ztf_20180729177905_000722_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180729177905_000722_zg_c15_o_q3_diffimgpsf.fits',5.633967915172711,37.98033030947847,1.764117748675658e-10,1.189246651886895e-09,2458167.064247685,2458207.0039004628,7221531.0,9.48979,1.6502397731362342,1.0062544496899124,0.0,0.0,328.6779281999916,p48g
2458328.8314583,b'r',2.007,6.2,26.062197,1.34048e-05,2.0,722.0,15.0,3.0,2.0,325.465,-16.1353,-0.980022,343.749,1.611,0.0,0.0,13.105689376592636,-1.4097497463226318,ztf_20180729331435_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180729331435_000722_zr_c15_o_q3_diffimgpsf.fits',-38.30054919856251,55.134984868759645,-1.4398796752875748e-09,2.072757330480116e-09,2458155.058738426,2458217.9809375,7221532.0,14.1608,5.375778009489987,1.0719481203548684,0.0,0.0,328.83145829988644,p48r
2458329.8007639,b'r',1.862,6.2,26.132527,6.0875e-06,2.0,722.0,15.0,3.0,2.0,337.241,-12.9985,-0.945941,333.111,1.392,0.0,0.0,10.72609975938797,-0.6622704863548279,ztf_20180730300752_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180730300752_000722_zr_c15_o_q3_diffimgpsf.fits',-16.547250919443087,41.3839459354698,-5.830624222548969e-10,1.458213444464614e-09,2458155.058738426,2458217.9809375,7221532.0,10.8661,5.375778009489987,1.0719481203548684,0.0,0.0,329.8007638999261,p48r
2458329.8194444,b'r',1.853,6.2,26.076373,6.7847e-06,2.0,722.0,15.0,3.0,2.0,337.387,-12.9446,-0.945137,332.908,1.529,0.0,0.0,11.484109393119812,-1.708530306816101,ztf_20180730319444_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180730319444_000722_zr_c15_o_q3_diffimgpsf.fits',31.848283906677732,44.54885188383187,1.1817805447085035e-09,1.6530550468654912e-09,2458155.058738426,2458217.9809375,7221532.0,11.5862,5.375778009489987,1.0719481203548684,0.0,0.0,329.8194443997927,p48r
2458330.6596644,b'g',2.323,6.2,26.27212,1.28081e-05,2.0,722.0,15.0,3.0,1.0,347.551,-9.71535,-0.902548,323.62,1.009,0.0,0.0,10.661026832056045,-1.0679908990859985,ztf_20180731159248_000722_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180731159248_000722_zg_c15_o_q3_diffimgpsf.fits',-1.9841288376660744,45.321019576225005,-6.147830274579944e-11,1.4042734067276121e-09,2458167.064247685,2458207.0039004628,7221531.0,10.2428,1.6502397731362342,1.0062544496899124,0.0,0.0,330.6596643999219,p48g
2458330.6737153,b'g',2.673,6.2,26.239136,7.0857e-06,2.0,722.0,15.0,3.0,1.0,347.721,-9.67236,-0.901714,323.459,1.017,0.0,0.0,4.601117941212653,-0.34119004011154175,ztf_20180731173692_000722_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180731173692_000722_zg_c15_o_q3_diffimgpsf.fits',8.548628849155374,22.491113537942393,2.73049925250237e-10,7.183838459609136e-10,2458167.064247685,2458207.0039004628,7221531.0,4.78988,1.6502397731362342,1.0062544496899124,0.0,0.0,330.6737152999267,p48g
2458330.7006597,b'g',1.846,6.2,26.209665,6.1126e-06,2.0,722.0,15.0,3.0,1.0,348.03,-9.58951,-0.900183,323.165,1.047,0.0,0.0,5.090714697933195,0.11201941967010498,ztf_20180731200637_000722_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180731200637_000722_zg_c15_o_q3_diffimgpsf.fits',-13.359706294694561,20.632158788313777,-4.384609399431499e-10,6.771403155047666e-10,2458167.064247685,2458207.0039004628,7221531.0,5.24453,1.6502397731362342,1.0062544496899124,0.0,0.0,330.7006597002037,p48g
2458330.8035532,b'r',1.488,6.2,26.086499,6.9172e-06,2.0,722.0,15.0,3.0,2.0,349.026,-9.25942,-0.894139,322.025,1.429,0.0,0.0,9.907295525074005,-1.2577295303344727,ztf_20180731303542_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180731303542_000722_zr_c15_o_q3_diffimgpsf.fits',11.197962582488966,34.466540357907476,4.116607035898229e-10,1.2670626597968091e-09,2458155.058738426,2458217.9809375,7221532.0,10.4611,5.375778009489987,1.0719481203548684,0.0,0.0,330.8035531998612,p48r
2458330.8177315,b'r',1.796,6.2,26.073437,6.3714e-06,2.0,722.0,15.0,3.0,2.0,349.143,-9.21124,-0.893274,321.864,1.537,0.0,0.0,10.685398757457733,-0.5274147391319275,ztf_20180731317731_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180731317731_000722_zr_c15_o_q3_diffimgpsf.fits',24.75057475931781,39.33419057432929,9.208957922491995e-10,1.4635090677253148e-09,2458155.058738426,2458217.9809375,7221532.0,11.0087,5.375778009489987,1.0719481203548684,0.0,0.0,330.8177315001376,p48r
2458330.8405556,b'r',1.766,6.2,26.032522,8.5223e-06,2.0,722.0,15.0,3.0,2.0,349.323,-9.13191,-0.891913,321.612,1.766,0.0,0.0,11.281680576705934,-0.9837111234664917,ztf_20180731340556_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180731340556_000722_zr_c15_o_q3_diffimgpsf.fits',-10.394457782736405,41.450079676229166,-4.0159938557328046e-10,1.6014617479726927e-09,2458155.058738426,2458217.9809375,7221532.0,11.7043,5.375778009489987,1.0719481203548684,0.0,0.0,330.84055559989065,p48r
2458331.6842014,b'r',1.693,6.2,26.149445,4.5167e-06,2.0,722.0,15.0,3.0,2.0,359.378,-5.60167,-0.835758,312.184,1.029,0.0,0.0,5.477148012471199,0.011717379093170166,ztf_20180801184178_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180801184178_000722_zr_c15_o_q3_diffimgpsf.fits',-14.162775952791243,20.407325230335584,-4.913267219650214e-10,7.079589653157337e-10,2458155.058738426,2458217.9809375,7221532.0,5.67253,5.375778009489987,1.0719481203548684,0.0,0.0,331.6842013997957,p48r
2458331.6938657,b'r',1.798,6.2,26.158482,4.842e-06,2.0,722.0,15.0,3.0,2.0,359.496,-5.56566,-0.835079,312.079,1.042,0.0,0.0,5.21766500749588,-0.43676888942718506,ztf_20180801193843_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180801193843_000722_zr_c15_o_q3_diffimgpsf.fits',0.11580005294917672,20.219185479804715,3.983969069094655e-12,6.956180718603243e-10,2458155.058738426,2458217.9809375,7221532.0,5.68837,5.375778009489987,1.0719481203548684,0.0,0.0,331.6938657001592,p48r
2458331.6948264,b'r',1.642,6.2,26.150288,5.1027e-06,1.0,722.0,15.0,3.0,2.0,359.508,-5.56208,-0.835034,312.072,1.043,0.0,0.0,5.439868825340271,-0.4722491502761841,ztf_20180801194792_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180801194792_000722_zr_c15_o_q3_diffimgpsf.fits',4.847199359075408,20.112808666734214,1.6802568789155464e-10,6.972002307546995e-10,2458155.058738426,2458217.9809375,7221532.0,5.65722,5.375778009489987,1.0719481203548684,0.0,0.0,331.69482639990747,p48r
2458331.7139352,b'r',1.699,6.2,26.148603,4.7496e-06,2.0,722.0,15.0,3.0,2.0,359.733,-5.49069,-0.833582,311.849,1.076,0.0,0.0,5.356082902240749,0.24441015720367432,ztf_20180801213924_000722_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180801213924_000722_zr_c15_o_q3_diffimgpsf.fits',-12.03117379810395,19.77422229602503,-4.177022363975077e-10,6.865279327443563e-10,2458155.058738426,2458217.9809375,7221532.0,5.76666,5.375778009489987,1.0719481203548684,0.0,0.0,331.713935200125,p48r
2458331.7386921,b'g',2.007,6.2,26.199741,9.0647e-06,2.0,722.0,15.0,3.0,1.0,0.00927083,-5.39772,-0.831759,311.569,1.138,0.0,0.0,6.654861855411529,-0.8680218458175659,ztf_20180801238681_000722_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180801238681_000722_zg_c15_o_q3_diffimgpsf.fits',-4.601307969180037,27.24510047352299,-1.5239997715797068e-10,9.023853038412402e-10,2458167.064247685,2458207.0039004628,7221531.0,6.91457,1.6502397731362342,1.0062544496899124,0.0,0.0,331.7386921001598,p48g
2458331.7396412,b'g',2.08,6.2,26.207267,8.4942e-06,1.0,722.0,15.0,3.0,1.0,0.0195137,-5.39414,-0.831713,311.562,1.14,0.0,0.0,5.974112828159333,-0.730640709400177,ztf_20180801239618_000722_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180801239618_000722_zg_c15_o_q3_diffimgpsf.fits',-12.701885236829686,25.165506907218923,-4.177932167264928e-10,8.277494155683273e-10,2458167.064247685,2458207.0039004628,7221531.0,6.98706,1.6502397731362342,1.0062544496899124,0.0,0.0,331.73964119981974,p48g
