jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458340.6819444,b'r',1.56,6.2,25.888062,6.8599e-06,1.0,794.0,3.0,4.0,2.0,121.538,18.9472,-0.0233669,197.586,1.158,0.0,0.0,5.669041649842262,-0.1783161163330078,ztf_20180810181910_000794_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180810181910_000794_zr_c03_o_q4_diffimgpsf.fits',2.157519111814711,18.01629037887093,9.522036710534298e-11,7.951344552911519e-10,2458198.8627083334,2458219.976712963,7940342.0,6.3381,-14.621321616067311,0.9710529466577361,0.0,0.0,340.6819444000721,p48r
2458344.6635069,b'g',3.264,6.2,26.169802,1.28048e-05,1.0,760.0,14.0,2.0,1.0,180.254,3.5384,0.107144,141.787,1.118,0.0,0.0,4.853797630691526,0.004129767417907715,ztf_20180814163438_000760_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180814163438_000760_zg_c14_o_q2_diffimgpsf.fits',-16.925448214436074,27.94545803875954,-5.762611987969996e-10,9.51459775051765e-10,2458166.9898148146,2458206.0035416665,7601421.0,4.95803,2.029207278450435,1.034882608987302,0.0,0.0,344.66350689996034,p48g
2458344.6639699,b'g',1.659,6.2,26.19457,8.126e-06,1.0,794.0,3.0,4.0,1.0,180.26,3.53593,0.107144,141.787,1.143,0.0,0.0,4.613414103412627,-0.054860830307006836,ztf_20180814163958_000794_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180814163958_000794_zg_c03_o_q4_diffimgpsf.fits',6.471867625924441,17.716214159972203,2.1537814181062376e-10,5.89580242714421e-10,2458203.8690046296,2458228.966190833,7940341.0,4.74098,10.590854725487203,1.0674555134528463,0.0,0.0,344.6639698999934,p48g
2458344.6847917,b'r',1.613,6.2,26.094102,7.9183e-06,1.0,794.0,3.0,4.0,2.0,180.539,3.42535,0.108659,141.507,1.19,0.0,0.0,5.8478974801063535,0.27098798751831055,ztf_20180814184780_000794_zr_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180814184780_000794_zr_c03_o_q4_diffimgpsf.fits',-14.08216800339464,18.301367361755037,-5.140776480096737e-10,6.68101948973497e-10,2458198.8627083334,2458219.976712963,7940342.0,5.72491,-14.621321616067311,0.9710529466577361,0.0,0.0,344.6847916999832,p48r
2458344.6852431,b'r',1.991,6.2,26.072902,7.9069e-06,1.0,760.0,14.0,2.0,2.0,180.545,3.42296,0.108696,141.5,1.176,0.0,0.0,5.2406234737873065,-0.2306687831878662,ztf_20180814185243_000760_zr_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180814185243_000760_zr_c14_o_q2_diffimgpsf.fits',4.561753685241916,20.70226576098118,1.6981303795247934e-10,7.70649816703092e-10,2458155.05525463,2458198.9819791666,7601422.0,6.05832,3.9158018262971876,1.0710184957558617,0.0,0.0,344.6852430999279,p48r
2458347.7002431,b'g',2.908,6.2,26.123784,1.41983e-05,1.0,760.0,14.0,2.0,1.0,219.653,-10.738,0.387369,103.018,1.259,0.0,0.0,5.867866809535026,0.19839197397232056,ztf_20180817200197_000760_zg_c14_o_q2_scimrefdiffimg.fits,b'ztf_20180817200197_000760_zg_c14_o_q2_diffimgpsf.fits',-7.073813215348416,30.817740356408926,-2.512696229394677e-10,1.094680021015337e-09,2458166.9898148146,2458206.0035416665,7601421.0,6.22291,2.029207278450435,1.034882608987302,0.0,0.0,347.7002431000583,p48g
2458347.700706,b'g',1.871,6.2,26.171663,1.00005e-05,1.0,794.0,3.0,4.0,1.0,219.657,-10.7395,0.387369,103.018,1.263,0.0,0.0,5.815125812292099,-0.05481255054473877,ztf_20180817200694_000794_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180817200694_000794_zg_c03_o_q4_diffimgpsf.fits',4.955618442164527,23.011429258427032,1.6843512395179545e-10,7.821290086582647e-10,2458203.8690046296,2458228.966190833,7940341.0,6.01362,10.590854725487203,1.0674555134528463,0.0,0.0,347.70070599997416,p48g
2458349.6530208,b'g',2.027,6.2,26.253544,1.23456e-05,2.0,794.0,3.0,4.0,1.0,244.519,-17.428,0.584714,80.2454,1.147,0.0,0.0,7.925129189872741,-0.3918278217315674,ztf_20180819152986_000794_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180819152986_000794_zg_c03_o_q4_diffimgpsf.fits',79.07965231767919,31.233379846463357,2.4925687808140265e-09,9.844674992262057e-10,2458203.8690046296,2458228.966190833,7940341.0,8.07962,10.590854725487203,1.0674555134528463,0.0,0.0,349.6530208000913,p48g
2458349.6734491,b'g',1.741,6.2,26.2017,1.03673e-05,2.0,794.0,3.0,4.0,1.0,244.683,-17.4699,0.586698,80.0146,1.196,0.0,0.0,6.732780561065672,0.12410259246826172,ztf_20180819173380_000794_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180819173380_000794_zg_c03_o_q4_diffimgpsf.fits',89.1280914329584,27.100737973820014,2.9466910685323246e-09,8.95985780617045e-10,2458203.8690046296,2458228.966190833,7940341.0,7.40177,10.590854725487203,1.0674555134528463,21.32666348313096,0.3301344383715564,349.6734490999952,p48g
2458349.6957176,b'g',1.608,6.2,26.201282,1.27217e-05,2.0,794.0,3.0,4.0,1.0,244.869,-17.5114,0.588921,79.7559,1.265,0.0,0.0,6.725437246084214,0.035150885581970215,ztf_20180819195671_000794_zg_c03_o_q4_scimrefdiffimg.fits,b'ztf_20180819195671_000794_zg_c03_o_q4_diffimgpsf.fits',50.918145494741566,25.276771536044468,1.6840685973880963e-09,8.360048620282015e-10,2458203.8690046296,2458228.966190833,7940341.0,7.47956,10.590854725487203,1.0674555134528463,0.0,0.0,349.69571760017425,p48g
