jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458338.6966319,b'r',2.15,6.2,26.117812,2.0691e-06,1.0,764.0,13.0,4.0,2.0,90.3799,19.6889,-0.149062,225.422,1.029,0.0,0.0,4.793076631736755,0.5712590217590332,ztf_20180808196632_000764_zr_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180808196632_000764_zr_c13_o_q4_diffimgpsf.fits',-100.25900288792018,42.16967564064718,-3.5809526713978023e-09,1.5061750894103361e-09,2458158.9672685186,2458219.930462963,7641342.0,5.55823,5.59939541715361,1.773566050127046,0.0,0.0,338.69663190003484,p48r
2458338.6994444,b'r',1.792,6.2,26.071074,1.3614e-06,1.0,765.0,16.0,3.0,2.0,90.4389,19.6919,-0.148801,225.38,1.041,0.0,0.0,4.572453583526611,0.4387013912200928,ztf_20180808199444_000765_zr_c16_o_q3_scimrefdiffimg.fits,b'ztf_20180808199444_000765_zr_c16_o_q3_diffimgpsf.fits',-12.506399974012517,23.729466635409786,-4.663400489717122e-10,8.848270210313482e-10,2458156.0275925924,2458220.0042708335,7651632.0,5.20971,-1.005274587363565,1.21053765619656,0.0,0.0,338.6994444001466,p48r
2458342.8318403,b'r',1.97,6.2,25.955856,1.4376e-06,1.0,765.0,16.0,3.0,2.0,155.055,12.0711,0.0126772,167.07,1.195,0.0,0.0,4.855138638782497,0.08409440517425537,ztf_20180812331817_000765_zr_c16_o_q3_scimrefdiffimg.fits,b'ztf_20180812331817_000765_zr_c16_o_q3_diffimgpsf.fits',-0.008481271727196926,23.833938487399465,-3.516564419227243e-13,9.882194881939038e-10,2458156.0275925924,2458220.0042708335,7651632.0,5.81016,-1.005274587363565,1.21053765619656,0.0,0.0,342.8318403000012,p48r
2458343.8123495,b'g',2.661,6.2,26.111781,2.7966e-06,1.0,764.0,13.0,4.0,1.0,168.902,7.64071,0.0529351,153.397,1.231,0.0,0.0,4.1179223290205,0.3762485384941101,ztf_20180813312303_000764_zg_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180813312303_000764_zg_c13_o_q4_diffimgpsf.fits',-58.554928649114636,41.595717796739,-2.1030570600882876e-09,1.4939505520816604e-09,2458204.9816666665,2458229.9929238427,7641341.0,4.53693,-13.353322623107708,1.506569387206995,0.0,0.0,343.8123495001346,p48g
2458343.8293403,b'r',1.89,6.2,26.09521,1.4161e-06,1.0,764.0,13.0,4.0,2.0,169.216,7.55418,0.0538406,153.166,1.303,0.0,0.0,5.3111498663902275,0.20263922214508057,ztf_20180813329329_000764_zr_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180813329329_000764_zr_c13_o_q4_diffimgpsf.fits',2.5270450876054307,33.37400069758524,9.215714048112326e-11,1.2170944182159015e-09,2458158.9672685186,2458219.930462963,7641342.0,5.58347,5.59939541715361,1.773566050127046,0.0,0.0,343.8293403000571,p48r
2458345.6850579,b'g',2.085,6.2,26.147196,2.4862e-06,1.0,765.0,16.0,3.0,1.0,193.843,-1.55551,0.190336,128.267,1.036,0.0,0.0,3.3030530304670327,0.21432125568389893,ztf_20180815185058_000765_zg_c16_o_q3_scimrefdiffimg.fits,b'ztf_20180815185058_000765_zg_c16_o_q3_diffimgpsf.fits',-12.423299713077109,17.66305699013459,-4.3187549524428345e-10,6.14027002594373e-10,2458204.976423611,2458231.991231331,7651631.0,4.32822,-1.5387994576588493,1.2416913515151158,0.0,0.0,345.6850578999147,p48g
2458345.8292477,b'r',1.855,6.2,26.009675,1.2797e-06,1.0,765.0,16.0,3.0,2.0,195.895,-2.23566,0.203342,126.393,1.214,0.0,0.0,4.914462595748901,0.24146580696105957,ztf_20180815329248_000765_zr_c16_o_q3_scimrefdiffimg.fits,b'ztf_20180815329248_000765_zr_c16_o_q3_diffimgpsf.fits',-14.349633224233113,23.154391362557003,-5.662012198196944e-10,9.136153118900716e-10,2458156.0275925924,2458220.0042708335,7651632.0,5.28024,-1.005274587363565,1.21053765619656,0.0,0.0,345.8292477000505,p48r
2458346.8281019,b'g',1.849,6.2,26.060579,2.5364e-06,1.0,764.0,13.0,4.0,1.0,208.629,-6.90295,0.298928,113.712,1.337,0.0,0.0,3.987986456298826,0.08267855644226074,ztf_20180816328090_000764_zg_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180816328090_000764_zg_c13_o_q4_diffimgpsf.fits',24.15076090837965,33.57372627759525,9.092833075100642e-10,1.2640607470293032e-09,2458204.9816666665,2458229.9929238427,7641341.0,4.60436,-13.353322623107708,1.506569387206995,0.0,0.0,346.8281018999405,p48g
2458348.8416204,b'g',2.251,6.2,26.061779,2.8542e-06,1.0,765.0,16.0,3.0,1.0,233.859,-14.7982,0.50407,89.5336,1.298,0.0,0.0,3.852096900939941,0.17771697044372559,ztf_20180818341609_000765_zg_c16_o_q3_scimrefdiffimg.fits,b'ztf_20180818341609_000765_zg_c16_o_q3_diffimgpsf.fits',1.5149378905947235,21.66166851047214,5.6974854924089315e-11,8.146673394731602e-10,2458204.976423611,2458231.991231331,7651631.0,4.23645,-1.5387994576588493,1.2416913515151158,0.0,0.0,348.8416204000823,p48g
2458349.6866667,b'g',1.819,6.2,26.118108,3.0344e-06,2.0,765.0,16.0,3.0,1.0,244.792,-17.4951,0.58796,79.8678,1.03,0.0,0.0,4.857540794372559,0.08221781253814697,ztf_20180819186667_000765_zg_c16_o_q3_scimrefdiffimg.fits,b'ztf_20180819186667_000765_zg_c16_o_q3_diffimgpsf.fits',7.079999918473934,23.664909454950536,2.528075574787351e-10,8.450096082138234e-10,2458204.976423611,2458231.991231331,7651631.0,6.43342,-1.5387994576588493,1.2416913515151158,0.0,0.0,349.6866667000577,p48g
