jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458340.6828819,b'r',1.707,6.2,25.949156,4.1809e-06,1.0,723.0,15.0,4.0,2.0,121.557,18.9446,-0.0233301,197.572,1.028,0.0,0.0,5.2109925201416,0.23236596584320068,ztf_20180810182859_000723_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180810182859_000723_zr_c15_o_q4_diffimgpsf.fits',49.876141164838124,18.994513802005688,2.08080050915016e-09,7.924388910054107e-10,2458155.059236111,2458219.0018171296,7231542.0,6.39759,-5.6440295585291365,0.9801350659757109,0.0,0.0,340.68288190010935,p48r
2458340.8270486,b'g',2.064,6.2,25.129074,1.22574e-05,1.0,723.0,15.0,4.0,1.0,124.595,18.6236,-0.0182371,195.522,1.658,0.0,0.0,4.729658640956878,0.10708189010620117,ztf_20180810327037_000723_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180810327037_000723_zg_c15_o_q4_diffimgpsf.fits',26.597407006078136,20.45491135773163,2.361618265455533e-09,1.8162181100909006e-09,2458203.9998726854,2458207.0000810185,7231541.0,5.11799,4.181522502956214,1.0192562685423086,0.0,0.0,340.82704860018566,p48g
2458343.6600231,b'r',1.82,6.2,26.179892,3.2861e-06,1.0,723.0,15.0,4.0,2.0,166.351,8.45555,0.0450117,155.502,1.015,0.0,0.0,5.18036658334732,0.053059935569763184,ztf_20180813160000_000723_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180813160000_000723_zr_c15_o_q4_diffimgpsf.fits',14.503333075635357,18.678390184308363,4.892276798434101e-10,6.300610656494922e-10,2458155.059236111,2458219.0018171296,7231542.0,6.07323,-5.6440295585291365,0.9801350659757109,0.0,0.0,343.6600231002085,p48r
2458343.6798264,b'g',2.445,6.2,26.247726,5.0487e-06,1.0,723.0,15.0,4.0,1.0,166.648,8.34663,0.0460039,155.229,1.034,0.0,0.0,3.861697821807859,-0.036455631256103516,ztf_20180813179803_000723_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180813179803_000723_zg_c15_o_q4_diffimgpsf.fits',-36.073629000391534,18.851788845038097,-1.1431400339497452e-09,5.973958023726831e-10,2458203.9998726854,2458207.0000810185,7231541.0,4.51822,4.181522502956214,1.0192562685423086,0.0,0.0,343.6798263997771,p48g
2458346.6564583,b'g',2.218,6.2,26.241598,6.1602e-06,1.0,723.0,15.0,4.0,1.0,206.481,-6.21612,0.281972,115.852,1.018,0.0,0.0,5.785671048784254,-0.12615251541137695,ztf_20180816156435_000723_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180816156435_000723_zg_c15_o_q4_diffimgpsf.fits',3.3334032699436884,25.732165997125936,1.0623036094557415e-10,8.200439792071826e-10,2458203.9998726854,2458207.0000810185,7231541.0,6.29754,4.181522502956214,1.0192562685423086,0.0,0.0,346.6564583000727,p48g
2458346.6797106,b'r',1.649,6.2,26.166639,2.8994e-06,1.0,723.0,15.0,4.0,2.0,206.723,-6.31199,0.284227,115.566,1.045,0.0,0.0,5.2820629472732525,0.03031289577484131,ztf_20180816179688_000723_zr_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180816179688_000723_zr_c15_o_q4_diffimgpsf.fits',28.79696613319627,19.24325850043287,9.833115391673646e-10,6.570872100653118e-10,2458155.059236111,2458219.0018171296,7231542.0,6.23157,-5.6440295585291365,0.9801350659757109,0.0,0.0,346.6797106000595,p48r
2458349.6606019,b'g',2.479,6.2,26.239244,7.97e-06,1.0,723.0,15.0,4.0,1.0,244.579,-17.444,0.585496,80.1545,1.031,0.0,0.0,7.508160447478292,-0.3099936842918396,ztf_20180819160579_000723_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180819160579_000723_zg_c15_o_q4_diffimgpsf.fits',20.21416682729211,36.29848316713682,6.455921568564375e-10,1.1592867635308803e-09,2458203.9998726854,2458207.0000810185,7231541.0,7.81463,4.181522502956214,1.0192562685423086,0.0,0.0,349.66060189995915,p48g
2458349.6615509,b'g',2.158,6.2,26.234044,6.5568e-06,2.0,723.0,15.0,4.0,1.0,244.586,-17.446,0.585556,80.1475,1.032,0.0,0.0,7.303180738830565,-0.44885730743408203,ztf_20180819161528_000723_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180819161528_000723_zg_c15_o_q4_diffimgpsf.fits',-70.57676260710137,32.54102711801209,-2.2648744532820666e-09,1.0442720562256363e-09,2458203.9998726854,2458207.0000810185,7231541.0,7.78044,4.181522502956214,1.0192562685423086,0.0,0.0,349.66155089996755,p48g
2458349.6710648,b'g',2.298,6.2,26.246144,7.1727e-06,2.0,723.0,15.0,4.0,1.0,244.663,-17.4652,0.586518,80.0356,1.044,0.0,0.0,7.09291395034789,0.22682476043701172,ztf_20180819171042_000723_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180819171042_000723_zg_c15_o_q4_diffimgpsf.fits',49.131390959124815,32.53608422852671,1.5591986842429591e-09,1.0325418990125188e-09,2458203.9998726854,2458207.0000810185,7231541.0,7.70637,4.181522502956214,1.0192562685423086,0.0,0.0,349.67106480011716,p48g
2458349.6923958,b'g',2.07,6.2,26.240628,6.354e-06,2.0,723.0,15.0,4.0,1.0,244.841,-17.5055,0.588561,79.7978,1.083,0.0,0.0,6.68101085615158,-0.31349611282348633,ztf_20180819192303_000723_zg_c15_o_q4_scimrefdiffimg.fits,b'ztf_20180819192303_000723_zg_c15_o_q4_diffimgpsf.fits',13.429082414020648,28.61373226471974,4.2834641758526525e-10,9.126900358125991e-10,2458203.9998726854,2458207.0000810185,7231541.0,7.70485,4.181522502956214,1.0192562685423086,0.0,0.0,349.6923957997933,p48g
