jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458336.7186806,b'r',1.762,6.2,26.327634,1.3451e-06,1.0,681.0,9.0,3.0,2.0,61.4072,15.2762,-0.344446,251.874,1.034,0.0,0.0,5.311561463642115,0.2110375165939331,ztf_20180806218669_000681_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180806218669_000681_zr_c09_o_q3_diffimgpsf.fits',35.87909416291233,25.67345144492172,1.0563014352955122e-09,7.558413678774949e-10,2458157.0492476854,2458219.002800926,6810932.0,5.66357,8.473662189950893,1.3292416808776115,0.0,0.0,336.71868060017005,p48r
2458340.6838657,b'r',1.673,6.2,26.079352,1.5661e-06,1.0,681.0,9.0,3.0,2.0,121.577,18.9419,-0.0232932,197.558,1.009,0.0,0.0,5.490359537553786,0.18030178546905518,ztf_20180810183808_000681_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180810183808_000681_zr_c09_o_q3_diffimgpsf.fits',-19.37923719778584,25.708465047217945,-7.171266768964738e-10,9.513391017030262e-10,2458157.0492476854,2458219.002800926,6810932.0,6.31292,8.473662189950893,1.3292416808776115,0.0,0.0,340.6838656999171,p48r
2458340.8247222,b'g',2.183,6.2,25.334479,6.7733e-06,1.0,681.0,9.0,3.0,1.0,124.546,18.6274,-0.0183189,195.557,1.535,0.0,0.0,3.9919839962959274,0.6192429065704346,ztf_20180810324722_000681_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180810324722_000681_zg_c09_o_q3_diffimgpsf.fits',1.6364200686534218,19.316044071609,1.2025501503184095e-10,1.4194712071080844e-09,2458203.8997569443,2458227.859578889,6810931.0,4.70086,9.522404378035347,1.0664746839223669,0.0,0.0,340.82472220016643,p48g
2458343.6623727,b'r',1.669,6.2,26.270463,1.5568e-06,1.0,681.0,9.0,3.0,2.0,166.385,8.44261,0.0451384,155.467,1.002,0.0,0.0,4.986534666275977,0.41929179430007935,ztf_20180813162361_000681_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180813162361_000681_zr_c09_o_q3_diffimgpsf.fits',4.661932572524972,24.366851480508934,1.4467076829341545e-10,7.561608988839628e-10,2458157.0492476854,2458219.002800926,6810932.0,5.8824,8.473662189950893,1.3292416808776115,0.0,0.0,343.6623726999387,p48r
2458343.6821759,b'g',2.663,6.2,26.212192,2.8357e-06,1.0,681.0,9.0,3.0,1.0,166.684,8.33374,0.0461319,155.194,1.014,0.0,0.0,3.9992213230133054,-0.04048478603363037,ztf_20180813182153_000681_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180813182153_000681_zg_c09_o_q3_diffimgpsf.fits',10.900241488909003,23.26001626181141,3.5691049580128267e-10,7.61611010618641e-10,2458203.8997569443,2458227.859578889,6810931.0,4.30277,9.522404378035347,1.0664746839223669,0.0,0.0,343.6821758998558,p48g
2458346.6597685,b'g',2.614,6.2,26.201294,3.4299e-06,1.0,681.0,9.0,3.0,1.0,206.515,-6.22985,0.282302,115.811,1.004,0.0,0.0,4.813171183061598,-0.07005840539932251,ztf_20180816159757_000681_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180816159757_000681_zg_c09_o_q3_diffimgpsf.fits',-23.09393343168975,26.312896734218373,-7.638011529930032e-10,8.702640857481913e-10,2458203.8997569443,2458227.859578889,6810931.0,5.57383,9.522404378035347,1.0664746839223669,0.0,0.0,346.65976849989966,p48g
2458346.6806829,b'r',1.657,6.2,26.254238,1.5805e-06,1.0,681.0,9.0,3.0,2.0,206.733,-6.31597,0.284392,115.545,1.02,0.0,0.0,5.0491989430427555,0.46708929538726807,ztf_20180816180625_000681_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180816180625_000681_zr_c09_o_q3_diffimgpsf.fits',35.14383046851945,23.854422974445452,1.1070159932600088e-09,7.514043685822882e-10,2458157.0492476854,2458219.002800926,6810932.0,6.22995,8.473662189950893,1.3292416808776115,0.0,0.0,346.68068289989606,p48r
2458349.6625463,b'g',2.407,6.2,26.206239,4.2691e-06,1.0,681.0,9.0,3.0,1.0,244.594,-17.448,0.585676,80.1335,1.011,0.0,0.0,7.891938603401185,-0.30030930042266846,ztf_20180819162488_000681_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180819162488_000681_zg_c09_o_q3_diffimgpsf.fits',105.24195956752224,40.60945377520835,3.464920910044349e-09,1.3370004332561565e-09,2458203.8997569443,2458227.859578889,6810931.0,7.75349,9.522404378035347,1.0664746839223669,0.0,0.0,349.6625462998636,p48g
2458349.6634838,b'g',2.398,6.2,26.205063,3.7822e-06,2.0,681.0,9.0,3.0,1.0,244.602,-17.4499,0.585736,80.1265,1.012,0.0,0.0,6.9588480844259255,-0.041064679622650146,ztf_20180819163461_000681_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180819163461_000681_zg_c09_o_q3_diffimgpsf.fits',29.329101052862335,36.249552007652674,9.666595634576916e-10,1.1947511127680412e-09,2458203.8997569443,2458227.859578889,6810931.0,7.75703,9.522404378035347,1.0664746839223669,0.0,0.0,349.66348379990086,p48g
2458349.6696528,b'g',2.41,6.2,26.203867,4.1993e-06,2.0,681.0,9.0,3.0,1.0,244.652,-17.4624,0.586338,80.0566,1.017,0.0,0.0,7.270853401947021,-0.09355807304382324,ztf_20180819169641_000681_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180819169641_000681_zg_c09_o_q3_diffimgpsf.fits',20.974426492929105,37.581559267046465,6.920592769611796e-10,1.2400180163331058e-09,2458203.8997569443,2458227.859578889,6810931.0,7.75788,9.522404378035347,1.0664746839223669,0.0,0.0,349.6696528000757,p48g
