jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458336.7186806,b'r',1.962,6.2,26.20579,2.002e-06,1.0,681.0,15.0,1.0,2.0,61.4072,15.2762,-0.344446,251.874,1.034,0.0,0.0,3.8262106201648716,0.30109214782714844,ztf_20180806218669_000681_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180806218669_000681_zr_c15_o_q1_diffimgpsf.fits',-23.98653670209277,18.544585570400514,-7.900444869530952e-10,6.108029589568987e-10,2458157.0492476854,2458218.0027083335,6811512.0,5.45115,9.611653182318777,1.2492223653448338,0.0,0.0,336.71868060017005,p48r
2458336.7424884,b'g',2.932,6.2,26.297882,3.6653e-06,1.0,681.0,15.0,1.0,1.0,61.8359,15.3732,-0.341954,251.573,1.077,0.0,0.0,3.6880451503276825,-0.02392423152923584,ztf_20180806242477_000681_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180806242477_000681_zg_c15_o_q1_diffimgpsf.fits',4.68250188404083,23.407935408344866,1.4168541963870007e-10,7.082886955179633e-10,2458203.8997569443,2458207.0143171297,6811511.0,4.34972,0.9723390092977201,1.1767897796838915,0.0,0.0,336.7424884000793,p48g
2458340.6838657,b'r',1.96,6.2,25.96572,2.247e-06,1.0,681.0,15.0,1.0,2.0,121.577,18.9419,-0.0232932,197.558,1.009,0.0,0.0,4.336835000228882,-0.0372546911239624,ztf_20180810183808_000681_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180810183808_000681_zr_c15_o_q1_diffimgpsf.fits',-3.994101469534124,21.350053618161887,-1.641085067792163e-10,8.772249392406378e-10,2458157.0492476854,2458218.0027083335,6811512.0,6.52996,9.611653182318777,1.2492223653448338,0.0,0.0,340.6838656999171,p48r
2458340.8247222,b'g',2.455,6.2,25.267398,9.5229e-06,1.0,681.0,15.0,1.0,1.0,124.546,18.6274,-0.0183189,195.557,1.535,0.0,0.0,4.091429637145996,0.012605488300323486,ztf_20180810324722_000681_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180810324722_000681_zg_c15_o_q1_diffimgpsf.fits',-65.52497545161837,23.04938016438364,-5.122095445866035e-09,1.8017729025155714e-09,2458203.8997569443,2458207.0143171297,6811511.0,4.65016,0.9723390092977201,1.1767897796838915,0.0,0.0,340.82472220016643,p48g
2458343.6623727,b'r',2.001,6.2,26.146953,2.2462e-06,1.0,681.0,15.0,1.0,2.0,166.385,8.44261,0.0451384,155.467,1.002,0.0,0.0,4.177983038043976,-0.10099315643310547,ztf_20180813162361_000681_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180813162361_000681_zr_c15_o_q1_diffimgpsf.fits',14.651277010069007,20.598739946689804,5.094414520554267e-10,7.162414567517422e-10,2458157.0492476854,2458218.0027083335,6811512.0,5.68168,9.611653182318777,1.2492223653448338,0.0,0.0,343.6623726999387,p48r
2458343.6821759,b'g',2.746,6.2,26.228342,4.0375e-06,1.0,681.0,15.0,1.0,1.0,166.684,8.33374,0.0461319,155.194,1.014,0.0,0.0,3.89768043758869,-0.1990978717803955,ztf_20180813182153_000681_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180813182153_000681_zg_c15_o_q1_diffimgpsf.fits',-11.8513728701617,23.497505995144117,-3.8232426491481736e-10,7.58027513382778e-10,2458203.8997569443,2458207.0143171297,6811511.0,4.19212,0.9723390092977201,1.1767897796838915,0.0,0.0,343.6821758998558,p48g
2458346.6597685,b'g',2.859,6.2,26.219394,4.7141e-06,1.0,681.0,15.0,1.0,1.0,206.515,-6.22985,0.282302,115.811,1.004,0.0,0.0,4.6687654845714555,-1.417529821395874,ztf_20180816159757_000681_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180816159757_000681_zg_c15_o_q1_diffimgpsf.fits',-29.97686089830991,27.55826947908289,-9.750537404591506e-10,8.963845089588977e-10,2458203.8997569443,2458207.0143171297,6811511.0,5.56181,0.9723390092977201,1.1767897796838915,0.0,0.0,346.65976849989966,p48g
2458346.6806829,b'r',1.951,6.2,26.132701,2.5896e-06,1.0,681.0,15.0,1.0,2.0,206.733,-6.31597,0.284392,115.545,1.02,0.0,0.0,4.871896913170814,-0.017481625080108643,ztf_20180816180625_000681_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180816180625_000681_zr_c15_o_q1_diffimgpsf.fits',6.648818958700405,22.8514737194634,2.342416441238955e-10,8.050703151870223e-10,2458157.0492476854,2458218.0027083335,6811512.0,5.97312,9.611653182318777,1.2492223653448338,0.0,0.0,346.68068289989606,p48r
2458349.6625463,b'g',2.636,6.2,26.228841,6.3736e-06,1.0,681.0,15.0,1.0,1.0,244.594,-17.448,0.585676,80.1335,1.011,0.0,0.0,6.980053871345514,0.2756231427192688,ztf_20180819162488_000681_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180819162488_000681_zg_c15_o_q1_diffimgpsf.fits',23.94226783838801,39.14401610570931,7.720205929067946e-10,1.2622023413514815e-09,2458203.8997569443,2458207.0143171297,6811511.0,7.71309,0.9723390092977201,1.1767897796838915,0.0,0.0,349.6625462998636,p48g
2458349.6634838,b'g',2.544,6.2,26.224797,5.5688e-06,2.0,681.0,15.0,1.0,1.0,244.602,-17.4499,0.585736,80.1265,1.012,0.0,0.0,6.34984403681755,-0.2580009698867798,ztf_20180819163461_000681_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180819163461_000681_zg_c15_o_q1_diffimgpsf.fits',28.51544344856358,35.5595988791282,9.229142035037273e-10,1.150901227817778e-09,2458203.8997569443,2458207.0143171297,6811511.0,7.64905,0.9723390092977201,1.1767897796838915,0.0,0.0,349.66348379990086,p48g
