jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458332.6847454,b'g',3.343,6.2,26.184952,6.6265e-06,2.0,723.0,9.0,2.0,1.0,10.9125,-1.31202,-0.756267,300.833,1.012,0.0,0.0,4.040035582244395,-0.0729224681854248,ztf_20180802184676_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180802184676_000723_zg_c09_o_q2_diffimgpsf.fits',26.96324140692723,23.22228770924908,9.052974562061811e-10,7.79694016521248e-10,2458203.9998726854,2458207.0014930554,7230921.0,4.03412,5.866685541530222,0.9795925206309847,0.0,0.0,332.6847454002127,p48g
2458332.7184375,b'g',2.512,6.2,26.151276,4.5054e-06,2.0,723.0,9.0,2.0,1.0,11.3445,-1.16803,-0.753431,300.455,1.047,0.0,0.0,3.747926153242588,0.126758873462677,ztf_20180802218414_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180802218414_000723_zg_c09_o_q2_diffimgpsf.fits',-5.20586031355356,17.991679283288384,-1.8029434731654226e-10,6.231050927482783e-10,2458203.9998726854,2458207.0014930554,7230921.0,4.01995,5.866685541530222,0.9795925206309847,0.0,0.0,332.71843749983236,p48g
2458332.7802546,b'r',1.686,6.2,26.17435,2.8929e-06,2.0,723.0,9.0,2.0,2.0,12.0544,-0.901594,-0.748045,299.742,1.208,0.0,0.0,7.20146831307411,0.2561488747596741,ztf_20180802280231_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180802280231_000723_zr_c09_o_q2_diffimgpsf.fits',27.20522837577586,24.55925940480888,9.223853062647193e-10,8.326745026705536e-10,2458155.059236111,2458219.0018171296,7230922.0,7.46205,1.5869289360162184,0.9793439993571318,0.0,0.0,332.78025460010394,p48r
2458332.7992593,b'r',1.815,6.2,25.64631,5.90472e-05,2.0,723.0,9.0,2.0,2.0,12.2509,-0.819003,-0.746401,299.525,1.294,0.0,0.0,9.002200217318535,-3.0839953422546387,ztf_20180802299236_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180802299236_000723_zr_c09_o_q2_diffimgpsf.fits',7.821248736565944,31.585069769778176,4.3127282919089297e-10,1.7416377946598941e-09,2458155.059236111,2458219.0018171296,7230922.0,8.84175,1.5869289360162184,0.9793439993571318,0.0,0.0,332.79925929987803,p48r
2458334.6645833,b'r',2.108,6.2,26.205475,3.3975e-06,1.0,723.0,9.0,2.0,2.0,34.3743,7.33959,-0.565993,277.584,1.007,0.0,0.0,6.05459686436653,0.22291946411132812,ztf_20180804164491_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180804164491_000723_zr_c09_o_q2_diffimgpsf.fits',-20.309926705483203,23.717200285710184,-6.69142101768776e-10,7.814000255856922e-10,2458155.059236111,2458219.0018171296,7230922.0,6.23324,1.5869289360162184,0.9793439993571318,0.0,0.0,334.6645832997747,p48r
2458334.6873611,b'g',3.316,6.2,26.181119,6.0943e-06,1.0,723.0,9.0,2.0,1.0,34.7357,7.44686,-0.563572,277.305,1.017,0.0,0.0,4.043368646049499,0.07158684730529785,ztf_20180804187338_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180804187338_000723_zg_c09_o_q2_diffimgpsf.fits',-1.0863907438175122,22.954073212201255,-3.660483526485829e-11,7.734142373467164e-10,2458203.9998726854,2458207.0014930554,7230921.0,4.10124,5.866685541530222,0.9795925206309847,0.0,0.0,334.6873611002229,p48g
2458337.6805556,b'g',2.711,6.2,26.205693,4.1433e-06,1.0,723.0,9.0,2.0,1.0,74.9719,17.9491,-0.244036,239.208,1.018,0.0,0.0,3.738673637342453,0.0035856962203979492,ztf_20180807180532_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180807180532_000723_zg_c09_o_q2_diffimgpsf.fits',-39.33289353391354,18.372869251198715,-1.2956231417913416e-09,6.052012055311789e-10,2458203.9998726854,2458207.0014930554,7230921.0,4.05932,5.866685541530222,0.9795925206309847,0.0,0.0,337.6805556002073,p48g
2458337.6935417,b'r',2.097,6.2,26.243994,2.8566e-06,1.0,723.0,9.0,2.0,2.0,75.2319,17.9831,-0.242779,239.04,1.031,0.0,0.0,5.249663636445998,-0.090789794921875,ztf_20180807193519_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180807193519_000723_zr_c09_o_q2_diffimgpsf.fits',10.476885061613988,20.45707329647275,3.3314598179444593e-10,6.504979035200608e-10,2458155.059236111,2458219.0018171296,7230922.0,5.4226,1.5869289360162184,0.9793439993571318,0.0,0.0,337.69354170002043,p48r
2458340.6828819,b'r',1.776,6.2,25.969246,3.2718e-06,1.0,723.0,9.0,2.0,2.0,121.557,18.9446,-0.0233301,197.572,1.028,0.0,0.0,5.4896827588081365,0.30411362648010254,ztf_20180810182859_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180810182859_000723_zr_c09_o_q2_diffimgpsf.fits',-8.165384402703719,19.292144568798722,-3.3440921385046276e-10,7.901000835441985e-10,2458155.059236111,2458219.0018171296,7230922.0,5.89904,1.5869289360162184,0.9793439993571318,0.0,0.0,340.68288190010935,p48r
2458340.8270486,b'g',2.115,6.2,25.144283,1.28482e-05,1.0,723.0,9.0,2.0,1.0,124.595,18.6236,-0.0182371,195.522,1.658,0.0,0.0,4.371024302268028,0.20864635705947876,ztf_20180810327037_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180810327037_000723_zg_c09_o_q2_diffimgpsf.fits',6.519741370157901,18.946919163233638,5.708436418366807e-10,1.6589198440172496e-09,2458203.9998726854,2458207.0014930554,7230921.0,4.57231,5.866685541530222,0.9795925206309847,0.0,0.0,340.82704860018566,p48g
2458343.6600231,b'r',1.854,6.2,26.206761,2.7003e-06,1.0,723.0,9.0,2.0,2.0,166.351,8.45555,0.0450117,155.502,1.015,0.0,0.0,4.983009950637817,0.03347480297088623,ztf_20180813160000_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180813160000_000723_zr_c09_o_q2_diffimgpsf.fits',-7.625378728399933,18.04831941381082,-2.509325607561445e-10,5.939260421239703e-10,2458155.059236111,2458219.0018171296,7230922.0,5.56403,1.5869289360162184,0.9793439993571318,0.0,0.0,343.6600231002085,p48r
2458343.6798264,b'g',2.66,6.2,26.170471,4.9127e-06,1.0,723.0,9.0,2.0,1.0,166.648,8.34663,0.0460039,155.229,1.034,0.0,0.0,4.011212073266506,-0.44030898809432983,ztf_20180813179803_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180813179803_000723_zg_c09_o_q2_diffimgpsf.fits',66.84159016887797,20.839673058550773,2.2743556251152683e-09,7.090918622899226e-10,2458203.9998726854,2458207.0014930554,7230921.0,3.98485,5.866685541530222,0.9795925206309847,21.607854066854074,0.33850761898703313,343.6798263997771,p48g
2458346.6564583,b'g',2.351,6.2,26.161016,5.0759e-06,1.0,723.0,9.0,2.0,1.0,206.481,-6.21612,0.281972,115.852,1.018,0.0,0.0,5.454363577842711,0.18246400356292725,ztf_20180816156435_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180816156435_000723_zg_c09_o_q2_diffimgpsf.fits',96.30165071813306,25.238099978305797,3.305425182686241e-09,8.662639801356027e-10,2458203.9998726854,2458207.0014930554,7230921.0,5.63666,5.866685541530222,0.9795925206309847,21.201931671294787,0.2845425668799289,346.6564583000727,p48g
2458346.6797106,b'r',1.798,6.2,26.19568,2.4287e-06,1.0,723.0,9.0,2.0,2.0,206.723,-6.31199,0.284227,115.566,1.045,0.0,0.0,5.223477999877931,0.06465005874633789,ztf_20180816179688_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180816179688_000723_zr_c09_o_q2_diffimgpsf.fits',86.10371841440151,19.095764602202472,2.8625290779649286e-09,6.348411247407383e-10,2458155.059236111,2458219.0018171296,7230922.0,5.75619,1.5869289360162184,0.9793439993571318,21.3581252325161,0.2407905647863034,346.6797106000595,p48r
2458349.6606019,b'g',2.488,6.2,26.159078,6.4891e-06,1.0,723.0,9.0,2.0,1.0,244.579,-17.444,0.585496,80.1545,1.031,0.0,0.0,6.575309112668037,-0.29189062118530273,ztf_20180819160579_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180819160579_000723_zg_c09_o_q2_diffimgpsf.fits',175.37140829896822,32.14692773429637,6.030142699183634e-09,1.1053715286970717e-09,2458203.9998726854,2458207.0014930554,7230921.0,7.01432,5.866685541530222,0.9795925206309847,20.54918102614434,0.19902379566867073,349.66060189995915,p48g
2458349.6615509,b'g',2.305,6.2,26.159067,6.212e-06,2.0,723.0,9.0,2.0,1.0,244.586,-17.446,0.585556,80.1475,1.032,0.0,0.0,6.259273150444031,0.37177401781082153,ztf_20180819161528_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180819161528_000723_zg_c09_o_q2_diffimgpsf.fits',163.69541386943408,28.365348205965102,5.628720868512795e-09,9.753518666315688e-10,2458203.9998726854,2458207.0014930554,7230921.0,7.02655,5.866685541530222,0.9795925206309847,20.62397571929388,0.18813774189874086,349.66155089996755,p48g
2458349.6710648,b'g',2.443,6.2,26.164923,6.2493e-06,2.0,723.0,9.0,2.0,1.0,244.663,-17.4652,0.586518,80.0356,1.044,0.0,0.0,6.024058693647384,-0.45871037244796753,ztf_20180819171042_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180819171042_000723_zg_c09_o_q2_diffimgpsf.fits',195.04552142469748,29.476144335631204,6.670628929861126e-09,1.008095032648809e-09,2458203.9998726854,2458207.0014930554,7230921.0,6.95273,5.866685541530222,0.9795925206309847,20.43958304343522,0.16408127124025576,349.67106480011716,p48g
2458349.6923958,b'g',2.43,6.2,26.15539,7.4422e-06,2.0,723.0,9.0,2.0,1.0,244.841,-17.5055,0.588561,79.7978,1.083,0.0,0.0,5.987314640998841,0.3108406066894531,ztf_20180819192303_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180819192303_000723_zg_c09_o_q2_diffimgpsf.fits',150.62183365865883,29.01652689205617,5.196751264085684e-09,1.0011275871388441e-09,2458203.9998726854,2458207.0014930554,7230921.0,6.96846,5.866685541530222,0.9795925206309847,20.71067017408689,0.20916153413973948,349.6923957997933,p48g
2458349.7346759,b'r',1.723,6.2,26.202668,3.7642e-06,1.0,723.0,9.0,2.0,2.0,245.217,-17.5748,0.592643,79.3222,1.211,0.0,0.0,7.505467595481873,0.49535369873046875,ztf_20180819234109_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180819234109_000723_zr_c09_o_q2_diffimgpsf.fits',166.8052847031312,25.622771610813828,5.509885903892141e-09,8.463673582302234e-10,2458155.059236111,2458219.0018171296,7230922.0,8.1138,1.5869289360162184,0.9793439993571318,20.647143485548888,0.16677871364031707,349.7346759000793,p48r
2458349.7355903,b'r',2.033,6.2,26.205394,3.1426e-06,2.0,723.0,9.0,2.0,2.0,245.226,-17.5762,0.592703,79.3152,1.215,0.0,0.0,7.460184435272216,0.045086801052093506,ztf_20180819235579_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180819235579_000723_zr_c09_o_q2_diffimgpsf.fits',179.47983026196678,27.035325811155523,5.9136831288470255e-09,8.907872819384342e-10,2458155.059236111,2458219.0018171296,7230922.0,8.12274,1.5869289360162184,0.9793439993571318,20.570354874651592,0.16354613219312103,349.7355903000571,p48r
2458349.7568287,b'r',2.054,6.2,26.193503,2.8284e-06,2.0,723.0,9.0,2.0,2.0,245.43,-17.6063,0.594801,79.0704,1.315,0.0,0.0,7.348486757755277,0.4584873914718628,ztf_20180819256806_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180819256806_000723_zr_c09_o_q2_diffimgpsf.fits',200.9665281744389,27.83546777158683,6.69456757763567e-09,9.272510292022271e-10,2458155.059236111,2458219.0018171296,7230922.0,8.16546,1.5869289360162184,0.9793439993571318,20.43569367534979,0.15038312805554663,349.7568287001923,p48r
2458349.7755787,b'r',1.816,6.2,26.170454,2.6673e-06,2.0,723.0,9.0,2.0,2.0,245.621,-17.6307,0.596598,78.8606,1.431,0.0,0.0,7.916164593696592,0.26996922492980957,ztf_20180819275579_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180819275579_000723_zr_c09_o_q2_diffimgpsf.fits',156.1609603981639,28.241721561927367,5.313624629273652e-09,9.609694183217638e-10,2458155.059236111,2458219.0018171296,7230922.0,8.27926,1.5869289360162184,0.9793439993571318,20.686522821837855,0.19635547520411153,349.775578700006,p48r
2458350.6545486,b'r',1.788,6.2,26.230261,4.484e-06,2.0,723.0,9.0,2.0,2.0,257.25,-19.6752,0.678851,69.0409,1.027,0.0,0.0,6.895710655498504,0.2254112958908081,ztf_20180820154525_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180820154525_000723_zr_c09_o_q2_diffimgpsf.fits',181.08411442774977,24.229060812115357,5.83144190765708e-09,7.802471305489374e-10,2458155.059236111,2458219.0018171296,7230922.0,7.67962,1.5869289360162184,0.9793439993571318,20.585560116055944,0.14527154204919168,350.6545485998504,p48r
2458350.6823727,b'r',1.684,6.2,26.22905,4.2925e-06,2.0,723.0,9.0,2.0,2.0,257.467,-19.7137,0.681356,68.7331,1.068,0.0,0.0,6.599316606211661,0.27758294343948364,ztf_20180820182350_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180820182350_000723_zr_c09_o_q2_diffimgpsf.fits',178.3639081286466,23.396600390746794,5.750253349211431e-09,7.542802870249092e-10,2458155.059236111,2458219.0018171296,7230922.0,7.72321,1.5869289360162184,0.9793439993571318,20.60078255099739,0.14241971030208697,350.68237269995734,p48r
2458350.70625,b'r',1.882,6.2,26.231471,3.3339e-06,2.0,723.0,9.0,2.0,2.0,257.659,-19.7405,0.683516,68.4674,1.125,0.0,0.0,7.2477415800094604,0.5670324563980103,ztf_20180820206227_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180820206227_000723_zr_c09_o_q2_diffimgpsf.fits',217.98768398017293,25.9088582862966,7.012026637338181e-09,8.334122423342307e-10,2458155.059236111,2458219.0018171296,7230922.0,7.9387,1.5869289360162184,0.9793439993571318,20.385391106935124,0.1290448385025565,350.70624999981374,p48r
2458350.7355093,b'g',1.915,6.2,26.181144,5.9027e-06,2.0,723.0,9.0,2.0,1.0,257.907,-19.766,0.686124,68.1456,1.226,0.0,0.0,6.525046213960644,-0.2678006887435913,ztf_20180820235486_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180820235486_000723_zg_c09_o_q2_diffimgpsf.fits',209.4493242327469,26.343009613726327,7.0570202476487405e-09,8.875805786566551e-10,2458203.9998726854,2458207.0014930554,7230921.0,7.6152,5.866685541530222,0.9795925206309847,20.378446591270304,0.13655598752303136,350.7355093001388,p48g
2458350.7666782,b'g',2.448,6.2,26.133342,8.0767e-06,2.0,723.0,9.0,2.0,1.0,258.189,-19.7852,0.688897,67.8029,1.39,0.0,0.0,6.827872112703323,0.42925167083740234,ztf_20180820266678_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180820266678_000723_zg_c09_o_q2_diffimgpsf.fits',249.86021835285402,33.2511883247359,8.797521060455757e-09,1.1707667269223163e-09,2458203.9998726854,2458207.0014930554,7230921.0,7.96307,5.866685541530222,0.9795925206309847,20.139099212076268,0.14448886385273185,350.76667820010334,p48g
2458350.7790509,b'g',2.528,6.2,26.108645,8.0487e-06,2.0,723.0,9.0,2.0,1.0,258.307,-19.7908,0.690027,67.663,1.476,0.0,0.0,7.186290710258484,0.37481123208999634,ztf_20180820279028_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180820279028_000723_zg_c09_o_q2_diffimgpsf.fits',191.86534110730025,35.402640842295554,6.910962399398349e-09,1.27519810762036e-09,2458203.9998726854,2458207.0014930554,7230921.0,8.0506,5.866685541530222,0.9795925206309847,20.401153674746666,0.2003380533227922,350.7790509001352,p48g
2458351.6620255,b'r',2.029,6.2,26.229184,4.7286e-06,2.0,723.0,9.0,2.0,2.0,270.092,-21.0349,0.765136,57.9762,1.039,0.0,0.0,6.790733309626579,0.4381423592567444,ztf_20180821162002_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180821162002_000723_zr_c09_o_q2_diffimgpsf.fits',222.05602764932266,25.286911716057507,7.157955044413546e-09,8.151212075801564e-10,2458155.059236111,2458219.0018171296,7230922.0,7.55607,1.5869289360162184,0.9793439993571318,20.36302758381741,0.123639587122952,351.66202550008893,p48r
2458351.6765046,b'r',1.751,6.2,26.260763,2.8644e-06,2.0,723.0,9.0,2.0,2.0,270.203,-21.0462,0.766273,57.8223,1.062,0.0,0.0,7.180797204375267,0.38794130086898804,ztf_20180821176481_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180821176481_000723_zr_c09_o_q2_diffimgpsf.fits',212.240910845338,25.970611355397548,6.6454424415101736e-09,8.131618088418565e-10,2458155.059236111,2458219.0018171296,7230922.0,7.61569,1.5869289360162184,0.9793439993571318,20.443690248048497,0.13285484359497046,351.6765045998618,p48r
2458351.6906134,b'r',2.009,6.2,26.265307,2.3981e-06,2.0,723.0,9.0,2.0,2.0,270.312,-21.055,0.76746,57.6614,1.092,0.0,0.0,7.0806111854553215,-0.1448829174041748,ztf_20180821190556_000723_zr_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180821190556_000723_zr_c09_o_q2_diffimgpsf.fits',239.87566598672075,25.55965571777265,7.479342022540647e-09,7.96952064088328e-10,2458155.059236111,2458219.0018171296,7230922.0,7.60663,1.5869289360162184,0.9793439993571318,20.315341516217455,0.11568928213600975,351.69061340019107,p48r
2458351.7345602,b'g',1.966,6.2,26.1954,7.222e-06,2.0,723.0,9.0,2.0,1.0,270.661,-21.0684,0.770958,57.1858,1.234,0.0,0.0,6.960385638999936,0.06037139892578125,ztf_20180821234549_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180821234549_000723_zg_c09_o_q2_diffimgpsf.fits',208.55780649856823,27.91984057776533,6.935319137866854e-09,9.284380583736215e-10,2458203.9998726854,2458207.0014930554,7230921.0,8.34415,5.866685541530222,0.9795925206309847,20.39733387374222,0.1453485836502734,351.7345602000132,p48g
2458351.767581,b'g',1.86,6.2,26.164906,7.0119e-06,2.0,723.0,9.0,2.0,1.0,270.941,-21.0656,0.773569,56.8291,1.414,0.0,0.0,7.987761834263801,0.19047635793685913,ztf_20180821267569_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180821267569_000723_zg_c09_o_q2_diffimgpsf.fits',207.3421858143566,30.025562777562627,7.091290428926913e-09,1.0269014254053016e-09,2458203.9998726854,2458207.0014930554,7230921.0,8.53955,5.866685541530222,0.9795925206309847,20.373186818541726,0.15722724480895137,351.7675809999928,p48g
2458351.785625,b'g',1.845,6.2,26.136617,6.4595e-06,2.0,723.0,9.0,2.0,1.0,271.102,-21.0599,0.774998,56.6333,1.552,0.0,0.0,8.038790874552726,-0.38032102584838867,ztf_20180821285625_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180821285625_000723_zg_c09_o_q2_diffimgpsf.fits',239.9380360239661,31.23109145547176,8.42271876231526e-09,1.0963276377659832e-09,2458203.9998726854,2458207.0014930554,7230921.0,8.82222,5.866685541530222,0.9795925206309847,20.186369250798077,0.1413228486180969,351.7856250000186,p48g
2458352.6598843,b'g',2.324,6.2,26.161637,8.7436e-06,2.0,723.0,9.0,2.0,1.0,282.885,-21.4473,0.840135,47.1353,1.04,0.0,0.0,8.846750173091888,0.41874074935913086,ztf_20180822159861_000723_zg_c09_o_q2_scimrefdiffimg.fits,b'ztf_20180822159861_000723_zg_c09_o_q2_diffimgpsf.fits',285.8102486334098,40.61067145412018,9.80444461936285e-09,1.3931098754168932e-09,2458203.9998726854,2458207.0014930554,7230921.0,9.34967,5.866685541530222,0.9795925206309847,20.021442505647652,0.15427185196793966,352.6598843000829,p48g
