jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458337.6744097,b'g',1.608,6.2,26.237543,7.4565e-06,1.0,759.0,2.0,3.0,1.0,74.8486,17.9335,-0.244718,239.299,1.167,0.0,0.0,4.166901706457134,-0.13825571537017822,ztf_20180807174375_000759_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180807174375_000759_zg_c02_o_q3_diffimgpsf.fits',10.283807503709763,16.37953325751427,3.289551869745319e-10,5.239433374640232e-10,2458166.9917939813,2458204.9383449075,7590231.0,4.60299,20.190330984754976,1.0963382535860675,0.0,0.0,337.6744097000919,p48g
2458337.6996875,b'r',1.543,6.2,26.158399,7.3631e-06,1.0,759.0,2.0,3.0,2.0,75.3546,17.9996,-0.242151,238.956,1.256,0.0,0.0,5.5729139304876325,0.039991021156311035,ztf_20180807199676_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180807199676_000759_zr_c02_o_q3_diffimgpsf.fits',15.25792614967261,20.442308038728875,5.249717196898926e-10,7.033481156211889e-10,2458155.0547569445,2458199.836111111,7590232.0,5.89149,-4.9693846237979935,1.0576028666900832,0.0,0.0,337.6996875000186,p48r
2458340.6809954,b'r',1.899,6.2,25.880279,7.1351e-06,1.0,759.0,2.0,3.0,2.0,121.518,18.9499,-0.0233854,197.593,1.216,0.0,0.0,5.974647601366042,0.5517238974571228,ztf_20180810180903_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180810180903_000759_zr_c02_o_q3_diffimgpsf.fits',-2.9858860966232434,22.287706900674998,-1.3272772074060416e-10,9.907265186062575e-10,2458155.0547569445,2458199.836111111,7590232.0,6.93837,-4.9693846237979935,1.0576028666900832,0.0,0.0,340.6809954000637,p48r
2458343.6544907,b'r',2.131,6.2,26.08428,8.232e-06,1.0,720.0,15.0,2.0,2.0,166.27,8.48607,0.0447337,155.579,1.127,0.0,0.0,6.809896988773345,0.18919861316680908,ztf_20180813154479_000720_zr_c15_o_q2_scimrefdiffimg.fits,b'ztf_20180813154479_000720_zr_c15_o_q2_diffimgpsf.fits',34.82344703667505,28.41429814500648,1.2828023829835296e-09,1.046706528920138e-09,2458155.056238426,2458198.9779861113,7201522.0,7.52909,-2.187932143471711,1.0221301457078114,0.0,0.0,343.6544906999916,p48r
2458343.6549421,b'r',1.732,6.2,26.144248,6.9324e-06,1.0,759.0,2.0,3.0,2.0,166.276,8.48358,0.044759,155.572,1.158,0.0,0.0,6.879402491950989,0.0766526460647583,ztf_20180813154942_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180813154942_000759_zr_c02_o_q3_diffimgpsf.fits',15.481938461461699,24.898498028226392,5.396673412038273e-10,8.679085157466097e-10,2458155.0547569445,2458199.836111111,7590232.0,7.40183,-4.9693846237979935,1.0576028666900832,0.0,0.0,343.6549420999363,p48r
2458343.6740625,b'g',2.677,6.2,26.143564,1.32413e-05,1.0,720.0,15.0,2.0,1.0,166.56,8.37828,0.0456975,155.313,1.191,0.0,0.0,4.549529641985892,0.15656119585037231,ztf_20180813174062_000720_zg_c15_o_q2_scimrefdiffimg.fits,b'ztf_20180813174062_000720_zg_c15_o_q2_diffimgpsf.fits',-32.001817584524886,23.66378192021438,-1.1162180609575082e-09,8.253887674888979e-10,2458166.990810185,2458204.9602314816,7201521.0,4.62189,-17.683695213620123,0.9939690994224968,0.0,0.0,343.6740624997765,p48g
2458343.6745255,b'g',2.16,6.2,26.17216,9.1169e-06,1.0,759.0,2.0,3.0,1.0,166.567,8.37574,0.045723,155.306,1.222,0.0,0.0,4.597796470785141,0.09246563911437988,ztf_20180813174514_000759_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180813174514_000759_zg_c02_o_q3_diffimgpsf.fits',2.4065899528999815,21.255474720883836,8.175947597677196e-11,7.221157358874739e-10,2458166.9917939813,2458204.9383449075,7590231.0,4.47062,20.190330984754976,1.0963382535860675,0.0,0.0,343.67452549980953,p48g
2458346.6521875,b'g',1.803,6.2,26.168676,1.08009e-05,1.0,759.0,2.0,3.0,1.0,206.438,-6.19835,0.281533,115.908,1.174,0.0,0.0,8.065764483451844,0.4273085594177246,ztf_20180816152060_000759_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180816152060_000759_zg_c02_o_q3_diffimgpsf.fits',2.888608949715472,32.89881587193023,9.845059664970258e-11,1.1212691326669552e-09,2458166.9917939813,2458204.9383449075,7590231.0,8.28117,20.190330984754976,1.0963382535860675,0.0,0.0,346.652187500149,p48g
2458346.6578704,b'g',2.136,6.2,26.15244,1.51978e-05,1.0,720.0,15.0,2.0,1.0,206.495,-6.22198,0.282082,115.838,1.162,0.0,0.0,5.946372345089912,-0.11071306467056274,ztf_20180816157847_000720_zg_c15_o_q2_scimrefdiffimg.fits,b'ztf_20180816157847_000720_zg_c15_o_q2_diffimgpsf.fits',-16.910278865148594,25.660770909642487,-5.850254637561727e-10,8.877561702032449e-10,2458166.990810185,2458204.9602314816,7201521.0,6.74357,-17.683695213620123,0.9939690994224968,0.0,0.0,346.65787040023133,p48g
2458346.6750347,b'r',1.6,6.2,26.107641,8.1813e-06,1.0,759.0,2.0,3.0,2.0,206.673,-6.29282,0.283842,115.615,1.255,0.0,0.0,6.139711659717559,0.1301414966583252,ztf_20180816175035_000759_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180816175035_000759_zr_c02_o_q3_diffimgpsf.fits',-13.607993187821766,21.919084939906394,-4.906114540053689e-10,7.90252756929377e-10,2458155.0547569445,2458199.836111111,7590232.0,6.77344,-4.9693846237979935,1.0576028666900832,0.0,0.0,346.67503469996154,p48r
