jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458346.6649653,b'g',1.912,6.2,26.201351,2.0819e-06,1.0,635.0,2.0,3.0,1.0,206.568,-6.25136,0.282796,115.748,1.012,0.0,0.0,4.586654294228554,-0.042046189308166504,ztf_20180816164931_000635_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180816164931_000635_zg_c02_o_q3_diffimgpsf.fits',11.39277778749469,21.371475858282654,3.767812014982823e-10,7.067960511367282e-10,2458204.0041319444,2458229.9810853587,6350231.0,5.19946,6.4934080335985405,1.178708631691774,0.0,0.0,346.66496529988945,p48g
2458346.6839468,b'r',1.967,6.2,26.16791,1.4438e-06,1.0,635.0,2.0,3.0,2.0,206.768,-6.32931,0.284668,115.51,1.024,0.0,0.0,5.509018393015861,0.7228684425354004,ztf_20180816183912_000635_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180816183912_000635_zr_c02_o_q3_diffimgpsf.fits',-34.261115354519916,31.435283434554634,-1.1685236244833227e-09,1.0721446443161083e-09,2458158.9913194445,2458219.9650462964,6350232.0,6.09205,-13.971105241102467,1.558201399813878,0.0,0.0,346.68394679995254,p48r
2458349.6667361,b'g',2.579,6.2,26.210166,4.1035e-06,2.0,635.0,2.0,3.0,1.0,244.628,-17.4565,0.586097,80.0846,1.017,0.0,0.0,7.926919871807097,-0.5229097008705139,ztf_20180819166725_000635_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180819166725_000635_zg_c02_o_q3_diffimgpsf.fits',28.143766668576276,40.50304983778494,9.232425705719076e-10,1.3286828408124835e-09,2458204.0041319444,2458229.9810853587,6350231.0,8.88669,6.4934080335985405,1.178708631691774,0.0,0.0,349.666736099869,p48g
2458349.6885995,b'g',2.544,6.2,26.216779,3.2555e-06,2.0,635.0,2.0,3.0,1.0,244.808,-17.4986,0.588141,79.8468,1.038,0.0,0.0,7.763230595111844,-0.07694339752197266,ztf_20180819188079_000635_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180819188079_000635_zg_c02_o_q3_diffimgpsf.fits',7.070085778278574,39.81377863860332,2.3052237372735184e-10,1.2981407930049367e-09,2458204.0041319444,2458229.9810853587,6350231.0,8.27135,6.4934080335985405,1.178708631691774,0.0,0.0,349.6885994998738,p48g
2458349.7183912,b'g',2.095,6.2,26.211863,3.4074e-06,2.0,635.0,2.0,3.0,1.0,245.068,-17.5497,0.591023,79.5111,1.094,0.0,0.0,6.823804796409606,0.3005707263946533,ztf_20180819218380_000635_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180819218380_000635_zg_c02_o_q3_diffimgpsf.fits',3.674270035941615,32.95872873942214,1.2034439586402102e-10,1.0795064760599906e-09,2458204.0041319444,2458229.9810853587,6350231.0,8.25114,6.4934080335985405,1.178708631691774,0.0,0.0,349.7183912000619,p48g
2458349.7293866,b'g',2.182,6.2,26.201805,2.8311e-06,1.0,635.0,2.0,3.0,1.0,245.168,-17.5669,0.592103,79.3852,1.124,0.0,0.0,7.357184144592285,0.18216478824615479,ztf_20180819229352_000635_zg_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180819229352_000635_zg_c02_o_q3_diffimgpsf.fits',-38.630825948572095,36.85707318502411,-1.2770620334991317e-09,1.2184251222930117e-09,2458204.0041319444,2458229.9810853587,6350231.0,8.25586,6.4934080335985405,1.178708631691774,0.0,0.0,349.7293866002001,p48g
2458349.7501157,b'r',1.913,6.2,26.161627,1.4815e-06,2.0,635.0,2.0,3.0,2.0,245.364,-17.5971,0.594142,79.1474,1.198,0.0,0.0,8.175705503654477,0.18298858404159546,ztf_20180819250104_000635_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180819250104_000635_zr_c02_o_q3_diffimgpsf.fits',99.10990628966732,46.35906439842886,3.399900955212415e-09,1.5903175901607631e-09,2458158.9913194445,2458219.9650462964,6350232.0,9.15856,-13.971105241102467,1.558201399813878,0.0,0.0,349.7501157000661,p48r
2458349.7521528,b'r',1.79,6.2,26.037124,1.674e-06,2.0,587.0,16.0,1.0,2.0,245.384,-17.5999,0.594322,79.1264,1.211,0.0,0.0,7.242208591556549,0.46972590684890747,ztf_20180819252118_000587_zr_c16_o_q1_scimrefdiffimg.fits,b'ztf_20180819252118_000587_zr_c16_o_q1_diffimgpsf.fits',-22.931952588585773,37.25797923084222,-8.82249529058417e-10,1.4334075784918056e-09,2458186.9993055556,2458224.946296296,5871612.0,8.01298,4.343193383020846,1.3504741634878608,0.0,0.0,349.75215280009434,p48r
2458349.7526042,b'r',1.551,6.2,26.156752,1.4587e-06,2.0,635.0,2.0,3.0,2.0,245.389,-17.6005,0.594382,79.1194,1.208,0.0,0.0,7.89541050772667,0.5871192216873169,ztf_20180819252604_000635_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180819252604_000635_zr_c02_o_q3_diffimgpsf.fits',-7.379628317173022,44.385375593289034,-2.54292580341452e-10,1.52946343690193e-09,2458158.9913194445,2458219.9650462964,6350232.0,9.23703,-13.971105241102467,1.558201399813878,0.0,0.0,349.75260420003906,p48r
2458349.7699769,b'r',1.695,6.2,26.136671,1.6232e-06,1.0,635.0,2.0,3.0,2.0,245.563,-17.6236,0.596059,78.9236,1.293,0.0,0.0,7.614599981498715,0.17673099040985107,ztf_20180819269965_000635_zr_c02_o_q3_scimrefdiffimg.fits,b'ztf_20180819269965_000635_zr_c02_o_q3_diffimgpsf.fits',11.65783663946534,41.36685553973224,4.0921313495765547e-10,1.4520584875456058e-09,2458158.9913194445,2458219.9650462964,6350232.0,9.27963,-13.971105241102467,1.558201399813878,0.0,0.0,349.76997689995915,p48r
