jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458346.6526389,b'g',1.991,6.2,26.161921,1.28282e-05,1.0,793.0,3.0,2.0,1.0,206.443,-6.20023,0.281588,115.901,1.201,0.0,0.0,7.077650494670867,0.1029970645904541,ztf_20180816152639_000793_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180816152639_000793_zg_c03_o_q2_diffimgpsf.fits',55.30010705738745,28.91060225784532,1.896520633632364e-09,9.9149091465312e-10,2458202.871006944,2458227.8746464234,7930321.0,8.23144,-6.2885524926327285,0.9892354765620932,0.0,0.0,346.65263890009373,p48g
2458346.6745833,b'r',1.626,6.2,26.094182,1.25909e-05,1.0,793.0,3.0,2.0,2.0,206.668,-6.29097,0.283787,115.622,1.27,0.0,0.0,6.27492780983448,-0.1992989182472229,ztf_20180816174444_000793_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180816174444_000793_zr_c03_o_q2_diffimgpsf.fits',27.49880950518004,19.826049709125574,1.0037859036281962e-09,7.237080289413134e-10,2458199.837083333,2458222.8933333335,7930322.0,6.83772,-12.10921033295582,0.9230943852752477,0.0,0.0,346.6745833000168,p48r
2458349.6516204,b'g',2.009,6.2,26.156494,1.90593e-05,1.0,793.0,3.0,2.0,1.0,244.507,-17.425,0.584594,80.2594,1.221,0.0,0.0,7.9630128145217896,-0.5418739318847656,ztf_20180819151551_000793_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180819151551_000793_zg_c03_o_q2_diffimgpsf.fits',41.13061436116233,32.362878494060645,1.4176453462200296e-09,1.1154485487610094e-09,2458202.871006944,2458227.8746464234,7930321.0,8.92229,-6.2885524926327285,0.9892354765620932,0.0,0.0,349.6516204001382,p48g
2458349.6525347,b'g',3.431,6.2,26.238921,1.88676e-05,2.0,793.0,3.0,2.0,1.0,244.515,-17.427,0.584654,80.2524,1.224,0.0,0.0,8.322821742391586,0.6260697245597839,ztf_20180819152523_000793_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180819152523_000793_zg_c03_o_q2_diffimgpsf.fits',-77.25598142933555,40.95403623989151,-2.468105466927754e-09,1.3083631703416923e-09,2458202.871006944,2458227.8746464234,7930321.0,8.62746,-6.2885524926327285,0.9892354765620932,0.0,0.0,349.6525346999988,p48g
2458349.6739352,b'g',1.882,6.2,26.155345,1.47381e-05,2.0,793.0,3.0,2.0,1.0,244.687,-17.4708,0.586758,80.0076,1.298,0.0,0.0,7.8241749845743165,0.04670363664627075,ztf_20180819173889_000793_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180819173889_000793_zg_c03_o_q2_diffimgpsf.fits',-42.32246262212227,29.919510385863543,-1.4602692166111765e-09,1.0323250891778633e-09,2458202.871006944,2458227.8746464234,7930321.0,7.85685,-6.2885524926327285,0.9892354765620932,0.0,0.0,349.6739352000877,p48g
2458349.6962037,b'g',1.589,6.2,26.125918,1.13728e-05,2.0,793.0,3.0,2.0,1.0,244.873,-17.5123,0.588921,79.7559,1.398,0.0,0.0,7.277225008583064,0.19646179676055908,ztf_20180819196169_000793_zg_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180819196169_000793_zg_c03_o_q2_diffimgpsf.fits',12.295022383815436,25.57420040970256,4.358751639447221e-10,9.066399757961561e-10,2458202.871006944,2458227.8746464234,7930321.0,7.99582,-6.2885524926327285,0.9892354765620932,0.0,0.0,349.6962036998011,p48g
2458349.7374653,b'r',1.809,6.2,26.053988,8.7435e-06,1.0,793.0,3.0,2.0,2.0,245.243,-17.579,0.592943,79.2872,1.665,0.0,0.0,7.775281446838379,0.21538686752319336,ztf_20180819237442_000793_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180819237442_000793_zr_c03_o_q2_diffimgpsf.fits',-38.518159058060064,25.37642073824689,-1.4590504948335573e-09,9.612473737958154e-10,2458199.837083333,2458222.8933333335,7930322.0,9.13904,-12.10921033295582,0.9230943852752477,0.0,0.0,349.7374653001316,p48r
2458349.7383796,b'r',1.722,6.2,26.044849,9.9436e-06,2.0,793.0,3.0,2.0,2.0,245.252,-17.5803,0.593003,79.2803,1.673,0.0,0.0,8.415775747489928,-0.06811833381652832,ztf_20180819238368_000793_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180819238368_000793_zr_c03_o_q2_diffimgpsf.fits',-23.447436688649397,27.214434346361546,-8.956859707967067e-10,1.039584299624651e-09,2458199.837083333,2458222.8933333335,7930322.0,9.17266,-12.10921033295582,0.9230943852752477,0.0,0.0,349.7383795999922,p48r
2458349.7657755,b'r',1.802,6.2,26.015626,9.7339e-06,2.0,793.0,3.0,2.0,2.0,245.52,-17.6182,0.5957,78.9655,1.941,0.0,0.0,9.002190876770019,-0.6149989366531372,ztf_20180819265752_000793_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180819265752_000793_zr_c03_o_q2_diffimgpsf.fits',19.70736554308919,29.775145379338838,7.733537080235984e-10,1.168432129404207e-09,2458199.837083333,2458222.8933333335,7930322.0,9.7352,-12.10921033295582,0.9230943852752477,0.0,0.0,349.7657754998654,p48r
2458350.6441551,b'r',1.468,6.2,26.159673,1.15206e-05,2.0,793.0,3.0,2.0,2.0,257.17,-19.6588,0.677939,69.1528,1.207,0.0,0.0,10.9936427025795,-0.6886724233627319,ztf_20180820144144_000793_zr_c03_o_q2_scimrefdiffimg.fits,b'ztf_20180820144144_000793_zr_c03_o_q2_diffimgpsf.fits',-2.118685172136937,32.461661686947764,-7.281103878909338e-11,1.115582125806553e-09,2458199.837083333,2458222.8933333335,7930322.0,12.2753,-12.10921033295582,0.9230943852752477,0.0,0.0,350.644155099988,p48r
