jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458346.678287,b'r',1.551,6.2,26.214064,2.6657e-06,1.0,763.0,7.0,3.0,2.0,206.707,-6.30616,0.284117,115.58,1.034,0.0,0.0,4.814936742568015,0.04997950792312622,ztf_20180816178287_000763_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180816178287_000763_zr_c07_o_q3_diffimgpsf.fits',-6.714271256994763,19.931571438180836,-2.1946904951609624e-10,6.515022809577601e-10,2458155.060219907,2458218.9736689813,7630732.0,5.65918,-14.36421909747363,1.231138223619584,0.0,0.0,346.6782869999297,p48r
2458349.657338,b'g',2.246,6.2,26.259388,4.8902e-06,2.0,763.0,7.0,3.0,1.0,244.553,-17.4372,0.585135,80.1965,1.028,0.0,0.0,6.651278795218468,-0.050364911556243896,ztf_20180819157303_000763_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180819157303_000763_zg_c07_o_q3_diffimgpsf.fits',-15.439561404074642,28.36814216440781,-4.840383357481264e-10,8.893561133118496e-10,2458204.9349652776,2458229.9901037733,7630731.0,7.02067,4.8829578455689155,1.1221286388071032,0.0,0.0,349.65733799990267,p48g
2458349.6582407,b'g',1.943,6.2,26.204133,4.2341e-06,1.0,763.0,7.0,3.0,1.0,244.56,-17.4391,0.585195,80.1895,1.029,0.0,0.0,5.772717567443848,-0.21953725814819336,ztf_20180819158241_000763_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180819158241_000763_zg_c07_o_q3_diffimgpsf.fits',-7.74114600233897,26.2803438855952,-2.5535952308320346e-10,8.669176474729846e-10,2458204.9349652776,2458229.9901037733,7630731.0,6.98936,4.8829578455689155,1.1221286388071032,0.0,0.0,349.6582407001406,p48g
2458349.6815741,b'g',2.151,6.2,26.195772,4.7267e-06,2.0,763.0,7.0,3.0,1.0,244.75,-17.4855,0.58748,79.9237,1.042,0.0,0.0,6.470243606853483,-0.3266300559043884,ztf_20180819181562_000763_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180819181562_000763_zg_c07_o_q3_diffimgpsf.fits',32.69602846944739,31.549280229622937,1.0868915262177038e-09,1.048770965324935e-09,2458204.9349652776,2458229.9901037733,7630731.0,6.85672,4.8829578455689155,1.1221286388071032,0.0,0.0,349.68157410016283,p48g
2458349.6937963,b'g',1.953,6.2,26.191779,5.0096e-06,2.0,763.0,7.0,3.0,1.0,244.852,-17.508,0.588681,79.7838,1.054,0.0,0.0,5.44705650179386,-0.1902356743812561,ztf_20180819193785_000763_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180819193785_000763_zg_c07_o_q3_diffimgpsf.fits',37.50474456637303,25.374249999665267,1.2513379387934502e-09,8.466065310098935e-10,2458204.9349652776,2458229.9901037733,7630731.0,6.81798,4.8829578455689155,1.1221286388071032,0.0,0.0,349.6937962998636,p48g
2458349.7435532,b'r',1.489,6.2,26.192049,2.9357e-06,2.0,763.0,7.0,3.0,2.0,245.301,-17.5878,0.593542,79.2173,1.149,0.0,0.0,6.287821413993835,-0.24036377668380737,ztf_20180819243553_000763_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180819243553_000763_zr_c07_o_q3_diffimgpsf.fits',-33.36018098253049,26.422438335786396,-1.1127786845013538e-09,8.813599119316164e-10,2458155.060219907,2458218.9736689813,7630732.0,7.84789,-14.36421909747363,1.231138223619584,0.0,0.0,349.7435531998053,p48r
2458349.7591782,b'r',1.343,6.2,26.199187,3.1504e-06,1.0,763.0,7.0,3.0,2.0,245.454,-17.6094,0.594981,79.0494,1.196,0.0,0.0,6.3008088402748115,0.5323808193206787,ztf_20180819259155_000763_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180819259155_000763_zr_c07_o_q3_diffimgpsf.fits',-13.863764920370539,24.851004926961043,-4.594162850626486e-10,8.235105275665504e-10,2458155.060219907,2458218.9736689813,7630732.0,7.8555,-14.36421909747363,1.231138223619584,0.0,0.0,349.7591781998053,p48r
2458349.7600926,b'r',1.641,6.2,26.202961,2.2147e-06,2.0,763.0,7.0,3.0,2.0,245.463,-17.6107,0.595161,79.0285,1.199,0.0,0.0,6.515343278646469,0.2058679461479187,ztf_20180819260093_000763_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180819260093_000763_zr_c07_o_q3_diffimgpsf.fits',50.319514105826656,28.528032994564793,1.661697776847418e-09,9.420792280606653e-10,2458155.060219907,2458218.9736689813,7630732.0,7.89068,-14.36421909747363,1.231138223619584,0.0,0.0,349.7600925997831,p48r
2458349.7765046,b'r',1.591,6.2,26.179201,2.5431e-06,2.0,763.0,7.0,3.0,2.0,245.63,-17.6319,0.596658,78.8536,1.261,0.0,0.0,6.564844555854794,-0.09482312202453613,ztf_20180819276505_000763_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180819276505_000763_zr_c07_o_q3_diffimgpsf.fits',29.593546360825044,28.193203746265166,9.98887577717277e-10,9.516210276021969e-10,2458155.060219907,2458218.9736689813,7630732.0,7.93939,-14.36421909747363,1.231138223619584,0.0,0.0,349.77650459995493,p48r
2458350.666412,b'r',1.677,6.2,26.238018,2.8005e-06,2.0,763.0,7.0,3.0,2.0,257.341,-19.6926,0.679876,68.915,1.033,0.0,0.0,6.245025899553297,0.023789286613464355,ztf_20180820166412_000763_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180820166412_000763_zr_c07_o_q3_diffimgpsf.fits',-30.91733893953682,27.20529102416658,-9.885415020276923e-10,8.698536217764337e-10,2458155.060219907,2458218.9736689813,7630732.0,7.67458,-14.36421909747363,1.231138223619584,0.0,0.0,350.6664120000787,p48r
