jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458346.6884375,b'r',1.614,6.2,26.209966,4.7535e-06,2.0,685.0,12.0,2.0,2.0,206.817,-6.34762,0.285108,115.454,1.025,0.0,0.0,4.558789241194722,0.3901839256286621,ztf_20180816188137_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816188137_000685_zr_c12_o_q2_diffimgpsf.fits',-3.670946072627929,18.413630308404066,-1.2044578448975795e-10,6.041614624464541e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.13451,1.5705165945325148,1.0672483034497282,0.0,0.0,346.68843750003725,p48r
2458346.6893634,b'r',1.683,6.2,26.21046,3.3642e-06,2.0,685.0,12.0,2.0,2.0,206.827,-6.35139,0.285219,115.44,1.024,0.0,0.0,4.656793688440323,0.141588032245636,ztf_20180816189352_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816189352_000685_zr_c12_o_q2_diffimgpsf.fits',8.467403376535094,20.35084263676339,2.776938422253585e-10,6.674187390188692e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.1343,1.5705165945325148,1.0672483034497282,0.0,0.0,346.6893633999862,p48r
2458346.6903009,b'r',1.613,6.2,26.2109,3.6401e-06,2.0,685.0,12.0,2.0,2.0,206.837,-6.35521,0.285274,115.433,1.023,0.0,0.0,4.848645808005331,0.5496833324432373,ztf_20180816190289_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816190289_000685_zr_c12_o_q2_diffimgpsf.fits',6.254996328162273,20.258116710897013,2.0505343982497386e-10,6.641085458747014e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.10129,1.5705165945325148,1.0672483034497282,0.0,0.0,346.69030090002343,p48r
2458346.6912384,b'r',1.623,6.2,26.212098,3.6122e-06,2.0,685.0,12.0,2.0,2.0,206.848,-6.35902,0.285439,115.412,1.022,0.0,0.0,4.801412440299988,0.39748644828796387,ztf_20180816191215_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816191215_000685_zr_c12_o_q2_diffimgpsf.fits',9.438761192983177,19.747774989247905,3.0908348350352677e-10,6.466644255885836e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.10673,1.5705165945325148,1.0672483034497282,0.0,0.0,346.6912384000607,p48r
2458346.6921644,b'r',1.6,6.2,26.211413,4.2374e-06,2.0,685.0,12.0,2.0,2.0,206.858,-6.36279,0.285494,115.405,1.021,0.0,0.0,4.326505386257169,0.7648730874061584,ztf_20180816192153_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816192153_000685_zr_c12_o_q2_diffimgpsf.fits',-16.69429536792321,17.77431959572707,-5.470196069062885e-10,5.824086074952577e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.1082,1.5705165945325148,1.0672483034497282,0.0,0.0,346.6921644001268,p48r
2458346.6931019,b'r',1.74,6.2,26.210244,3.3543e-06,2.0,685.0,12.0,2.0,2.0,206.868,-6.3666,0.285604,115.391,1.02,0.0,0.0,4.710160739994049,0.347957968711853,ztf_20180816193090_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816193090_000685_zr_c12_o_q2_diffimgpsf.fits',30.495985713465835,19.83310419933493,1.0003341044915236e-09,6.505685933605414e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.16726,1.5705165945325148,1.0672483034497282,0.0,0.0,346.69310190016404,p48r
2458346.6940394,b'r',1.627,6.2,26.212403,5.4392e-06,2.0,685.0,12.0,2.0,2.0,206.879,-6.3704,0.28566,115.384,1.019,0.0,0.0,4.008647969102859,0.6601133346557617,ztf_20180816194016_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816194016_000685_zr_c12_o_q2_diffimgpsf.fits',-22.376447062138638,16.83455910462603,-7.32537615232129e-10,5.511128619308989e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.14441,1.5705165945325148,1.0672483034497282,0.0,0.0,346.6940394002013,p48r
2458346.6949769,b'r',1.632,6.2,26.206818,5.1356e-06,2.0,685.0,12.0,2.0,2.0,206.889,-6.37421,0.28577,115.37,1.018,0.0,0.0,4.45555480427742,0.5163590908050537,ztf_20180816194954_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816194954_000685_zr_c12_o_q2_diffimgpsf.fits',24.051832592470863,18.419324307308003,7.914454239074859e-10,6.061030850234814e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.14304,1.5705165945325148,1.0672483034497282,0.0,0.0,346.6949768997729,p48r
2458346.6959028,b'r',1.624,6.2,26.204438,4.9038e-06,2.0,685.0,12.0,2.0,2.0,206.9,-6.37797,0.28588,115.356,1.017,0.0,0.0,4.3226152179718005,0.8035160303115845,ztf_20180816195891_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816195891_000685_zr_c12_o_q2_diffimgpsf.fits',1.5154986955780352,17.892649914048178,4.997817194905228e-11,5.900644696282519e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.11819,1.5705165945325148,1.0672483034497282,0.0,0.0,346.69590280018747,p48r
2458346.6968403,b'r',1.641,6.2,26.207846,4.9537e-06,2.0,685.0,12.0,2.0,2.0,206.91,-6.38177,0.28599,115.342,1.016,0.0,0.0,4.708383209609984,0.5105834007263184,ztf_20180816196829_000685_zr_c12_o_q2_scimrefdiffimg.fits,b'ztf_20180816196829_000685_zr_c12_o_q2_diffimgpsf.fits',7.676069905654623,19.61975717431661,2.5234838008344855e-10,6.449933366200989e-10,2458187.0319212964,2458342.8280784143,6851222.0,7.13055,1.5705165945325148,1.0672483034497282,0.0,0.0,346.6968403002247,p48r
