jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458348.8437384,b'g',3.152,6.2,25.976363,3.4434e-06,1.0,827.0,4.0,3.0,1.0,233.887,-14.8025,0.504314,89.5056,1.319,0.0,0.0,4.105119699382781,-0.17844343185424805,ztf_20180818343727_000827_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180818343727_000827_zg_c04_o_q3_diffimgpsf.fits',28.56218206450221,24.80281306027907,1.1621071765363424e-09,1.0091500359019997e-09,2458203.901736111,2458234.992339896,8270431.0,4.2618,16.219260015428645,1.2418768558309887,0.0,0.0,348.8437383999117,p48g
2458349.6857523,b'g',1.842,6.2,26.05487,3.2831e-06,2.0,827.0,4.0,3.0,1.0,244.785,-17.4934,0.5879,79.8748,1.135,0.0,0.0,5.79123330116272,0.22270208597183228,ztf_20180819185752_000827_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180819185752_000827_zg_c04_o_q3_diffimgpsf.fits',-29.626752591907767,25.829230046185053,-1.1213367373372257e-09,9.776051039764313e-10,2458203.901736111,2458234.992339896,8270431.0,6.47148,16.219260015428645,1.2418768558309887,0.0,0.0,349.6857523000799,p48g
2458349.7071296,b'g',1.599,6.2,26.053368,3.386e-06,2.0,827.0,4.0,3.0,1.0,244.968,-17.5312,0.590002,79.63,1.129,0.0,0.0,5.5280303254127485,0.6994965076446533,ztf_20180819207130_000827_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180819207130_000827_zg_c04_o_q3_diffimgpsf.fits',4.915699131978869,23.718859607673505,1.8631082708736415e-10,8.989729095353926e-10,2458203.901736111,2458234.992339896,8270431.0,6.41096,16.219260015428645,1.2418768558309887,0.0,0.0,349.7071295999922,p48g
2458349.7223032,b'g',1.818,6.2,26.066721,2.8819e-06,2.0,827.0,4.0,3.0,1.0,245.103,-17.5559,0.591443,79.4621,1.13,0.0,0.0,5.711984068155289,0.43404269218444824,ztf_20180819222292_000827_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180819222292_000827_zg_c04_o_q3_diffimgpsf.fits',-28.692408767274934,25.694135904104193,-1.0741838272021886e-09,9.619347565452375e-10,2458203.901736111,2458234.992339896,8270431.0,6.33779,16.219260015428645,1.2418768558309887,0.0,0.0,349.72230320004746,p48g
2458349.7619676,b'r',1.64,6.2,25.966367,1.5717e-06,2.0,827.0,4.0,3.0,2.0,245.482,-17.6132,0.59528,79.0145,1.155,0.0,0.0,5.7150173791408525,0.014477729797363281,ztf_20180819261956_000827_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180819261956_000827_zr_c04_o_q3_diffimgpsf.fits',13.853258751732092,24.580368895793704,5.688596713677315e-10,1.0093495561407299e-09,2458187.018483796,2458289.9791572685,8270432.0,6.54033,7.49106582163801,1.2824122131341549,0.0,0.0,349.7619675998576,p48r
2458349.7858912,b'r',1.569,6.2,25.965166,1.4567e-06,2.0,827.0,4.0,3.0,2.0,245.729,-17.6434,0.597616,78.7417,1.187,0.0,0.0,5.447370138788223,-0.0791243314743042,ztf_20180819285880_000827_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180819285880_000827_zr_c04_o_q3_diffimgpsf.fits',9.359002446932976,23.571432853732247,3.8473629712295407e-10,9.689906424803312e-10,2458187.018483796,2458289.9791572685,8270432.0,6.40988,7.49106582163801,1.2824122131341549,0.0,0.0,349.78589119995013,p48r
2458349.8054745,b'r',1.593,6.2,25.958972,1.9302e-06,2.0,827.0,4.0,3.0,2.0,245.944,-17.6664,0.599471,78.5249,1.224,0.0,0.0,4.763847884297371,0.18638688325881958,ztf_20180819305428_000827_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180819305428_000827_zr_c04_o_q3_diffimgpsf.fits',-35.02673763927847,20.519206007509673,-1.4481411328891454e-09,8.483435294446607e-10,2458187.018483796,2458289.9791572685,8270432.0,6.03104,7.49106582163801,1.2824122131341549,0.0,0.0,349.80547450017184,p48r
2458350.7981829,b'g',1.704,6.2,26.061753,2.8659e-06,2.0,827.0,4.0,3.0,1.0,258.497,-19.7975,0.691719,67.4532,1.215,0.0,0.0,5.530584770917892,0.42463648319244385,ztf_20180820298183_000827_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180820298183_000827_zg_c04_o_q3_diffimgpsf.fits',34.74093590485037,24.681697768680927,1.3065929603209352e-09,9.282689632160304e-10,2458203.901736111,2458234.992339896,8270431.0,6.52486,16.219260015428645,1.2418768558309887,0.0,0.0,350.7981829000637,p48g
2458350.8193171,b'g',1.542,6.2,26.038839,2.8974e-06,2.0,827.0,4.0,3.0,1.0,258.718,-19.8025,0.693634,67.2154,1.263,0.0,0.0,4.937448188662529,0.19213402271270752,ztf_20180820319271_000827_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180820319271_000827_zg_c04_o_q3_diffimgpsf.fits',4.714680552634526,21.158115944341038,1.8109925847372478e-10,8.127208334572738e-10,2458203.901736111,2458234.992339896,8270431.0,6.07174,16.219260015428645,1.2418768558309887,0.0,0.0,350.81931710010394,p48g
2458350.8492361,b'g',1.672,6.2,26.015796,2.4331e-06,2.0,827.0,4.0,3.0,1.0,259.052,-19.8063,0.696219,66.8937,1.356,0.0,0.0,3.9221921168088905,0.08097267150878906,ztf_20180820349236_000827_zg_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180820349236_000827_zg_c04_o_q3_diffimgpsf.fits',-1.762247987536135,17.670945754603267,-6.914306437560323e-11,6.933322373070964e-10,2458203.901736111,2458234.992339896,8270431.0,4.45958,16.219260015428645,1.2418768558309887,0.0,0.0,350.84923609998077,p48g
2458350.8723264,b'r',1.814,6.2,25.930812,1.959e-06,2.0,827.0,4.0,3.0,2.0,259.329,-19.8075,0.698294,66.6349,1.451,0.0,0.0,4.453088881421088,-0.3276435136795044,ztf_20180820372315_000827_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180820372315_000827_zr_c04_o_q3_diffimgpsf.fits',-6.04170923636937,19.669257123680403,-2.5635100273907207e-10,8.345707463768812e-10,2458187.018483796,2458289.9791572685,8270432.0,5.58681,7.49106582163801,1.2824122131341549,0.0,0.0,350.872326400131,p48r
2458350.885544,b'r',1.816,6.2,25.911788,2.4086e-06,2.0,827.0,4.0,3.0,2.0,259.494,-19.8078,0.699414,66.495,1.516,0.0,0.0,4.578263649201392,0.1357148289680481,ztf_20180820385544_000827_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180820385544_000827_zr_c04_o_q3_diffimgpsf.fits',43.45818416129119,20.8382818747369,1.8765337338085606e-09,8.998014907351795e-10,2458187.018483796,2458289.9791572685,8270432.0,5.6417,7.49106582163801,1.2824122131341549,0.0,0.0,350.8855440001935,p48r
2458351.6694792,b'r',2.161,6.2,26.029386,1.5847e-06,2.0,827.0,4.0,3.0,2.0,270.149,-21.041,0.765705,57.8992,1.142,0.0,0.0,6.544522082138061,-0.024338960647583008,ztf_20180821169444_000827_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180821169444_000827_zr_c04_o_q3_diffimgpsf.fits',-20.754271564002646,30.80569415944721,-8.041796798172675e-10,1.1936488924368273e-09,2458187.018483796,2458289.9791572685,8270432.0,7.10725,7.49106582163801,1.2824122131341549,0.0,0.0,351.6694792001508,p48r
2458351.6952199,b'r',1.769,6.2,26.005138,1.8364e-06,2.0,827.0,4.0,3.0,2.0,270.348,-21.0574,0.76777,57.6195,1.13,0.0,0.0,6.392893414711953,-0.03145259618759155,ztf_20180821195220_000827_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180821195220_000827_zr_c04_o_q3_diffimgpsf.fits',-28.76663237368325,27.33649105612742,-1.1398135703329028e-09,1.0831474142107902e-09,2458187.018483796,2458289.9791572685,8270432.0,6.9048,7.49106582163801,1.2824122131341549,0.0,0.0,351.6952198999934,p48r
2458351.7180324,b'r',1.9,6.2,26.007665,1.823e-06,2.0,827.0,4.0,3.0,2.0,270.528,-21.0658,0.769623,57.3677,1.13,0.0,0.0,6.016978330135341,-0.3301398754119873,ztf_20180821217998_000827_zr_c04_o_q3_scimrefdiffimg.fits,b'ztf_20180821217998_000827_zr_c04_o_q3_diffimgpsf.fits',-14.367930204174467,37.575390739674475,-5.679736783510472e-10,1.4853797722162178e-09,2458187.018483796,2458289.9791572685,8270432.0,7.04335,7.49106582163801,1.2824122131341549,0.0,0.0,351.7180324001238,p48r
