jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458350.6540741,b'r',1.488,6.2,26.23305,6.8947e-06,1.0,722.0,10.0,3.0,2.0,257.246,-19.6745,0.678794,69.0479,1.06,0.0,0.0,10.72814955086708,-1.5137386322021484,ztf_20180820154051_000722_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180820154051_000722_zr_c10_o_q3_diffimgpsf.fits',37.748428299259594,58.75411451350309,1.2124919781041394e-09,1.887201553507453e-09,2458155.058738426,2458218.9608101854,7221032.0,8.37141,13.481636381199584,1.0941071365868609,0.0,0.0,350.6540740998462,p48r
2458350.6550231,b'r',1.443,6.2,26.238153,8.2542e-06,2.0,722.0,10.0,3.0,2.0,257.253,-19.6759,0.678851,69.0409,1.062,0.0,0.0,10.301932148599622,-1.1090257167816162,ztf_20180820155000_000722_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180820155000_000722_zr_c10_o_q3_diffimgpsf.fits',40.138604539532665,46.160678286747,1.2832198519589808e-09,1.4757438490518474e-09,2458155.058738426,2458218.9608101854,7221032.0,8.30452,13.481636381199584,1.0941071365868609,0.0,0.0,350.6550230998546,p48r
2458350.6818981,b'r',1.585,6.2,26.243807,5.2458e-06,2.0,722.0,10.0,3.0,2.0,257.463,-19.7131,0.681299,68.7401,1.123,0.0,0.0,9.779901668429375,-0.9795041680335999,ztf_20180820181875_000722_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180820181875_000722_zr_c10_o_q3_diffimgpsf.fits',-15.199239064453408,36.87879784374968,-4.833915406049772e-10,1.172881012647333e-09,2458155.058738426,2458218.9608101854,7221032.0,8.03573,13.481636381199584,1.0941071365868609,0.0,0.0,350.68189809983596,p48r
2458350.7067245,b'r',1.438,6.2,26.241129,5.1179e-06,2.0,722.0,10.0,3.0,2.0,257.663,-19.7409,0.683572,68.4604,1.206,0.0,0.0,10.040911540389061,-1.1267938017845154,ztf_20180820206701_000722_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180820206701_000722_zr_c10_o_q3_diffimgpsf.fits',13.553368694223126,36.76523329525335,4.32111328965231e-10,1.172156839924533e-09,2458155.058738426,2458218.9608101854,7221032.0,8.38806,13.481636381199584,1.0941071365868609,0.0,0.0,350.70672449981794,p48r
2458350.7359838,b'g',1.853,6.2,26.162045,9.0345e-06,1.0,722.0,10.0,3.0,1.0,257.911,-19.7663,0.686181,68.1386,1.348,0.0,0.0,7.998242359971998,0.48181962966918945,ztf_20180820235961_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180820235961_000722_zg_c10_o_q3_diffimgpsf.fits',14.654908434755493,39.529866286836665,5.025336055036292e-10,1.3555244182340295e-09,2458167.064247685,2458227.8680762383,7221031.0,8.23347,-2.4809357065550093,1.25042274151419,0.0,0.0,350.735983800143,p48g
2458350.7475694,b'g',2.073,6.2,26.137436,7.9187e-06,2.0,722.0,10.0,3.0,1.0,258.014,-19.7743,0.6872,68.0127,1.421,0.0,0.0,8.653781787872315,-0.17033147811889648,ztf_20180820247535_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180820247535_000722_zg_c10_o_q3_diffimgpsf.fits',41.30634998703487,45.751908340551154,1.4489133717981943e-09,1.6048513558364306e-09,2458167.064247685,2458227.8680762383,7221031.0,8.39865,-2.4809357065550093,1.25042274151419,0.0,0.0,350.74756939988583,p48g
2458350.755544,b'g',2.023,6.2,26.122033,9.4826e-06,2.0,722.0,10.0,3.0,1.0,258.086,-19.7792,0.687936,67.9218,1.479,0.0,0.0,9.075893686580658,0.3009113073348999,ztf_20180820255532_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180820255532_000722_zg_c10_o_q3_diffimgpsf.fits',-26.50499497467181,47.572756712323695,-9.430061524690856e-10,1.692564073792013e-09,2458167.064247685,2458227.8680762383,7221031.0,8.57164,-2.4809357065550093,1.25042274151419,0.0,0.0,350.7555439998396,p48g
2458350.778125,b'g',2.212,6.2,26.069412,1.04142e-05,2.0,722.0,10.0,3.0,1.0,258.298,-19.7904,0.68997,67.67,1.683,0.0,0.0,8.882678716564175,-0.1346191167831421,ztf_20180820278113_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180820278113_000722_zg_c10_o_q3_diffimgpsf.fits',94.8843343281799,48.99736708805963,3.5434777907128367e-09,1.8298182027539486e-09,2458167.064247685,2458227.8680762383,7221031.0,8.86617,-2.4809357065550093,1.25042274151419,0.0,0.0,350.77812500018626,p48g
2458351.6624884,b'r',1.392,6.2,26.268551,6.2765e-06,2.0,722.0,10.0,3.0,2.0,270.095,-21.0353,0.765188,57.9692,1.082,0.0,0.0,10.732522659111021,-1.5550954341888428,ztf_20180821162477_000722_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180821162477_000722_zr_c10_o_q3_diffimgpsf.fits',-15.539610188325367,64.85608424401623,-4.830807371218894e-10,2.016184743617764e-09,2458155.058738426,2458218.9608101854,7221032.0,8.11825,13.481636381199584,1.0941071365868609,0.0,0.0,351.6624884000048,p48r
2458351.6769792,b'r',1.441,6.2,26.254345,4.5541e-06,2.0,722.0,10.0,3.0,2.0,270.207,-21.0465,0.766325,57.8153,1.117,0.0,0.0,9.035595940351486,-1.4921060800552368,ztf_20180821176956_000722_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180821176956_000722_zr_c10_o_q3_diffimgpsf.fits',50.84652158130776,52.280340257981635,1.6014863748552836e-09,1.6466466140219106e-09,2458155.058738426,2458218.9608101854,7221032.0,8.16993,13.481636381199584,1.0941071365868609,0.0,0.0,351.6769791999832,p48r
2458351.7057176,b'r',1.716,6.2,26.238526,4.8578e-06,2.0,722.0,10.0,3.0,2.0,270.43,-21.0619,0.768646,57.5006,1.213,0.0,0.0,10.458048508977889,-0.7097502946853638,ztf_20180821205718_000722_zr_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180821205718_000722_zr_c10_o_q3_diffimgpsf.fits',28.3208319407968,40.56573630477169,9.050980033835991e-10,1.2964296745295598e-09,2458155.058738426,2458218.9608101854,7221032.0,8.47811,13.481636381199584,1.0941071365868609,0.0,0.0,351.70571759995073,p48r
2458351.747662,b'g',1.975,6.2,26.146253,1.1142e-05,2.0,722.0,10.0,3.0,1.0,270.77,-21.0685,0.771983,57.046,1.441,0.0,0.0,9.389881554603575,-0.4163099527359009,ztf_20180821247650_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180821247650_000722_zg_c10_o_q3_diffimgpsf.fits',-14.591172536146637,48.50648385736881,-5.07678758703035e-10,1.6877129958452609e-09,2458167.064247685,2458227.8680762383,7221031.0,9.20077,-2.4809357065550093,1.25042274151419,0.0,0.0,351.74766199989244,p48g
2458351.7554282,b'g',1.62,6.2,26.133468,9.0618e-06,2.0,722.0,10.0,3.0,1.0,270.836,-21.0678,0.772597,56.962,1.499,0.0,0.0,9.436752774715425,0.023636817932128906,ztf_20180821255417_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180821255417_000722_zg_c10_o_q3_diffimgpsf.fits',9.173714242571311,47.63272031465832,3.2296689476583266e-10,1.676942551568134e-09,2458167.064247685,2458227.8680762383,7221031.0,9.29618,-2.4809357065550093,1.25042274151419,0.0,0.0,351.75542820012197,p48g
2458351.7842361,b'g',1.877,6.2,26.063445,1.09773e-05,2.0,722.0,10.0,3.0,1.0,271.089,-21.0604,0.774947,56.6403,1.784,0.0,0.0,12.675540801239013,0.0,ztf_20180821284225_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180821284225_000722_zg_c10_o_q3_diffimgpsf.fits',5.681231085060293,62.64582468438837,2.1333615067260775e-10,2.3524160333890433e-09,2458167.064247685,2458227.8680762383,7221031.0,0.0,-2.4809357065550093,1.25042274151419,0.0,0.0,351.78423610003665,p48g
2458352.6603588,b'g',2.528,6.2,26.155726,1.45878e-05,2.0,722.0,10.0,3.0,1.0,282.889,-21.4475,0.840179,47.1283,1.083,0.0,0.0,10.013820453262328,0.5146462917327881,ztf_20180822160336_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180822160336_000722_zg_c10_o_q3_diffimgpsf.fits',45.222624288690156,62.161181607323705,1.5597872321361967e-09,2.1440201433529663e-09,2458167.064247685,2458227.8680762383,7221031.0,9.53943,-2.4809357065550093,1.25042274151419,0.0,0.0,352.6603588000871,p48g
2458352.6784375,b'g',2.463,6.2,26.118618,1.4631e-05,2.0,722.0,10.0,3.0,1.0,283.029,-21.4509,0.84143,46.9325,1.129,0.0,0.0,14.468693235397339,0.2645466923713684,ztf_20180822178403_000722_zg_c10_o_q3_scimrefdiffimg.fits,b'ztf_20180822178403_000722_zg_c10_o_q3_diffimgpsf.fits',-117.7017849768973,86.62769783140084,-4.200837180071303e-09,3.091787044746665e-09,2458167.064247685,2458227.8680762383,7221031.0,9.74278,-2.4809357065550093,1.25042274151419,0.0,0.0,352.6784374997951,p48g
