jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458348.9097801,b'r',1.772,6.2,26.209297,1.6475e-06,2.0,695.0,6.0,2.0,2.0,234.828,-14.9407,0.510966,88.7433,1.027,0.0,0.0,4.312224760651588,0.022626817226409912,ztf_20180818409757_000695_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180818409757_000695_zr_c06_o_q2_diffimgpsf.fits',-25.29091782225901,16.533766293267597,-8.303205572924539e-10,5.4281644261734e-10,2458277.928404051,2458314.937111389,6950622.0,4.57114,2.8713990959746365,1.0806172136538454,0.0,0.0,348.909780099988,p48r
2458348.9285185,b'r',1.773,6.2,26.217832,1.5e-06,2.0,695.0,6.0,2.0,2.0,235.115,-14.9818,0.512797,88.5335,1.012,0.0,0.0,4.003343113899231,0.49237215518951416,ztf_20180818428380_000695_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180818428380_000695_zr_c06_o_q2_diffimgpsf.fits',5.872829049529855,15.107052933309825,1.9129981907021896e-10,4.9209273221705e-10,2458277.928404051,2458314.937111389,6950622.0,4.75781,2.8713990959746365,1.0806172136538454,0.0,0.0,348.92851850017905,p48r
2458349.8456019,b'r',1.895,6.2,26.21081,1.3538e-06,2.0,695.0,6.0,2.0,2.0,246.419,-17.71,0.603356,78.0703,1.155,0.0,0.0,5.042847804164886,0.33248603343963623,ztf_20180819345590_000695_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180819345590_000695_zr_c06_o_q2_diffimgpsf.fits',6.073226488801515,19.17741075540312,1.9911110271169687e-10,6.287325871519235e-10,2458277.928404051,2458314.937111389,6950622.0,5.06717,2.8713990959746365,1.0806172136538454,0.0,0.0,349.845601900015,p48r
2458349.8918519,b'g',2.324,6.2,26.194523,2.019e-06,2.0,695.0,6.0,2.0,1.0,247.026,-17.7582,0.60783,77.5457,1.047,0.0,0.0,3.4816709896087645,0.016835689544677734,ztf_20180819391806_000695_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180819391806_000695_zg_c06_o_q2_diffimgpsf.fits',-1.486927053771792,15.419287676693639,-4.948578492384569e-11,5.131627349924362e-10,2458274.95116,2458305.956864317,6950621.0,3.94655,-9.819341059763017,0.9814047461708383,0.0,0.0,349.8918519001454,p48g
2458349.9066782,b'g',2.612,6.2,26.189207,2.4436e-06,1.0,695.0,6.0,2.0,1.0,247.234,-17.774,0.609201,77.3848,1.028,0.0,0.0,3.4341433422565464,0.11244392395019531,ztf_20180819406644_000695_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180819406644_000695_zg_c06_o_q2_diffimgpsf.fits',-7.569016109250066,16.735529778891223,-2.5313758328252785e-10,5.597017501397861e-10,2458274.95116,2458305.956864317,6950621.0,3.88853,-9.819341059763017,0.9814047461708383,0.0,0.0,349.90667819976807,p48g
2458349.9076157,b'g',2.123,6.2,26.194491,2.0386e-06,2.0,695.0,6.0,2.0,1.0,247.247,-17.775,0.60926,77.3779,1.027,0.0,0.0,3.670186665868759,0.26476287841796875,ztf_20180819407593_000695_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180819407593_000695_zg_c06_o_q2_diffimgpsf.fits',1.7368059517654952,15.697341169620508,5.780360155025156e-11,5.224319121228093e-10,2458274.95116,2458305.956864317,6950621.0,3.89983,-9.819341059763017,0.9814047461708383,0.0,0.0,349.9076156998053,p48g
2458349.9278704,b'g',1.987,6.2,26.207746,1.8857e-06,2.0,695.0,6.0,2.0,1.0,247.541,-17.7973,0.611284,77.1401,1.011,0.0,0.0,3.4657732186317443,-0.007075071334838867,ztf_20180819427801_000695_zg_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180819427801_000695_zg_c06_o_q2_diffimgpsf.fits',-3.7296630740000367,14.379220648929099,-1.226227921203097e-10,4.727558896077e-10,2458274.95116,2458305.956864317,6950621.0,3.83314,-9.819341059763017,0.9814047461708383,0.0,0.0,349.9278703997843,p48g
2458349.9668981,b'r',1.84,6.2,26.23716,1.3865e-06,2.0,695.0,6.0,2.0,2.0,248.136,-17.8441,0.61497,76.7064,1.01,0.0,0.0,4.206171237301824,0.493672251701355,ztf_20180819466725_000695_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180819466725_000695_zr_c06_o_q2_diffimgpsf.fits',20.269590597422734,16.07052764221038,6.486060225723196e-10,5.142403328062998e-10,2458277.928404051,2458314.937111389,6950622.0,4.96332,2.8713990959746365,1.0806172136538454,0.0,0.0,349.966898099985,p48r
2458349.9678125,b'r',1.846,6.2,26.239441,1.2727e-06,1.0,695.0,6.0,2.0,2.0,248.151,-17.8453,0.615089,76.6924,1.011,0.0,0.0,4.04218490216732,0.8942348957061768,ztf_20180819467801_000695_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180819467801_000695_zr_c06_o_q2_diffimgpsf.fits',8.965576601650097,14.999418321355781,2.862871304589918e-10,4.78958646004508e-10,2458277.928404051,2458314.937111389,6950622.0,4.95704,2.8713990959746365,1.0806172136538454,0.0,0.0,349.96781249996275,p48r
2458349.9804282,b'r',1.728,6.2,26.232848,1.3018e-06,2.0,695.0,6.0,2.0,2.0,248.351,-17.8618,0.616277,76.5526,1.019,0.0,0.0,4.161173447966576,0.33743762969970703,ztf_20180819480046_000695_zr_c06_o_q2_scimrefdiffimg.fits,b'ztf_20180819480046_000695_zr_c06_o_q2_diffimgpsf.fits',5.506340745137761,15.533356483091874,1.7689839111705413e-10,4.990293731700609e-10,2458277.928404051,2458314.937111389,6950622.0,4.99295,2.8713990959746365,1.0806172136538454,0.0,0.0,349.9804282002151,p48r
