jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458349.6866667,b'g',2.063,6.2,26.235189,2.9585e-06,2.0,765.0,12.0,1.0,1.0,244.792,-17.4951,0.58796,79.8678,1.03,0.0,0.0,5.941533029079437,-0.6621105074882507,ztf_20180819186667_000765_zg_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180819186667_000765_zg_c12_o_q1_diffimgpsf.fits',-32.98683339249683,28.406280068991713,-1.0574626259021558e-09,9.106233131444196e-10,2458204.9301736113,2458231.991231331,7651211.0,6.73257,-15.919226619683654,1.1040122591163812,0.0,0.0,349.6866667000577,p48g
2458349.708044,b'g',1.943,6.2,26.223013,3.4768e-06,2.0,765.0,12.0,1.0,1.0,244.976,-17.5327,0.590062,79.623,1.028,0.0,0.0,6.056952560710907,0.4391845464706421,ztf_20180819208044_000765_zg_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180819208044_000765_zg_c12_o_q1_diffimgpsf.fits',-26.130771852766173,27.343104976505007,-8.47124101745552e-10,8.86426293596551e-10,2458204.9301736113,2458231.991231331,7651211.0,6.63636,-15.919226619683654,1.1040122591163812,0.0,0.0,349.70804399996996,p48g
2458349.725162,b'g',2.376,6.2,26.225807,3.2986e-06,2.0,765.0,12.0,1.0,1.0,245.129,-17.5604,0.591743,79.4271,1.034,0.0,0.0,5.7866663184642775,0.2295786738395691,ztf_20180819225058_000765_zg_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180819225058_000765_zg_c12_o_q1_diffimgpsf.fits',-30.098682752494582,29.308468070104194,-9.732506208208601e-10,9.476987740372786e-10,2458204.9301736113,2458231.991231331,7651211.0,6.64977,-15.919226619683654,1.1040122591163812,0.0,0.0,349.7251619999297,p48g
2458349.7610532,b'r',1.736,6.2,26.238722,2.3023e-06,2.0,765.0,12.0,1.0,2.0,245.472,-17.612,0.595221,79.0215,1.072,0.0,0.0,6.20551636314392,0.7978192567825317,ztf_20180819261019_000765_zr_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180819261019_000765_zr_c12_o_q1_diffimgpsf.fits',20.21493034390977,25.577222246578618,6.459270157512661e-10,8.172681555610689e-10,2458156.0275925924,2458247.948465405,7651212.0,7.0617,5.051978040976964,1.0564734799117173,0.0,0.0,349.7610531998798,p48r
2458349.7878009,b'r',1.794,6.2,26.240295,1.6824e-06,2.0,765.0,12.0,1.0,2.0,245.75,-17.6458,0.597796,78.7207,1.124,0.0,0.0,6.389352094554901,-0.1411294937133789,ztf_20180819287766_000765_zr_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180819287766_000765_zr_c12_o_q1_diffimgpsf.fits',2.3590306370699015,26.7183991903786,7.52689020768245e-11,8.52496165462281e-10,2458156.0275925924,2458247.948465405,7651212.0,6.86203,5.051978040976964,1.0564734799117173,0.0,0.0,349.78780090017244,p48r
2458349.8001968,b'r',1.908,6.2,26.2431,1.6357e-06,2.0,765.0,12.0,1.0,2.0,245.885,-17.6604,0.598993,78.5808,1.156,0.0,0.0,5.729502605724333,0.20690107345581055,ztf_20180819300174_000765_zr_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180819300174_000765_zr_c12_o_q1_diffimgpsf.fits',6.685646269550469,24.86859775877575,2.127665711796749e-10,7.914277934925009e-10,2458156.0275925924,2458247.948465405,7651212.0,6.63886,5.051978040976964,1.0564734799117173,0.0,0.0,349.8001967999153,p48r
2458350.7025347,b'r',1.869,6.2,26.261524,2.7524e-06,2.0,765.0,12.0,1.0,2.0,257.629,-19.7367,0.683175,68.5093,1.027,0.0,0.0,6.142601760864258,0.3630552291870117,ztf_20180820202523_000765_zr_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180820202523_000765_zr_c12_o_q1_diffimgpsf.fits',-12.080811256223534,26.267361032928246,-3.7799538648171985e-10,8.218770308482676e-10,2458156.0275925924,2458247.948465405,7651212.0,7.24581,5.051978040976964,1.0564734799117173,0.0,0.0,350.70253469981253,p48r
2458350.7991551,b'g',2.267,6.2,26.224022,3.2587e-06,2.0,765.0,12.0,1.0,1.0,258.507,-19.7977,0.691775,67.4462,1.161,0.0,0.0,6.473549830889702,-0.026956379413604736,ztf_20180820299120_000765_zg_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180820299120_000765_zg_c12_o_q1_diffimgpsf.fits',41.98656027513877,31.52251162604794,1.3598828500283826e-09,1.0209677256130921e-09,2458204.9301736113,2458231.991231331,7651211.0,7.03458,-15.919226619683654,1.1040122591163812,0.0,0.0,350.7991550997831,p48g
2458350.8178356,b'g',2.114,6.2,26.211666,3.1224e-06,2.0,765.0,12.0,1.0,1.0,258.702,-19.8022,0.693465,67.2364,1.222,0.0,0.0,5.749752906847,-0.213823139667511,ztf_20180820317824_000765_zg_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180820317824_000765_zg_c12_o_q1_diffimgpsf.fits',-37.206337223299094,27.77094848921097,-1.2188507194632362e-09,9.097547104235256e-10,2458204.9301736113,2458231.991231331,7651211.0,6.563,-15.919226619683654,1.1040122591163812,0.0,0.0,350.81783560011536,p48g
2458350.843125,b'g',1.744,6.2,26.192241,3.0658e-06,2.0,765.0,12.0,1.0,1.0,258.982,-19.8058,0.695658,66.9636,1.331,0.0,0.0,4.337189507484435,0.05182993412017822,ztf_20180820343090_000765_zg_c12_o_q1_scimrefdiffimg.fits,b'ztf_20180820343090_000765_zg_c12_o_q1_diffimgpsf.fits',15.456412344209065,18.402939108163842,5.154805643089596e-10,6.137489881344022e-10,2458204.9301736113,2458231.991231331,7651211.0,5.00591,-15.919226619683654,1.1040122591163812,0.0,0.0,350.8431250001304,p48g
