jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458351.6592245,b'r',1.317,6.2,26.235062,3.3525e-06,2.0,797.0,7.0,4.0,2.0,270.07,-21.0325,0.764877,58.0112,1.067,0.0,0.0,6.503469746589661,-0.14397728443145752,ztf_20180821159097_000797_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180821159097_000797_zr_c07_o_q4_diffimgpsf.fits',-23.46882486455115,24.21166423526691,-7.524307643378338e-10,7.76246835180552e-10,2458216.8910300927,2458223.00150463,7970742.0,7.21498,17.46695241610213,1.1150574410850167,0.0,0.0,351.6592244999483,p48r
2458351.6708565,b'r',1.248,6.2,26.236299,4.1088e-06,2.0,797.0,7.0,4.0,2.0,270.16,-21.0421,0.765808,57.8853,1.069,0.0,0.0,6.295802918338776,0.027080953121185303,ztf_20180821170845_000797_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180821170845_000797_zr_c07_o_q4_diffimgpsf.fits',14.051827349842064,23.556994636429174,4.5000071634654744e-10,7.543975738864356e-10,2458216.8910300927,2458223.00150463,7970742.0,7.20373,17.46695241610213,1.1150574410850167,0.0,0.0,351.67085650004447,p48r
2458351.6929398,b'r',1.298,6.2,26.235762,3.7994e-06,2.0,797.0,7.0,4.0,2.0,270.33,-21.0562,0.767615,57.6405,1.082,0.0,0.0,6.529931263542175,0.2890740633010864,ztf_20180821192928_000797_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180821192928_000797_zr_c07_o_q4_diffimgpsf.fits',-37.338414288159,24.185981577283385,-1.1963302109122856e-09,7.749236541914473e-10,2458216.8910300927,2458223.00150463,7970742.0,7.17269,17.46695241610213,1.1150574410850167,0.0,0.0,351.6929398002103,p48r
2458351.7652546,b'g',2.03,6.2,26.156735,4.7137e-06,2.0,797.0,7.0,4.0,1.0,270.92,-21.0661,0.773415,56.8501,1.21,0.0,0.0,7.244042583465577,0.05869162082672119,ztf_20180821265243_000797_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180821265243_000797_zg_c07_o_q4_diffimgpsf.fits',87.74162038689565,32.10783351108472,3.0235116794303224e-09,1.1064123183585508e-09,2458203.9012152776,2458229.9919706946,7970741.0,7.75709,-5.358152832671848,1.0710518843294121,0.0,0.0,351.76525459997356,p48g
2458351.7897685,b'g',2.042,6.2,26.144773,4.957e-06,2.0,797.0,7.0,4.0,1.0,271.139,-21.0581,0.775354,56.5844,1.292,0.0,0.0,6.709103942131996,-0.12037748098373413,ztf_20180821289745_000797_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180821289745_000797_zg_c07_o_q4_diffimgpsf.fits',11.038787818562959,29.010219594940562,3.8460257326950734e-10,1.0107454994815677e-09,2458203.9012152776,2458229.9919706946,7970741.0,7.85421,-5.358152832671848,1.0710518843294121,0.0,0.0,351.7897684997879,p48g
2458352.6669444,b'g',2.218,6.2,26.130855,7.2075e-06,2.0,797.0,7.0,4.0,1.0,282.94,-21.4491,0.840671,47.0514,1.068,0.0,0.0,8.417569890975953,0.3290003538131714,ztf_20180822166933_000797_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180822166933_000797_zg_c07_o_q4_diffimgpsf.fits',-53.768568583379135,39.29391181908613,-1.897520493014002e-09,1.3867023968632367e-09,2458203.9012152776,2458229.9919706946,7970741.0,8.97719,-5.358152832671848,1.0710518843294121,0.0,0.0,352.6669443999417,p48g
2458352.6864352,b'g',1.663,6.2,26.124559,5.6964e-06,1.0,797.0,7.0,4.0,1.0,283.09,-21.4512,0.842009,46.8416,1.078,0.0,0.0,7.811646304655072,-0.5137401819229126,ztf_20180822186389_000797_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180822186389_000797_zg_c07_o_q4_diffimgpsf.fits',50.02626655499647,30.97456111198172,1.7757200271258837e-09,1.0994653866382063e-09,2458203.9012152776,2458229.9919706946,7970741.0,9.02261,-5.358152832671848,1.0710518843294121,0.0,0.0,352.68643519980833,p48g
2458352.687338,b'g',1.957,6.2,26.114134,6.3106e-06,2.0,797.0,7.0,4.0,1.0,283.097,-21.4512,0.842054,46.8346,1.079,0.0,0.0,8.803693907642366,-0.10973739624023438,ztf_20180822187338_000797_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180822187338_000797_zg_c07_o_q4_diffimgpsf.fits',17.222446428805,38.45834068539729,6.172217797953187e-10,1.3782783754922724e-09,2458203.9012152776,2458229.9919706946,7970741.0,9.04208,-5.358152832671848,1.0710518843294121,0.0,0.0,352.68733800016344,p48g
2458352.7025,b'g',1.711,6.2,26.127795,5.0473e-06,2.0,797.0,7.0,4.0,1.0,283.213,-21.4497,0.843076,46.6737,1.093,0.0,0.0,8.486562278556821,0.3756306767463684,ztf_20180822202465_000797_zg_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180822202465_000797_zg_c07_o_q4_diffimgpsf.fits',-42.55836399069189,34.0122831243415,-1.5061454864358923e-09,1.2036986836048829e-09,2458203.9012152776,2458229.9919706946,7970741.0,8.97474,-5.358152832671848,1.0710518843294121,0.0,0.0,352.7025000001304,p48g
2458352.7175926,b'r',1.536,6.2,26.179241,2.6902e-06,1.0,797.0,7.0,4.0,2.0,283.329,-21.4456,0.84414,46.5058,1.113,0.0,0.0,7.760819393157959,-0.1472715139389038,ztf_20180822217593_000797_zr_c07_o_q4_scimrefdiffimg.fits,b'ztf_20180822217593_000797_zr_c07_o_q4_diffimgpsf.fits',22.647244912724062,30.12703960719568,7.643970048468776e-10,1.0168574115496503e-09,2458216.8910300927,2458223.00150463,7970742.0,8.70841,17.46695241610213,1.1150574410850167,0.0,0.0,352.7175925998017,p48r
