jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458355.7453588,b'r',1.553,6.2,26.257839,1.5254e-06,2.0,764.0,5.0,3.0,2.0,321.336,-17.022,0.986041,13.5706,1.126,0.0,0.0,8.703476119947434,0.2276061773300171,ztf_20180825245336_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180825245336_000764_zr_c05_o_q3_diffimgpsf.fits',-95.83611574676755,33.45624685479611,-3.00880196036768e-09,1.0503683328533276e-09,2458158.9672685186,2458227.007476852,7640532.0,10.7443,-19.88292914782766,1.134102266130823,0.0,0.0,355.74535880004987,p48r
2458355.7462731,b'r',1.615,6.2,26.267807,1.6453e-06,1.0,764.0,5.0,3.0,2.0,321.342,-17.0199,0.986055,13.5636,1.128,0.0,0.0,8.762053416252135,0.980781078338623,ztf_20180825246262_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180825246262_000764_zr_c05_o_q3_diffimgpsf.fits',17.649100799091954,33.72867015081961,5.490346873196044e-10,1.0492438159183669e-09,2458158.9672685186,2458227.007476852,7640532.0,10.7864,-19.88292914782766,1.134102266130823,0.0,0.0,355.74627309991047,p48r
2458355.7903704,b'r',1.68,6.2,26.24672,1.7164e-06,2.0,764.0,5.0,3.0,2.0,321.667,-16.9085,0.987026,13.081,1.275,0.0,0.0,9.189034531116485,0.5878123044967651,ztf_20180825290347_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180825290347_000764_zr_c05_o_q3_diffimgpsf.fits',2.9136524884135255,35.8207568979443,9.241655007097141e-11,1.136179000962984e-09,2458158.9672685186,2458227.007476852,7640532.0,11.4532,-19.88292914782766,1.134102266130823,0.0,0.0,355.7903704000637,p48r
2458356.7020718,b'r',1.888,6.2,26.269496,1.5556e-06,2.0,764.0,5.0,3.0,2.0,333.157,-14.0809,0.999301,3.03043,1.055,0.0,0.0,10.495306437540055,0.24599742889404297,ztf_20180826202060_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180826202060_000764_zr_c05_o_q3_diffimgpsf.fits',-2.4506220011285578,44.12695773428072,-7.611634540064023e-11,1.3705837762148516e-09,2458158.9672685186,2458227.007476852,7640532.0,11.6314,-19.88292914782766,1.134102266130823,0.0,0.0,356.70207179989666,p48r
2458356.7224306,b'r',1.798,6.2,26.265705,1.6888e-06,2.0,764.0,5.0,3.0,2.0,333.325,-14.0275,0.9994,2.80661,1.084,0.0,0.0,10.071923328113556,0.2697383165359497,ztf_20180826222373_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180826222373_000764_zr_c05_o_q3_diffimgpsf.fits',3.344944295434523,42.581901086692014,1.0425739988754855e-10,1.3272203951577652e-09,2458158.9672685186,2458227.007476852,7640532.0,11.7362,-19.88292914782766,1.134102266130823,0.0,0.0,356.7224305998534,p48r
2458356.7335417,b'r',1.997,6.2,26.275062,1.3891e-06,2.0,764.0,5.0,3.0,2.0,333.413,-13.9973,0.999453,2.68072,1.106,0.0,0.0,10.238470100975036,-0.10949623584747314,ztf_20180826233542_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180826233542_000764_zr_c05_o_q3_diffimgpsf.fits',-18.4176628235373,42.75810386489108,-5.691276925530468e-10,1.3212762783057029e-09,2458158.9672685186,2458227.007476852,7640532.0,11.8254,-19.88292914782766,1.134102266130823,0.0,0.0,356.7335417000577,p48r
2458356.7747338,b'r',1.913,6.2,26.285636,1.4575e-06,2.0,764.0,5.0,3.0,2.0,333.724,-13.8779,0.999623,2.2261,1.223,0.0,0.0,10.475103331327436,0.04870736598968506,ztf_20180826274734_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180826274734_000764_zr_c05_o_q3_diffimgpsf.fits',40.69241015090275,41.32306176845102,1.2452570616681162e-09,1.2645560753499572e-09,2458158.9672685186,2458227.007476852,7640532.0,12.0751,-19.88292914782766,1.134102266130823,0.0,0.0,356.77473379997537,p48r
2458357.6862963,b'r',3.195,6.2,26.273121,2.8223e-06,2.0,764.0,5.0,3.0,2.0,344.934,-10.5122,-0.995236,352.085,1.042,0.0,0.0,9.468271553516388,0.19938844442367554,ztf_20180827186285_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180827186285_000764_zr_c05_o_q3_diffimgpsf.fits',10.739486366688723,63.373727973330645,3.324567163141649e-10,1.9618276687750797e-09,2458158.9672685186,2458227.007476852,7640532.0,10.366,-19.88292914782766,1.134102266130823,0.0,0.0,357.68629630003124,p48r
2458357.6920833,b'r',2.179,6.2,26.280581,1.3372e-06,2.0,764.0,5.0,3.0,2.0,344.988,-10.4942,-0.99516,352.022,1.047,0.0,0.0,9.088141853046412,-0.24551039934158325,ztf_20180827192083_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180827192083_000764_zr_c05_o_q3_diffimgpsf.fits',-50.69744553148073,43.185374016520754,-1.5586682082028476e-09,1.327713237487936e-09,2458158.9672685186,2458227.007476852,7640532.0,10.1505,-19.88292914782766,1.134102266130823,0.0,0.0,357.6920833000913,p48r
2458357.7546759,b'r',1.962,6.2,26.283062,1.3745e-06,2.0,764.0,5.0,3.0,2.0,345.518,-10.291,-0.994276,351.322,1.166,0.0,0.0,9.943842996931075,0.4796122908592224,ztf_20180827254664_000764_zr_c05_o_q3_scimrefdiffimg.fits,b'ztf_20180827254664_000764_zr_c05_o_q3_diffimgpsf.fits',-28.181678186926597,42.34381031551589,-8.644543246037107e-10,1.2988683535688283e-09,2458158.9672685186,2458227.007476852,7640532.0,10.5517,-19.88292914782766,1.134102266130823,0.0,0.0,357.75467590009794,p48r
