jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458355.7359838,b'r',1.738,6.2,26.291736,4.2453e-06,2.0,722.0,6.0,3.0,2.0,321.265,-17.0434,0.985811,13.6825,1.435,0.0,0.0,12.177988255882262,0.09176468849182129,ztf_20180825235961_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180825235961_000722_zr_c06_o_q3_diffimgpsf.fits',-45.77027429164235,48.13258256161224,-1.3928011447903157e-09,1.464686789221026e-09,2458155.058738426,2458218.9608101854,7220632.0,12.1078,-20.87882103462147,1.1831989706158075,0.0,0.0,355.735983800143,p48r
2458355.7561343,b'r',1.766,6.2,26.257202,4.7886e-06,2.0,722.0,6.0,3.0,2.0,321.416,-16.9965,0.986283,13.4517,1.599,0.0,0.0,11.671345359230042,0.18958580493927002,ztf_20180825256123_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180825256123_000722_zr_c06_o_q3_diffimgpsf.fits',-51.74537680028658,46.343406601785496,-1.6255141477200574e-09,1.4558182342821722e-09,2458155.058738426,2458218.9608101854,7220632.0,12.7403,-20.87882103462147,1.1831989706158075,0.0,0.0,355.75613430002704,p48r
2458356.7068519,b'r',1.744,6.2,26.285882,4.7855e-06,2.0,722.0,6.0,3.0,2.0,333.197,-14.0686,0.999326,2.97447,1.279,0.0,0.0,12.054517764472958,-0.39171671867370605,ztf_20180826206840_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180826206840_000722_zr_c06_o_q3_diffimgpsf.fits',60.02549172512833,51.26589226137611,1.8364661444122547e-09,1.5684682090316663e-09,2458155.058738426,2458218.9608101854,7220632.0,12.8566,-20.87882103462147,1.1831989706158075,0.0,0.0,356.70685190008953,p48r
2458356.7148611,b'r',1.778,6.2,26.284225,4.6037e-06,1.0,722.0,6.0,3.0,2.0,333.263,-14.0477,0.999364,2.89054,1.321,0.0,0.0,12.491081728935242,-0.4761617183685303,ztf_20180826214861_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180826214861_000722_zr_c06_o_q3_diffimgpsf.fits',25.9352641141387,52.74967555331185,7.94695355841364e-10,1.6163291031069148e-09,2458155.058738426,2458218.9608101854,7220632.0,12.9044,-20.87882103462147,1.1831989706158075,0.0,0.0,356.7148611000739,p48r
2458356.7158102,b'r',1.705,6.2,26.28292,5.115e-06,2.0,722.0,6.0,3.0,2.0,333.271,-14.0452,0.999367,2.88355,1.326,0.0,0.0,11.05368584394455,-0.5069628357887268,ztf_20180826215787_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180826215787_000722_zr_c06_o_q3_diffimgpsf.fits',74.03420736116291,45.57471867897289,2.271247336524066e-09,1.3981571776749023e-09,2458155.058738426,2458218.9608101854,7220632.0,12.9316,-20.87882103462147,1.1831989706158075,0.0,0.0,356.7158102001995,p48r
2458356.7396528,b'r',1.816,6.2,26.27252,5.5712e-06,2.0,722.0,6.0,3.0,2.0,333.46,-13.9804,0.999478,2.61777,1.483,0.0,0.0,13.253390050888061,0.1946071982383728,ztf_20180826239653_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180826239653_000722_zr_c06_o_q3_diffimgpsf.fits',-7.142204925390111,57.731617827188145,-2.2121995868886485e-10,1.7881573329509148e-09,2458155.058738426,2458218.9608101854,7220632.0,13.5909,-20.87882103462147,1.1831989706158075,0.0,0.0,356.7396527999081,p48r
2458356.7563889,b'r',1.895,6.2,26.285766,5.0943e-06,2.0,722.0,6.0,3.0,2.0,333.588,-13.9326,0.999551,2.42893,1.628,0.0,0.0,13.37414976773262,0.32781654596328735,ztf_20180826256377_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180826256377_000722_zr_c06_o_q3_diffimgpsf.fits',-15.371127953697016,55.77028486845125,-4.703263792700518e-10,1.7064613756436234e-09,2458155.058738426,2458218.9608101854,7220632.0,14.3101,-20.87882103462147,1.1831989706158075,0.0,0.0,356.7563888998702,p48r
2458357.6783218,b'r',2.423,6.2,26.30499,5.37e-06,2.0,722.0,6.0,3.0,2.0,344.859,-10.5367,-0.995337,352.169,1.172,0.0,0.0,10.359216565608978,-0.3661928176879883,ztf_20180827178299_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180827178299_000722_zr_c06_o_q3_diffimgpsf.fits',-31.728942173778417,55.41674527370055,-9.538049965887796e-10,1.6658849906643689e-09,2458155.058738426,2458218.9608101854,7220632.0,10.6782,-20.87882103462147,1.1831989706158075,0.0,0.0,357.6783218001947,p48r
2458357.7435417,b'r',2.091,6.2,26.291602,4.8673e-06,2.0,722.0,6.0,3.0,2.0,345.429,-10.3285,-0.994441,351.448,1.536,0.0,0.0,11.945167899131775,-0.6227457523345947,ztf_20180827243530_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180827243530_000722_zr_c06_o_q3_diffimgpsf.fits',6.317137139559364,55.78849250291325,1.9225582418148442e-10,1.6978676208919021e-09,2458155.058738426,2458218.9608101854,7220632.0,12.536,-20.87882103462147,1.1831989706158075,0.0,0.0,357.74354169983417,p48r
2458357.7639815,b'r',2.123,6.2,26.262833,7.2168e-06,2.0,722.0,6.0,3.0,2.0,345.59,-10.2593,-0.994137,351.217,1.738,0.0,0.0,13.38591250152588,-0.8721005916595459,ztf_20180827263982_000722_zr_c06_o_q3_scimrefdiffimg.fits,b'ztf_20180827263982_000722_zr_c06_o_q3_diffimgpsf.fits',61.11012661389806,66.01735407610147,1.909765236192142e-09,2.0631220190213003e-09,2458155.058738426,2458218.9608101854,7220632.0,13.3406,-20.87882103462147,1.1831989706158075,0.0,0.0,357.76398150017485,p48r
