jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458354.8634491,b'r',1.516,6.2,26.089434,4.8439e-06,2.0,865.0,16.0,4.0,2.0,309.838,-19.0741,0.959515,23.2154,1.66,0.0,0.0,9.323153591156007,0.015062570571899414,ztf_20180824363438_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180824363438_000865_zr_c16_o_q4_diffimgpsf.fits',53.210844967226464,34.18232960639318,1.950862027085067e-09,1.2532221367486048e-09,2458187.0203819443,2458290.8329952084,8651642.0,10.1071,11.070239175434935,1.0706351508539715,0.0,0.0,354.8634490999393,p48r
2458354.885544,b'r',1.652,6.2,26.045985,4.7864e-06,2.0,865.0,16.0,4.0,2.0,310.029,-19.0077,0.960329,22.9776,1.741,0.0,0.0,9.85941416378021,3.4513092041015625,ztf_20180824385532_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180824385532_000865_zr_c16_o_q4_diffimgpsf.fits',-20.26763669026397,38.425276024889804,-7.734088025654591e-10,1.4663005447010776e-09,2458187.0203819443,2458290.8329952084,8651642.0,10.523,11.070239175434935,1.0706351508539715,0.0,0.0,354.8855440001935,p48r
2458355.7631713,b'r',1.356,6.2,26.09155,6.9928e-06,2.0,865.0,16.0,4.0,2.0,321.468,-16.9793,0.986439,13.3747,1.421,0.0,0.0,10.695845020532607,0.7184517979621887,ztf_20180825263137_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180825263137_000865_zr_c16_o_q4_diffimgpsf.fits',18.352882393914662,38.51257136378852,6.715591668425587e-10,1.4092320640995265e-09,2458187.0203819443,2458290.8329952084,8651642.0,10.5034,11.070239175434935,1.0706351508539715,0.0,0.0,355.76317129982635,p48r
2458355.7856134,b'r',1.462,6.2,26.09056,6.07e-06,1.0,865.0,16.0,4.0,2.0,321.632,-16.9213,0.986929,13.1299,1.46,0.0,0.0,10.705229846906661,0.2866588830947876,ztf_20180825285579_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180825285579_000865_zr_c16_o_q4_diffimgpsf.fits',-58.47964855666519,39.280926766036735,-2.1418090731243735e-09,1.4386585321152162e-09,2458187.0203819443,2458290.8329952084,8651642.0,10.5862,11.070239175434935,1.0706351508539715,0.0,0.0,355.7856133999303,p48r
2458355.7865394,b'r',1.485,6.2,26.088737,5.5046e-06,2.0,865.0,16.0,4.0,2.0,321.639,-16.9189,0.986943,13.1229,1.462,0.0,0.0,9.773021741533277,0.9178524613380432,ztf_20180825286528_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180825286528_000865_zr_c16_o_q4_diffimgpsf.fits',-3.7899161276913524,35.7791216199601,-1.390384120147795e-10,1.3126074788240718e-09,2458187.0203819443,2458290.8329952084,8651642.0,10.5619,11.070239175434935,1.0706351508539715,0.0,0.0,355.7865393999964,p48r
2458355.7954745,b'r',1.668,6.2,26.091413,5.1529e-06,2.0,865.0,16.0,4.0,2.0,321.704,-16.8944,0.987136,13.025,1.48,0.0,0.0,10.533420358467101,-0.07705408334732056,ztf_20180825295463_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180825295463_000865_zr_c16_o_q4_diffimgpsf.fits',49.5409278085999,39.73824374161144,1.8130047245990748e-09,1.4542647229058498e-09,2458187.0203819443,2458290.8329952084,8651642.0,10.7427,11.070239175434935,1.0706351508539715,0.0,0.0,355.7954744999297,p48r
2458356.6992477,b'r',1.988,6.2,26.111253,6.2346e-06,2.0,865.0,16.0,4.0,2.0,333.134,-14.0881,0.999285,3.0654,1.357,0.0,0.0,11.482638317108155,0.8450647592544556,ztf_20180826199236_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180826199236_000865_zr_c16_o_q4_diffimgpsf.fits',-123.94286196595527,49.33330548328665,-4.453693441926737e-09,1.7727153918932274e-09,2458187.0203819443,2458290.8329952084,8651642.0,11.1849,11.070239175434935,1.0706351508539715,0.0,0.0,356.69924770016223,p48r
2458356.7035301,b'r',2.314,6.2,26.22564,4.7599e-06,1.0,864.0,13.0,3.0,2.0,333.17,-14.0771,0.999307,3.01644,1.436,0.0,0.0,11.641077638626099,-1.0836079120635986,ztf_20180826203495_000864_zr_c13_o_q3_scimrefdiffimg.fits,b'ztf_20180826203495_000864_zr_c13_o_q3_diffimgpsf.fits',29.436688807874148,51.32362706966616,9.519912500391175e-10,1.6598213273796526e-09,2458187.015960648,2458272.949238993,8641332.0,12.4961,5.2973772477689565,1.0861040192707372,0.0,0.0,356.70353010017425,p48r
2458356.7044444,b'r',2.152,6.2,26.20871,5.6294e-06,2.0,864.0,13.0,3.0,2.0,333.177,-14.0748,0.99931,3.00944,1.437,0.0,0.0,11.788376974105834,1.3580009937286377,ztf_20180826204444_000864_zr_c13_o_q3_scimrefdiffimg.fits,b'ztf_20180826204444_000864_zr_c13_o_q3_diffimgpsf.fits',-18.51306807793434,49.07879386939773,-6.081271571759962e-10,1.6121664581925322e-09,2458187.015960648,2458272.949238993,8641332.0,12.4973,5.2973772477689565,1.0861040192707372,0.0,0.0,356.70444440003484,p48r
2458356.7619097,b'r',1.792,6.2,26.204118,5.0939e-06,2.0,864.0,13.0,3.0,2.0,333.629,-13.9164,0.999574,2.36599,1.567,0.0,0.0,10.96215780506134,-0.18782919645309448,ztf_20180826261898_000864_zr_c13_o_q3_scimrefdiffimg.fits,b'ztf_20180826261898_000864_zr_c13_o_q3_diffimgpsf.fits',-50.128762104484714,44.1431429425757,-1.6536354735433797e-09,1.4561833171229404e-09,2458187.015960648,2458272.949238993,8641332.0,12.9159,5.2973772477689565,1.0861040192707372,0.0,0.0,356.7619096999988,p48r
2458356.7633333,b'r',1.551,6.2,26.112168,5.6987e-06,2.0,865.0,16.0,4.0,2.0,333.64,-13.9121,0.999579,2.352,1.425,0.0,0.0,10.923476026153564,0.5970302820205688,ztf_20180826263299_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180826263299_000865_zr_c16_o_q4_diffimgpsf.fits',19.9443696822321,42.519097498204154,7.160661027444523e-10,1.5265704017192715e-09,2458187.0203819443,2458290.8329952084,8651642.0,11.6894,11.070239175434935,1.0706351508539715,0.0,0.0,356.7633333001286,p48r
2458356.7813889,b'r',1.733,6.2,26.122633,5.0511e-06,2.0,865.0,16.0,4.0,2.0,333.772,-13.8574,0.999646,2.15616,1.457,0.0,0.0,11.647016226196289,0.6301792860031128,ztf_20180826281377_000865_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180826281377_000865_zr_c16_o_q4_diffimgpsf.fits',32.10834106996448,46.057856897332734,1.1417332991052726e-09,1.637761003933579e-09,2458187.0203819443,2458290.8329952084,8651642.0,11.7601,11.070239175434935,1.0706351508539715,0.0,0.0,356.7813888997771,p48r
