jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458360.6461458,b'g',3.63,6.2,26.283108,5.0886e-06,2.0,826.0,7.0,3.0,1.0,19.5978,2.07151,-0.873864,318.394,1.14,0.0,0.0,5.685094701170921,0.33393436670303345,ztf_20180830146076_000826_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180830146076_000826_zg_c07_o_q3_diffimgpsf.fits',6.732450148857247,28.331860788570268,2.0650470274230668e-10,8.6902425727977e-10,2458203.895474537,2458234.9932733565,8260731.0,4.90379,-0.7998437145629872,0.9738867897845869,0.0,0.0,360.6461458001286,p48g
2458360.7289005,b'r',1.907,6.2,26.255583,3.2704e-06,2.0,826.0,7.0,3.0,2.0,20.586,2.4531,-0.868219,317.429,1.215,0.0,0.0,7.60028508424759,-0.13163423538208008,ztf_20180830228900_000826_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180830228900_000826_zr_c07_o_q3_diffimgpsf.fits',29.940202144276014,31.66377826039406,9.419362876292679e-10,9.961610012955401e-10,2458216.8914814815,2458258.9485242823,8260732.0,8.29506,-0.5019965050232016,1.031352431144376,0.0,0.0,360.72890050010756,p48r
2458360.739375,b'r',2.009,6.2,26.256189,3.7762e-06,2.0,826.0,7.0,3.0,2.0,20.6972,2.50169,-0.867475,317.303,1.236,0.0,0.0,8.700745287895202,0.7737061977386475,ztf_20180830239294_000826_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180830239294_000826_zr_c07_o_q3_diffimgpsf.fits',38.338277634936105,36.996214188049876,1.2054716413948398e-09,1.1632730992148948e-09,2458216.8914814815,2458258.9485242823,8260732.0,8.37843,-0.5019965050232016,1.031352431144376,0.0,0.0,360.73937499988824,p48r
2458360.7799421,b'r',1.596,6.2,26.238159,3.1071e-06,2.0,826.0,7.0,3.0,2.0,21.0997,2.69015,-0.864689,316.834,1.346,0.0,0.0,7.576766912317275,1.569557547569275,ztf_20180830279942_000826_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180830279942_000826_zr_c07_o_q3_diffimgpsf.fits',-21.786433997802177,30.059516592794985,-6.965022933810506e-10,9.609889460094556e-10,2458216.8914814815,2458258.9485242823,8260732.0,8.9399,-0.5019965050232016,1.031352431144376,0.0,0.0,360.7799420999363,p48r
2458361.678125,b'g',1.819,6.2,26.269294,3.4073e-06,2.0,826.0,7.0,3.0,1.0,31.9889,6.57841,-0.795818,306.273,1.154,0.0,0.0,4.4397479003191,0.6543602347373962,ztf_20180831178102_000826_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180831178102_000826_zg_c07_o_q3_diffimgpsf.fits',15.9744444460466,17.742446866777033,4.962587340642326e-10,5.511831257157037e-10,2458203.895474537,2458234.9932733565,8260731.0,4.39024,-0.7998437145629872,0.9738867897845869,0.0,0.0,361.67812500009313,p48g
2458361.7032523,b'g',1.82,6.2,26.268669,3.1031e-06,2.0,826.0,7.0,3.0,1.0,32.3189,6.69984,-0.793747,305.979,1.179,0.0,0.0,4.676434288978577,0.5808166265487671,ztf_20180831203218_000826_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180831203218_000826_zg_c07_o_q3_diffimgpsf.fits',13.898886588445142,18.515408738257648,4.3202851388453274e-10,5.755270014090686e-10,2458203.895474537,2458234.9932733565,8260731.0,4.63459,-0.7998437145629872,0.9738867897845869,0.0,0.0,361.7032523001544,p48g
2458361.7164815,b'g',1.912,6.2,26.26366,4.0812e-06,1.0,826.0,7.0,3.0,1.0,32.4854,6.76403,-0.79261,305.819,1.199,0.0,0.0,5.808062143802642,0.13372182846069336,ztf_20180831216458_000826_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180831216458_000826_zg_c07_o_q3_diffimgpsf.fits',44.03713920597891,25.149594723376605,1.3751659109012775e-09,7.853567684211354e-10,2458203.895474537,2458234.9932733565,8260731.0,5.7985,-0.7998437145629872,0.9738867897845869,0.0,0.0,361.7164814998396,p48g
2458361.7174537,b'g',1.873,6.2,26.26915,3.9938e-06,2.0,826.0,7.0,3.0,1.0,32.4975,6.76876,-0.792511,305.805,1.2,0.0,0.0,5.939102932810783,0.7919305562973022,ztf_20180831217419_000826_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180831217419_000826_zg_c07_o_q3_diffimgpsf.fits',8.411924662380391,23.930674721074173,2.613577450521726e-10,7.435239179748343e-10,2458203.895474537,2458234.9932733565,8260731.0,6.24241,-0.7998437145629872,0.9738867897845869,0.0,0.0,361.71745370002463,p48g
2458361.7408565,b'r',1.328,6.2,26.263883,3.369e-06,2.0,826.0,7.0,3.0,2.0,32.7791,6.88261,-0.790577,305.532,1.245,0.0,0.0,6.598965208435057,0.5196273326873779,ztf_20180831240810_000826_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180831240810_000826_zr_c07_o_q3_diffimgpsf.fits',-4.362935138513672,24.00952564714927,-1.3621519504845626e-10,7.496013842099025e-10,2458216.8914814815,2458258.9485242823,8260732.0,7.63812,-0.5019965050232016,1.031352431144376,0.0,0.0,361.7408564998768,p48r
2458361.7837384,b'r',1.509,6.2,26.24727,2.9976e-06,2.0,826.0,7.0,3.0,2.0,33.2543,7.09129,-0.78689,305.014,1.369,0.0,0.0,7.815255671739578,1.2059540152549744,ztf_20180831283715_000826_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180831283715_000826_zr_c07_o_q3_diffimgpsf.fits',-15.456224675622392,30.114804604942556,-4.899992577185283e-10,9.547112708609083e-10,2458216.8914814815,2458258.9485242823,8260732.0,8.17933,-0.5019965050232016,1.031352431144376,0.0,0.0,361.7837383998558,p48r
