jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458358.7044792,b'r',2.08,6.2,26.260556,3.2561e-06,2.0,680.0,7.0,3.0,2.0,356.852,-6.40609,-0.971734,340.642,1.22,0.0,0.0,9.29149753847122,0.17467176914215088,ztf_20180828204456_000680_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180828204456_000680_zr_c07_o_q3_diffimgpsf.fits',210.69704168678842,97.80459376797677,6.598360476487445e-09,3.062928462518905e-09,2458156.0106018516,2458217.981921296,6800732.0,9.97356,-20.06751945469583,2.354968094781327,0.0,0.0,358.70447919983417,p48r
2458358.7268519,b'r',2.052,6.2,26.256431,3.5747e-06,2.0,680.0,7.0,3.0,2.0,357.059,-6.32211,-0.971001,340.39,1.336,0.0,0.0,9.606787457227707,0.8686861395835876,ztf_20180828226840_000680_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180828226840_000680_zr_c07_o_q3_diffimgpsf.fits',-71.0456078422447,123.32147716004307,-2.2333913732307098e-09,3.876736811589809e-09,2458156.0106018516,2458217.981921296,6800732.0,10.5191,-20.06751945469583,2.354968094781327,0.0,0.0,358.72685190010816,p48r
2458358.7462847,b'r',2.15,6.2,26.239152,3.6079e-06,2.0,680.0,7.0,3.0,2.0,357.229,-6.24814,-0.970362,340.174,1.472,0.0,0.0,10.48845933265686,0.10128098726272583,ztf_20180828246262_000680_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180828246262_000680_zr_c07_o_q3_diffimgpsf.fits',-16.931653882499457,128.613007453038,-5.408023648306225e-10,4.107940019402313e-09,2458156.0106018516,2458217.981921296,6800732.0,11.2131,-20.06751945469583,2.354968094781327,0.0,0.0,358.7462846999988,p48r
2458359.6552315,b'g',2.32,6.2,25.236969,1.31575e-05,2.0,680.0,7.0,3.0,1.0,7.99599,-2.29405,-0.932266,329.829,1.071,0.0,0.0,5.860738121461868,1.0413792133331299,ztf_20180829155220_000680_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180829155220_000680_zg_c07_o_q3_diffimgpsf.fits',-1.9468800138428808,63.76662789601191,-1.5651342194762792e-10,5.126321636209482e-09,2458203.8992824075,2458206.0241203704,6800731.0,6.31579,10.100550904300976,1.8124291877087493,0.0,0.0,359.65523150004447,p48g
2458359.7137847,b'r',1.457,6.2,26.159668,4.7681e-06,2.0,680.0,7.0,3.0,2.0,8.63802,-2.04754,-0.929292,329.158,1.278,0.0,0.0,9.469824582338333,-0.19787150621414185,ztf_20180829213785_000680_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180829213785_000680_zr_c07_o_q3_diffimgpsf.fits',64.53261065028177,181.82827956537218,2.2177471751408863e-09,6.248765535809926e-09,2458156.0106018516,2458217.981921296,6800732.0,10.3136,-20.06751945469583,2.354968094781327,0.0,0.0,359.7137846997939,p48r
2458359.7254861,b'r',1.616,6.2,26.237519,3.3081e-06,1.0,680.0,7.0,3.0,2.0,8.75483,-1.99784,-0.928696,329.025,1.344,0.0,0.0,7.930998257255553,0.7082275152206421,ztf_20180829225463_000680_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180829225463_000680_zr_c07_o_q3_diffimgpsf.fits',-141.4154164495342,142.79076147393693,-4.5236516781550305e-09,4.567646752997826e-09,2458156.0106018516,2458217.981921296,6800732.0,10.1309,-20.06751945469583,2.354968094781327,0.0,0.0,359.72548610018566,p48r
2458359.7450926,b'r',1.523,6.2,25.527744,3.8242e-05,2.0,680.0,7.0,3.0,2.0,8.94241,-1.91422,-0.927656,328.794,1.485,0.0,0.0,16.356830074119568,-2.6560003757476807,ztf_20180829245093_000680_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180829245093_000680_zr_c07_o_q3_diffimgpsf.fits',-137.67720694896227,143.45571199633562,-8.467680186297848e-09,8.823080578813264e-09,2458156.0106018516,2458217.981921296,6800732.0,16.8661,-20.06751945469583,2.354968094781327,0.0,0.0,359.74509260011837,p48r
2458359.7688194,b'r',1.912,6.2,26.088937,4.8179e-06,2.0,680.0,7.0,3.0,2.0,9.15648,-1.8124,-0.926418,328.521,1.721,0.0,0.0,12.63231746101379,-0.24039793014526367,ztf_20180829268808_000680_zr_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180829268808_000680_zr_c07_o_q3_diffimgpsf.fits',95.97411172971937,117.39142880471819,3.520296965535751e-09,4.305876690660813e-09,2458156.0106018516,2458217.981921296,6800732.0,12.8543,-20.06751945469583,2.354968094781327,0.0,0.0,359.76881940010935,p48r
2458360.6404514,b'g',3.235,6.2,26.326593,5.9225e-06,2.0,680.0,7.0,3.0,1.0,19.5227,2.04547,-0.874269,318.464,1.047,0.0,0.0,6.419380595779416,0.3830369710922241,ztf_20180830140428_000680_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180830140428_000680_zg_c07_o_q3_diffimgpsf.fits',-73.58514234288427,58.713898175913165,-2.1684675838119866e-09,1.7302295118682005e-09,2458203.8992824075,2458206.0241203704,6800731.0,6.00646,10.100550904300976,1.8124291877087493,0.0,0.0,360.6404514000751,p48g
2458360.6621759,b'g',2.433,6.2,26.257804,3.5544e-06,2.0,680.0,7.0,3.0,1.0,19.8043,2.145,-0.872768,318.205,1.093,0.0,0.0,4.533088354730605,0.28723376989364624,ztf_20180830162164_000680_zg_c07_o_q3_scimrefdiffimg.fits,b'ztf_20180830162164_000680_zg_c07_o_q3_diffimgpsf.fits',62.769801766680075,65.29682115486145,1.970739208515984e-09,2.050078254513257e-09,2458203.8992824075,2458206.0241203704,6800731.0,4.54294,10.100550904300976,1.8124291877087493,0.0,0.0,360.66217589983717,p48g
