jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458358.7117477,b'r',2.42,6.2,26.226369,1.7224e-06,1.0,684.0,15.0,1.0,2.0,356.92,-6.37894,-0.971511,340.565,1.019,0.0,0.0,8.803876582622525,-0.0011649131774902344,ztf_20180828211736_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180828211736_000684_zr_c15_o_q1_diffimgpsf.fits',68.76413941201325,43.58876602351806,2.222360002492467e-09,1.4087274413274941e-09,2458187.0239814813,2458230.924996528,6841512.0,0.0,8.851337576606676,1.0406181140940562,0.0,0.0,358.71174769988284,p48r
2458358.7126852,b'r',2.102,6.2,26.224621,1.4482e-06,2.0,684.0,15.0,1.0,2.0,356.929,-6.37543,-0.97145,340.544,1.02,0.0,0.0,8.43042157793045,0.6500524282455444,ztf_20180828212662_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180828212662_000684_zr_c15_o_q1_diffimgpsf.fits',9.457035545546058,38.027793386205104,3.0613051450103424e-10,1.2309848999289602e-09,2458187.0239814813,2458230.924996528,6841512.0,9.26042,8.851337576606676,1.0406181140940562,0.0,0.0,358.7126851999201,p48r
2458358.7393171,b'r',2.383,6.2,26.229317,1.4067e-06,2.0,684.0,15.0,1.0,2.0,357.169,-6.27478,-0.97059,340.251,1.06,0.0,0.0,9.389140202903747,0.6435703635215759,ztf_20180828239259_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180828239259_000684_zr_c15_o_q1_diffimgpsf.fits',-31.99294474332168,46.13330232426995,-1.0311632245343893e-09,1.4869204808995702e-09,2458187.0239814813,2458230.924996528,6841512.0,9.58236,8.851337576606676,1.0406181140940562,0.0,0.0,358.73931710002944,p48r
2458358.7684722,b'r',1.873,6.2,26.215251,1.4168e-06,2.0,684.0,15.0,1.0,2.0,357.413,-6.16237,-0.969592,339.915,1.133,0.0,0.0,7.809558868408203,1.002734899520874,ztf_20180828268426_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180828268426_000684_zr_c15_o_q1_diffimgpsf.fits',-11.836104594315088,31.979803143599725,-3.8646342131711495e-10,1.0441800372278638e-09,2458187.0239814813,2458230.924996528,6841512.0,9.64606,8.851337576606676,1.0406181140940562,0.0,0.0,358.7684721997939,p48r
2458359.7076736,b'r',1.728,6.2,26.184965,2.5772e-06,2.0,684.0,15.0,1.0,2.0,8.57552,-2.07343,-0.929604,329.228,1.017,0.0,0.0,6.558515956544875,0.5030564069747925,ztf_20180829207569_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180829207569_000684_zr_c15_o_q1_diffimgpsf.fits',-53.11783081012532,25.603007752906816,-1.7834228688293787e-09,8.596169843818187e-10,2458187.0239814813,2458230.924996528,6841512.0,8.6464,8.851337576606676,1.0406181140940562,0.0,0.0,359.7076735999435,p48r
2458359.7334028,b'r',1.698,6.2,25.54143,4.32937e-05,2.0,684.0,15.0,1.0,2.0,8.83178,-1.96413,-0.928256,328.927,1.054,0.0,0.0,14.428763700485229,4.212506294250488,ztf_20180829233391_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180829233391_000684_zr_c15_o_q1_diffimgpsf.fits',25.346237646011154,53.34513362397718,1.5393646262558882e-09,3.2398343630028045e-09,2458187.0239814813,2458230.924996528,6841512.0,18.0781,8.851337576606676,1.0406181140940562,0.0,0.0,359.73340279981494,p48r
2458359.7521644,b'r',1.95,6.2,26.155291,1.8809e-06,2.0,684.0,15.0,1.0,2.0,9.00765,-1.88395,-0.927308,328.717,1.095,0.0,0.0,7.5430584808349606,0.19908291101455688,ztf_20180829252072_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180829252072_000684_zr_c15_o_q1_diffimgpsf.fits',-32.97905853174082,32.37330999542064,-1.1379465238091957e-09,1.1170450950892927e-09,2458187.0239814813,2458230.924996528,6841512.0,9.49841,8.851337576606676,1.0406181140940562,0.0,0.0,359.75216440018266,p48r
2458359.7896296,b'r',1.909,6.2,26.185873,1.3825e-06,2.0,684.0,15.0,1.0,2.0,9.33352,-1.72252,-0.925363,328.291,1.223,0.0,0.0,7.906505062103272,0.9117319583892822,ztf_20180829289630_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180829289630_000684_zr_c15_o_q1_diffimgpsf.fits',76.62334060625422,33.739817353759605,2.5704661099415096e-09,1.131862124225098e-09,2458187.0239814813,2458230.924996528,6841512.0,9.54698,8.851337576606676,1.0406181140940562,0.0,0.0,359.7896296000108,p48r
2458360.6475926,b'g',3.352,6.2,26.365257,2.5717e-06,2.0,684.0,15.0,1.0,1.0,19.6167,2.07814,-0.873743,318.373,1.007,0.0,0.0,4.709160342812538,-0.04130876064300537,ztf_20180830147535_000684_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180830147535_000684_zg_c15_o_q1_diffimgpsf.fits',-10.086493376168363,25.108679666431865,-2.868384768379723e-10,7.14037590898719e-10,2458204.9755092594,2458231.985901539,6841511.0,5.06638,-1.250336569685572,1.0283830155225617,0.0,0.0,360.64759259996936,p48g
2458360.7327431,b'r',2.34,6.2,26.212411,1.5125e-06,2.0,684.0,15.0,1.0,2.0,20.6271,2.47092,-0.867929,317.38,1.057,0.0,0.0,7.114330041837691,0.31816935539245605,ztf_20180830232685_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180830232685_000684_zr_c15_o_q1_diffimgpsf.fits',-55.27212062400195,33.39130166847967,-1.8094297537986067e-09,1.0931227909307993e-09,2458187.0239814813,2458230.924996528,6841512.0,8.0121,8.851337576606676,1.0406181140940562,0.0,0.0,360.7327430997975,p48r
2458360.7530671,b'r',2.157,6.2,26.206969,1.6716e-06,2.0,684.0,15.0,1.0,2.0,20.838,2.56527,-0.866563,317.149,1.103,0.0,0.0,6.807941943407059,0.12617069482803345,ztf_20180830253056_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180830253056_000684_zr_c15_o_q1_diffimgpsf.fits',16.113009104403496,31.30897676283639,5.30138143009673e-10,1.0301044760194569e-09,2458187.0239814813,2458230.924996528,6841512.0,8.17501,8.851337576606676,1.0406181140940562,0.0,0.0,360.75306709995493,p48r
2458361.6677546,b'g',2.364,6.2,26.325203,2.2209e-06,2.0,684.0,15.0,1.0,1.0,31.8476,6.52854,-0.796703,306.399,1.0,0.0,0.0,3.738660121583938,0.03394031524658203,ztf_20180831167708_000684_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180831167708_000684_zg_c15_o_q1_diffimgpsf.fits',0.49653961869645213,18.203815065834164,1.465118345447635e-11,5.371322328741356e-10,2458204.9755092594,2458231.985901539,6841511.0,4.77522,-1.250336569685572,1.0283830155225617,0.0,0.0,361.66775459982455,p48g
2458361.6951852,b'g',2.531,6.2,26.324077,1.98e-06,2.0,684.0,15.0,1.0,1.0,32.2149,6.66077,-0.794389,306.07,1.011,0.0,0.0,4.0657266777992245,0.12278306484222412,ztf_20180831195116_000684_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180831195116_000684_zg_c15_o_q1_diffimgpsf.fits',-24.74590606496905,19.923855960608446,-7.309245684817196e-10,5.884947506994926e-10,2458204.9755092594,2458231.985901539,6841511.0,4.73129,-1.250336569685572,1.0283830155225617,0.0,0.0,361.6951851998456,p48g
2458361.6961111,b'g',2.859,6.2,26.327192,2.5464e-06,1.0,684.0,15.0,1.0,1.0,32.2269,6.66525,-0.79434,306.063,1.012,0.0,0.0,4.243474281072616,0.1639019250869751,ztf_20180831196100_000684_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180831196100_000684_zg_c15_o_q1_diffimgpsf.fits',-15.030263988010802,21.983105023699103,-4.426799054339726e-10,6.47458944221554e-10,2458204.9755092594,2458231.985901539,6841511.0,0.0,-1.250336569685572,1.0283830155225617,0.0,0.0,361.6961110997945,p48g
2458361.7115278,b'g',2.53,6.2,26.324205,2.0185e-06,2.0,684.0,15.0,1.0,1.0,32.4236,6.73998,-0.793006,305.875,1.028,0.0,0.0,4.681166913795469,0.08373165130615234,ztf_20180831210949_000684_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180831210949_000684_zg_c15_o_q1_diffimgpsf.fits',8.951929472225828,22.942020160426377,2.6438368525828575e-10,6.775629607118511e-10,2458204.9755092594,2458231.985901539,6841511.0,5.55965,-1.250336569685572,1.0283830155225617,0.0,0.0,361.71152780018747,p48g
2458361.7346065,b'r',2.004,6.2,26.205407,1.565e-06,1.0,684.0,15.0,1.0,2.0,32.7054,6.85218,-0.791074,305.602,1.066,0.0,0.0,5.604601694774628,0.45601916313171387,ztf_20180831234595_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180831234595_000684_zr_c15_o_q1_diffimgpsf.fits',-12.74689576800087,24.662340633444508,-4.199925962292405e-10,8.12590034487871e-10,2458187.0239814813,2458230.924996528,6841512.0,0.0,8.851337576606676,1.0406181140940562,0.0,0.0,361.7346064997837,p48r
2458361.735544,b'r',2.002,6.2,26.208956,1.6368e-06,2.0,684.0,15.0,1.0,2.0,32.7165,6.85675,-0.791024,305.595,1.068,0.0,0.0,5.959967216205596,0.2938215136528015,ztf_20180831235521_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180831235521_000684_zr_c15_o_q1_diffimgpsf.fits',31.167631482771277,26.56577060209205,1.023579077872833e-09,8.724489376404591e-10,2458187.0239814813,2458230.924996528,6841512.0,7.23134,8.851337576606676,1.0406181140940562,0.0,0.0,361.73554399982095,p48r
2458361.7650116,b'r',1.983,6.2,26.20546,1.5685e-06,2.0,684.0,15.0,1.0,2.0,33.0532,7.00023,-0.788537,305.245,1.146,0.0,0.0,5.899834109115599,0.3528597354888916,ztf_20180831265000_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180831265000_000684_zr_c15_o_q1_diffimgpsf.fits',13.37131722222559,25.35847461944646,4.4054491440430416e-10,8.354859020233126e-10,2458187.0239814813,2458230.924996528,6841512.0,7.58442,8.851337576606676,1.0406181140940562,0.0,0.0,361.7650116002187,p48r
2458361.789919,b'r',2.113,6.2,26.203431,1.3546e-06,2.0,684.0,15.0,1.0,2.0,33.3186,7.12129,-0.78639,304.944,1.246,0.0,0.0,7.282551923465727,0.5591423511505127,ztf_20180831289861_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180831289861_000684_zr_c15_o_q1_diffimgpsf.fits',-47.309634282969505,33.34209260053762,-1.5616265744368931e-09,1.1005770524664613e-09,2458187.0239814813,2458230.924996528,6841512.0,8.06293,8.851337576606676,1.0406181140940562,0.0,0.0,361.78991900011897,p48r
2458362.6721296,b'r',2.196,6.2,26.218376,1.2862e-06,2.0,684.0,15.0,1.0,2.0,44.3033,10.67,-0.706141,294.348,1.001,0.0,0.0,4.8629429927825925,0.5061609745025635,ztf_20180901172106_000684_zr_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180901172106_000684_zr_c15_o_q1_diffimgpsf.fits',5.453017522585503,22.618514003482254,1.7753602555707648e-10,7.363998123155705e-10,2458187.0239814813,2458230.924996528,6841512.0,5.78067,8.851337576606676,1.0406181140940562,0.0,0.0,362.6721295998432,p48r
2458362.724838,b'g',2.784,6.2,26.323215,2.1513e-06,2.0,684.0,15.0,1.0,1.0,45.0628,10.9231,-0.701068,293.712,1.052,0.0,0.0,4.1577950269222255,-0.3439069390296936,ztf_20180901224815_000684_zg_c15_o_q1_scimrefdiffimg.fits,b'ztf_20180901224815_000684_zg_c15_o_q1_diffimgpsf.fits',20.595510679870078,22.216804657499136,6.088167116641122e-10,6.56743217758886e-10,2458204.9755092594,2458231.985901539,6841511.0,4.67447,-1.250336569685572,1.0283830155225617,0.0,0.0,362.7248379997909,p48g
