jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458368.6443287,b'r',1.762,6.2,26.212961,2.2367e-06,2.0,725.0,15.0,3.0,2.0,130.4,17.8206,-0.0965714,216.21,1.021,0.0,0.0,5.001478096342083,0.17123961448669434,ztf_20180907144282_000725_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180907144282_000725_zr_c15_o_q3_diffimgpsf.fits',-19.4450308842749,19.11537399299053,-6.362447873684544e-10,6.254583566386024e-10,2458156.052002315,2458218.019872685,7251532.0,5.26222,8.579111587492577,1.017541701171759,0.0,0.0,368.6443286999129,p48r
2458368.6521528,b'r',1.737,6.2,26.218074,2.4226e-06,2.0,725.0,15.0,3.0,2.0,130.557,17.795,-0.0959952,216.098,1.028,0.0,0.0,5.380687232017517,0.16993975639343262,ztf_20180907152130_000725_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180907152130_000725_zr_c15_o_q3_diffimgpsf.fits',-8.581615052066681,20.345537604599926,-2.79472724886802e-10,6.625819031905436e-10,2458156.052002315,2458218.019872685,7251532.0,5.33885,8.579111587492577,1.017541701171759,0.0,0.0,368.6521528000012,p48r
2458368.6760648,b'r',2.012,6.2,26.226683,2.3381e-06,2.0,725.0,15.0,3.0,2.0,131.042,17.7193,-0.0943474,215.776,1.061,0.0,0.0,5.144948559761048,0.05423331260681152,ztf_20180907176042_000725_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180907176042_000725_zr_c15_o_q3_diffimgpsf.fits',5.8436347888580755,21.09297961751713,1.8880342392091424e-10,6.814982312165026e-10,2458156.052002315,2458218.019872685,7251532.0,5.35352,8.579111587492577,1.017541701171759,0.0,0.0,368.6760648000054,p48r
2458368.7043171,b'g',2.085,6.2,26.312186,3.5641e-06,2.0,725.0,15.0,3.0,1.0,131.622,17.6354,-0.0923587,215.385,1.124,0.0,0.0,4.32042300350666,0.08270949125289917,ztf_20180907204294_000725_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180907204294_000725_zg_c15_o_q3_diffimgpsf.fits',15.47993509450068,17.947264947506607,4.6226896275192714e-10,5.359495050143015e-10,2458203.997974537,2458228.9929824076,7251531.0,4.20443,2.3758819771510833,0.9666868861319055,0.0,0.0,368.7043170998804,p48g
2458368.7137037,b'g',2.074,6.2,26.316101,3.3395e-06,2.0,725.0,15.0,3.0,1.0,131.816,17.609,-0.0916883,215.252,1.151,0.0,0.0,4.157762326693534,0.36212778091430664,ztf_20180907213681_000725_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180907213681_000725_zg_c15_o_q3_diffimgpsf.fits',25.97575565573878,16.93478687094584,7.729079784580082e-10,5.03894171921574e-10,2458203.997974537,2458228.9929824076,7251531.0,4.16954,2.3758819771510833,0.9666868861319055,0.0,0.0,368.7137036998756,p48g
2458368.7475926,b'g',2.352,6.2,26.293329,3.5618e-06,2.0,725.0,15.0,3.0,1.0,132.515,17.519,-0.0893417,214.783,1.287,0.0,0.0,4.7473817253112784,0.131661057472229,ztf_20180907247569_000725_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180907247569_000725_zg_c15_o_q3_diffimgpsf.fits',0.39474962751688203,20.48803381816845,1.1994720399357723e-11,6.225420369041558e-10,2458203.997974537,2458228.9929824076,7251531.0,4.36107,2.3758819771510833,0.9666868861319055,0.0,0.0,368.7475926000625,p48g
2458369.6501042,b'r',1.824,6.2,26.200573,2.1922e-06,2.0,725.0,15.0,3.0,2.0,145.54,14.6747,-0.0371365,202.222,1.029,0.0,0.0,4.990229846477508,0.20300579071044922,ztf_20180908150081_000725_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180908150081_000725_zr_c15_o_q3_diffimgpsf.fits',-21.37353792185387,19.078821633590973,-7.073709428987634e-10,6.314258358971071e-10,2458156.052002315,2458218.019872685,7251532.0,5.47094,8.579111587492577,1.017541701171759,0.0,0.0,369.6501042000018,p48r
2458369.6768981,b'r',1.809,6.2,26.191477,2.2661e-06,2.0,725.0,15.0,3.0,2.0,146.053,14.5547,-0.0359001,201.844,1.067,0.0,0.0,4.750877990102765,0.5721781253814697,ztf_20180908176875_000725_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180908176875_000725_zr_c15_o_q3_diffimgpsf.fits',12.18058361180497,18.1362493192204,4.065156758281247e-10,6.05280492623701e-10,2458156.052002315,2458218.019872685,7251532.0,5.55109,8.579111587492577,1.017541701171759,0.0,0.0,369.6768980999477,p48r
2458369.7028588,b'r',1.923,6.2,26.207313,2.0477e-06,2.0,725.0,15.0,3.0,2.0,146.56,14.4424,-0.0347062,201.473,1.127,0.0,0.0,5.119564313936234,0.33235543966293335,ztf_20180908202836_000725_zr_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180908202836_000725_zr_c15_o_q3_diffimgpsf.fits',-15.726043982505715,18.36450019240712,-5.172425998495269e-10,6.040236079103649e-10,2458156.052002315,2458218.019872685,7251532.0,5.66972,8.579111587492577,1.017541701171759,0.0,0.0,369.7028588000685,p48r
2458369.719838,b'g',2.047,6.2,26.268661,3.2396e-06,2.0,725.0,15.0,3.0,1.0,146.897,14.3712,-0.0339726,201.243,1.181,0.0,0.0,4.476194974279403,0.32997167110443115,ztf_20180908219815_000725_zg_c15_o_q3_scimrefdiffimg.fits,b'ztf_20180908219815_000725_zg_c15_o_q3_diffimgpsf.fits',-0.35389184847101696,18.123935813755637,-1.1000341282537189e-11,5.63362734110669e-10,2458203.997974537,2458228.9929824076,7251531.0,4.64417,2.3758819771510833,0.9666868861319055,0.0,0.0,369.71983799990267,p48g
