jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458365.665787,b'r',2.246,6.2,26.077346,1.6723e-06,2.0,827.0,13.0,4.0,2.0,85.2251,19.3312,-0.383956,256.58,1.14,0.0,0.0,3.7713989761829376,0.006531774997711182,ztf_20180904165775_000827_zr_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180904165775_000827_zr_c13_o_q4_diffimgpsf.fits',-12.015861572657943,18.112260495460703,-4.454680044223661e-10,6.714818150747376e-10,2458187.018483796,2458242.979163912,8271342.0,5.52562,3.0160577362067973,1.097136229071276,0.0,0.0,365.6657870002091,p48r
2458365.6662847,b'r',1.85,6.2,26.072377,1.2772e-06,2.0,828.0,16.0,4.0,2.0,85.235,19.3322,-0.383897,256.573,1.155,0.0,0.0,5.316840747356414,-0.09340894222259521,ztf_20180904166227_000828_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180904166227_000828_zr_c16_o_q4_diffimgpsf.fits',-1.4650833654771276,22.351856541716852,-5.456467055540716e-11,8.324589011379e-10,2458216.999363426,2458263.9296402317,8281642.0,4.83024,-6.3054183865539635,1.0576013436899745,0.0,0.0,365.6662846999243,p48r
2458365.6870833,b'r',2.607,6.2,26.097676,1.7694e-06,2.0,827.0,13.0,4.0,2.0,85.644,19.3771,-0.381583,256.3,1.144,0.0,0.0,4.1846442967653275,-0.33110135793685913,ztf_20180904187049_000827_zr_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180904187049_000827_zr_c13_o_q4_diffimgpsf.fits',24.84674552812684,21.297121766771607,9.040638672200117e-10,7.749086592995487e-10,2458187.018483796,2458242.979163912,8271342.0,5.55884,3.0160577362067973,1.097136229071276,0.0,0.0,365.6870833002031,p48r
2458365.6982407,b'r',2.316,6.2,26.094675,1.5886e-06,2.0,827.0,13.0,4.0,2.0,85.8611,19.4026,-0.380279,256.146,1.15,0.0,0.0,4.436008395195001,-0.22393393516540527,ztf_20180904198229_000827_zr_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180904198229_000827_zr_c13_o_q4_diffimgpsf.fits',-14.572358426452624,21.89508519348588,-5.316916558748764e-10,7.988709693634273e-10,2458187.018483796,2458242.979163912,8271342.0,5.57476,3.0160577362067973,1.097136229071276,0.0,0.0,365.69824070017785,p48r
2458365.6991667,b'r',1.722,6.2,26.096154,1.3781e-06,2.0,828.0,16.0,4.0,2.0,85.879,19.4047,-0.38022,256.139,1.141,0.0,0.0,4.644727341842652,0.27929699420928955,ztf_20180904199144_000828_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180904199144_000828_zr_c16_o_q4_diffimgpsf.fits',-14.219802668194095,19.23733328466802,-5.181219240596178e-10,7.009439137665999e-10,2458216.999363426,2458263.9296402317,8281642.0,4.81552,-6.3054183865539635,1.0576013436899745,0.0,0.0,365.6991666997783,p48r
2458365.7001389,b'r',1.722,6.2,26.096045,1.362e-06,1.0,828.0,16.0,4.0,2.0,85.8978,19.407,-0.380101,256.125,1.141,0.0,0.0,4.786066979169846,0.05071669816970825,ztf_20180904200104_000828_zr_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180904200104_000828_zr_c16_o_q4_diffimgpsf.fits',32.08386091734407,20.192948986364584,1.1691456685293684e-09,7.358372143275042e-10,2458216.999363426,2458263.9296402317,8281642.0,4.7871,-6.3054183865539635,1.0576013436899745,0.0,0.0,365.70013889996335,p48r
2458365.7629282,b'g',1.919,6.2,26.178661,2.101e-06,2.0,827.0,13.0,4.0,1.0,87.0752,19.5667,-0.373122,255.3,1.237,0.0,0.0,3.2485223054885863,-0.050504326820373535,ztf_20180904262928_000827_zg_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180904262928_000827_zg_c13_o_q4_diffimgpsf.fits',5.812606227770887,15.255247583461694,1.9629376401715568e-10,5.151750956163621e-10,2458205.997002315,2458261.9569787616,8271341.0,4.62543,9.298745879490466,1.0826724920400508,0.0,0.0,365.76292819995433,p48g
2458365.7634259,b'g',2.142,6.2,26.181288,2.811e-06,2.0,828.0,16.0,4.0,1.0,87.0842,19.5681,-0.373122,255.3,1.176,0.0,0.0,4.336858192920684,0.07369852066040039,ztf_20180904263380_000828_zg_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180904263380_000828_zg_c16_o_q4_diffimgpsf.fits',13.969669395995242,19.09957094246028,4.706205946913431e-10,6.434405267946493e-10,2458205.0172222224,2458280.907678414,8281641.0,3.91223,-8.542846958736732,0.9839183429611241,0.0,0.0,365.7634259001352,p48g
2458365.7876042,b'g',2.047,6.2,26.11314,4.173e-06,2.0,827.0,13.0,4.0,1.0,87.5133,19.6354,-0.370408,254.978,1.298,0.0,0.0,3.814599245786667,0.08208328485488892,ztf_20180904287593_000827_zg_c13_o_q4_scimrefdiffimg.fits,b'ztf_20180904287593_000827_zg_c13_o_q4_diffimgpsf.fits',4.383650945139728,18.150886073032176,1.572461298954235e-10,6.510912079627967e-10,2458205.997002315,2458261.9569787616,8271341.0,5.21999,9.298745879490466,1.0826724920400508,0.0,0.0,365.78760420018807,p48g
2458365.7885301,b'g',2.36,6.2,25.95498,1.47974e-05,2.0,828.0,16.0,4.0,1.0,87.5294,19.638,-0.37029,254.964,1.214,0.0,0.0,4.496912663507461,-0.3431835174560547,ztf_20180904288507_000828_zg_c16_o_q4_scimrefdiffimg.fits,b'ztf_20180904288507_000828_zg_c16_o_q4_diffimgpsf.fits',8.076719701163437,20.79691996680343,3.351529228103665e-10,8.629924982318053e-10,2458205.0172222224,2458280.907678414,8281641.0,4.11782,-8.542846958736732,0.9839183429611241,0.0,0.0,365.788530100137,p48g
