name,z,mag,mag_unc,timescale
ZTF18aailmnv,0.08,-19.603320932859987,0.14332015032514636,17.639999999664724
ZTF18aansqun,0.059676,-18.276159056510686,0.0038055279481315893,14.227500000037253
ZTF18aaoxryq,0.094029,-19.50357348880329,0.0024586718730477426,16.74750000005588
ZTF18aapqwyv,0.056,-18.604217387204372,0.0040457080843757705,14.265000000130385
ZTF18aapsedq,0.071993,-19.348514049509426,0.003170037579097834,16.604999999981374
ZTF18aaqcozd,0.07320499999999999,-19.328132806371404,0.003119832961072088,14.729999999981374
ZTF18aaqcqkv,0.11745,-19.176265072581746,0.001999295627333131,15.029999999795109
ZTF18aaqcqvr,0.071644,-19.447590387692284,0.0031852351560461203,17.137500000186265
ZTF18aaqcugm,0.061865,-19.432908757521293,0.0036660604083746337,14.865000000223517
ZTF18aaqffyp,0.064,-18.958546230388148,0.17742305189160582,18.300000000279397
ZTF18aaqnrum,0.069,-19.254946621672115,0.1650750287374759,16.89750000042841
ZTF18aaqqoqs,0.08,-19.52513587328068,0.14332013873839483,19.364999999757856
ZTF18aarldnh,0.107707,-19.23472858177042,0.002194837757772669,15.509999999776483
ZTF18aarqnje,0.115,-19.811233074522832,0.1016523809876394,17.55750000011176
ZTF18aasdted,0.01815,-18.63893923994362,0.012130158655743524,20.96250000037253
ZTF18aasesgl,0.085851,-18.605024948742027,0.002680622824743767,15.839999999850988
ZTF18aaslhxt,0.05505,-19.479302991313755,0.004102093572152445,17.0625
ZTF18aatzygk,0.07400000000000001,-19.145288138650923,0.15438874699859026,16.912500000093132
ZTF18aauhxce,0.083079,-19.189821535716053,0.0027651892082130583,19.694999999832362
ZTF18aaumeys,0.036518,-19.422084087380256,0.00610809034189346,18.165000000037253
ZTF18aaumlfl,0.087375,-19.311508753650223,0.0026372025587159775,15.089999999850988
ZTF18aaunfqq,0.071095,-19.215069749189926,0.003208326751394576,14.819999999832362
ZTF18aauocnw,0.1,-19.738936374486055,0.11596682749327512,17.445000000298023
ZTF18aavrwhu,0.062043,-19.52208932489443,0.0036562868474180887,18.81749999988824
ZTF18aavrzxp,0.07,-19.173091126695418,0.16281699918774603,14.557500000111759
ZTF18aawjywv,0.0509,-19.17554460178305,0.004455138748234238,14.542500000447035
ZTF18aawurud,0.053073,-19.135700144128084,0.0042747292656056465,17.25
ZTF18aaxakhh,0.12,-19.730050130662093,0.09766863349255248,18.359999999869615
ZTF18aaxcntm,0.026922,-18.59463147134594,0.008229821473829653,14.887499999720603
ZTF18aaxdrjn,0.033987,-19.029599221971356,0.0065514959691340404,14.182500000111759
ZTF18aaxqyki,0.100335,-19.598624143860597,0.002312195019030016,19.05750000011176
ZTF18aaxrvzj,0.11,-19.574719375746117,0.10599421954943024,20.00249999994412
ZTF18aaxsioa,0.031518,-18.968512994539864,0.007052573145763499,14.827500000130385
ZTF18aaxvpsw,0.091556,-19.58726161776781,0.0025225915825679876,17.197499999776483
ZTF18aaxwjmp,0.08,-19.26412834777637,0.14332013889812836,17.744999999646097
ZTF18aaydmkh,0.08,-18.8885073887641,0.14332016414513846,17.662500000093132
ZTF18aayjvve,0.047372,-19.12963842885025,0.004743157003818862,16.612499999813735
ZTF18aaytovs,0.0746,-19.653880040277983,0.00306406415118973,20.962499999906868
ZTF18aazabmh,0.07,-18.766386579291016,0.16281622436502388,16.447499999776483
ZTF18aazblzy,0.06532,-19.177226714337202,0.0034796294424715235,14.09250000026077
ZTF18aazcoob,0.084498,-19.466550462596405,0.00272100641059024,18.479999999981374
ZTF18aazixbw,0.059427,-18.91471785679035,0.003810598043639648,14.325000000186265
